#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
99132at50557_34720_0:0029a2|STRG.1261.1:432-1619|+ -            396 99132at50557         -            262    2e-113  377.2   8.1   1   1  6.8e-114  6.7e-111  368.9   8.1     1   262    22   339    22   339 0.91 -
104262at50557_7167_0:001a16|STRG.5728.1:173-988|+  -            272 99132at50557         -            262    0.0069   14.8   0.1   1   2   4.7e-05     0.046   12.1   0.0   195   229   102   136    86   147 0.89 -
104262at50557_7167_0:001a16|STRG.5728.1:173-988|+  -            272 99132at50557         -            262    0.0069   14.8   0.1   2   2      0.31   3.1e+02   -0.4   0.0    60   115   210   266   173   268 0.67 -
104262at50557_7167_0:001a16|STRG.5728.2:419-1234|+ -            272 99132at50557         -            262    0.0069   14.8   0.1   1   2   4.7e-05     0.046   12.1   0.0   195   229   102   136    86   147 0.89 -
104262at50557_7167_0:001a16|STRG.5728.2:419-1234|+ -            272 99132at50557         -            262    0.0069   14.8   0.1   2   2      0.31   3.1e+02   -0.4   0.0    60   115   210   266   173   268 0.67 -
104262at50557_7167_0:001a16|STRG.5728.3:163-978|+  -            272 99132at50557         -            262    0.0069   14.8   0.1   1   2   4.7e-05     0.046   12.1   0.0   195   229   102   136    86   147 0.89 -
104262at50557_7167_0:001a16|STRG.5728.3:163-978|+  -            272 99132at50557         -            262    0.0069   14.8   0.1   2   2      0.31   3.1e+02   -0.4   0.0    60   115   210   266   173   268 0.67 -
104262at50557_7167_0:001a16|STRG.5728.4:157-972|+  -            272 99132at50557         -            262    0.0069   14.8   0.1   1   2   4.7e-05     0.046   12.1   0.0   195   229   102   136    86   147 0.89 -
104262at50557_7167_0:001a16|STRG.5728.4:157-972|+  -            272 99132at50557         -            262    0.0069   14.8   0.1   2   2      0.31   3.1e+02   -0.4   0.0    60   115   210   266   173   268 0.67 -
104262at50557_7167_0:001a16|STRG.5728.5:652-1467|+ -            272 99132at50557         -            262    0.0069   14.8   0.1   1   2   4.7e-05     0.046   12.1   0.0   195   229   102   136    86   147 0.89 -
104262at50557_7167_0:001a16|STRG.5728.5:652-1467|+ -            272 99132at50557         -            262    0.0069   14.8   0.1   2   2      0.31   3.1e+02   -0.4   0.0    60   115   210   266   173   268 0.67 -
104262at50557_7167_0:001a16|STRG.5728.6:40-855|+   -            272 99132at50557         -            262    0.0069   14.8   0.1   1   2   4.7e-05     0.046   12.1   0.0   195   229   102   136    86   147 0.89 -
104262at50557_7167_0:001a16|STRG.5728.6:40-855|+   -            272 99132at50557         -            262    0.0069   14.8   0.1   2   2      0.31   3.1e+02   -0.4   0.0    60   115   210   266   173   268 0.67 -
104262at50557_7167_0:001a16|STRG.5728.7:372-1187|+ -            272 99132at50557         -            262    0.0069   14.8   0.1   1   2   4.7e-05     0.046   12.1   0.0   195   229   102   136    86   147 0.89 -
104262at50557_7167_0:001a16|STRG.5728.7:372-1187|+ -            272 99132at50557         -            262    0.0069   14.8   0.1   2   2      0.31   3.1e+02   -0.4   0.0    60   115   210   266   173   268 0.67 -
104262at50557_7167_0:001a16|STRG.5728.8:147-962|+  -            272 99132at50557         -            262    0.0069   14.8   0.1   1   2   4.7e-05     0.046   12.1   0.0   195   229   102   136    86   147 0.89 -
104262at50557_7167_0:001a16|STRG.5728.8:147-962|+  -            272 99132at50557         -            262    0.0069   14.8   0.1   2   2      0.31   3.1e+02   -0.4   0.0    60   115   210   266   173   268 0.67 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/99132at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/99132at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/99132at50557.hmm annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 20:32:03 2024
# [ok]
