#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
104832at50557_34720_0:0019e7|STRG.10248.1:303-1124|+  -            274 104832at50557        -            207   3.8e-77  257.4  14.8   1   1   2.7e-77   3.5e-75  251.0  14.8     1   205     4   260     4   264 0.83 -
117816at50557_69004_0:00324f|STRG.3168.1:627-1670|+   -            348 104832at50557        -            207   2.1e-12   46.0   3.4   1   4      0.79     1e+02    1.2   0.0   145   164    44    63    29    87 0.77 -
117816at50557_69004_0:00324f|STRG.3168.1:627-1670|+   -            348 104832at50557        -            207   2.1e-12   46.0   3.4   2   4   0.00085      0.11   10.9   0.1   125   166   106   152    98   178 0.78 -
117816at50557_69004_0:00324f|STRG.3168.1:627-1670|+   -            348 104832at50557        -            207   2.1e-12   46.0   3.4   3   4   2.3e-05    0.0031   16.0   0.3   124   165   198   244   156   270 0.69 -
117816at50557_69004_0:00324f|STRG.3168.1:627-1670|+   -            348 104832at50557        -            207   2.1e-12   46.0   3.4   4   4     3e-05    0.0039   15.7   0.2   121   166   295   348   256   348 0.70 -
117816at50557_69004_0:00324f|STRG.15005.1:716-1690|+  -            325 104832at50557        -            207   5.4e-12   44.6   3.7   1   4      0.69        90    1.4   0.0   145   166    21    42    11    64 0.77 -
117816at50557_69004_0:00324f|STRG.15005.1:716-1690|+  -            325 104832at50557        -            207   5.4e-12   44.6   3.7   2   4   0.00039     0.052   12.0   0.1   125   166    83   129    74   158 0.78 -
117816at50557_69004_0:00324f|STRG.15005.1:716-1690|+  -            325 104832at50557        -            207   5.4e-12   44.6   3.7   3   4   0.00014     0.019   13.5   0.1   124   165   175   221   133   242 0.77 -
117816at50557_69004_0:00324f|STRG.15005.1:716-1690|+  -            325 104832at50557        -            207   5.4e-12   44.6   3.7   4   4   2.6e-05    0.0034   15.9   0.2   121   166   272   325   234   325 0.69 -
83433at50557_166361_0:0030d8|STRG.4884.6:563-1123|+   -            187 104832at50557        -            207   7.4e-07   27.9   0.1   1   2    0.0013      0.17   10.3   0.0   145   175    35    69    18    83 0.78 -
83433at50557_166361_0:0030d8|STRG.4884.6:563-1123|+   -            187 104832at50557        -            207   7.4e-07   27.9   0.1   2   2   2.9e-05    0.0038   15.7   0.0   124   167    94   143    75   182 0.76 -
117816at50557_29058_0:000b65|STRG.4884.1:822-1295|+   -            158 104832at50557        -            207   7.8e-07   27.8   0.1   1   2   0.00093      0.12   10.8   0.0   145   175    38    72    20    86 0.78 -
117816at50557_29058_0:000b65|STRG.4884.1:822-1295|+   -            158 104832at50557        -            207   7.8e-07   27.8   0.1   2   2   4.1e-05    0.0054   15.3   0.0   124   166    97   145    73   150 0.81 -
117816at50557_29058_0:000b65|STRG.4884.2:554-1027|+   -            158 104832at50557        -            207   7.8e-07   27.8   0.1   1   2   0.00093      0.12   10.8   0.0   145   175    38    72    20    86 0.78 -
117816at50557_29058_0:000b65|STRG.4884.2:554-1027|+   -            158 104832at50557        -            207   7.8e-07   27.8   0.1   2   2   4.1e-05    0.0054   15.3   0.0   124   166    97   145    73   150 0.81 -
117816at50557_29058_0:000b65|STRG.4884.3:3434-3907|+  -            158 104832at50557        -            207   7.8e-07   27.8   0.1   1   2   0.00093      0.12   10.8   0.0   145   175    38    72    20    86 0.78 -
117816at50557_29058_0:000b65|STRG.4884.3:3434-3907|+  -            158 104832at50557        -            207   7.8e-07   27.8   0.1   2   2   4.1e-05    0.0054   15.3   0.0   124   166    97   145    73   150 0.81 -
117816at50557_29058_0:000b65|STRG.4884.4:3379-3852|+  -            158 104832at50557        -            207   7.8e-07   27.8   0.1   1   2   0.00093      0.12   10.8   0.0   145   175    38    72    20    86 0.78 -
117816at50557_29058_0:000b65|STRG.4884.4:3379-3852|+  -            158 104832at50557        -            207   7.8e-07   27.8   0.1   2   2   4.1e-05    0.0054   15.3   0.0   124   166    97   145    73   150 0.81 -
117816at50557_29058_0:000b65|STRG.4884.5:554-1027|+   -            158 104832at50557        -            207   7.8e-07   27.8   0.1   1   2   0.00093      0.12   10.8   0.0   145   175    38    72    20    86 0.78 -
117816at50557_29058_0:000b65|STRG.4884.5:554-1027|+   -            158 104832at50557        -            207   7.8e-07   27.8   0.1   2   2   4.1e-05    0.0054   15.3   0.0   124   166    97   145    73   150 0.81 -
117816at50557_7200_0:0014c2|STRG.6702.4:745-1638|+    -            298 104832at50557        -            207   8.3e-07   27.7   0.0   1   3    0.0017      0.23    9.9   0.0   144   177    33    70    17    93 0.79 -
117816at50557_7200_0:0014c2|STRG.6702.4:745-1638|+    -            298 104832at50557        -            207   8.3e-07   27.7   0.0   2   3    0.0013      0.17   10.3   0.0   140   167   115   142    92   163 0.79 -
117816at50557_7200_0:0014c2|STRG.6702.4:745-1638|+    -            298 104832at50557        -            207   8.3e-07   27.7   0.0   3   3      0.13        17    3.8   0.0   132   165   246   279   239   297 0.76 -
100341at50557_319348_0:001dc7|STRG.6702.1:1224-2231|+ -            336 104832at50557        -            207   2.8e-06   26.0   0.0   1   3    0.0022       0.3    9.6   0.0   144   176    47    83    34   105 0.79 -
100341at50557_319348_0:001dc7|STRG.6702.1:1224-2231|+ -            336 104832at50557        -            207   2.8e-06   26.0   0.0   2   3    0.0037      0.48    8.9   0.0   142   167   144   169   140   190 0.87 -
100341at50557_319348_0:001dc7|STRG.6702.1:1224-2231|+ -            336 104832at50557        -            207   2.8e-06   26.0   0.0   3   3      0.19        25    3.3   0.0   132   165   287   320   280   335 0.78 -
100341at50557_319348_0:001dc7|STRG.6702.3:703-1737|+  -            345 104832at50557        -            207   3.1e-06   25.8   0.0   1   3    0.0022      0.29    9.6   0.0   144   176    47    83    29   105 0.79 -
100341at50557_319348_0:001dc7|STRG.6702.3:703-1737|+  -            345 104832at50557        -            207   3.1e-06   25.8   0.0   2   3    0.0038       0.5    8.8   0.0   142   167   144   169   140   190 0.87 -
100341at50557_319348_0:001dc7|STRG.6702.3:703-1737|+  -            345 104832at50557        -            207   3.1e-06   25.8   0.0   3   3       0.2        26    3.2   0.0   132   165   296   329   289   344 0.78 -
117816at50557_7200_0:0014c2|STRG.6702.2:1266-2009|+   -            248 104832at50557        -            207   2.1e-05   23.1   0.0   1   2    0.0013      0.18   10.3   0.0   144   176    33    69    17    91 0.79 -
117816at50557_7200_0:0014c2|STRG.6702.2:1266-2009|+   -            248 104832at50557        -            207   2.1e-05   23.1   0.0   2   2   0.00097      0.13   10.8   0.0   140   167   115   142    92   163 0.79 -
104832at50557_315563_0:002a5b|STRG.415.1:497-1120|+   -            208 104832at50557        -            207   6.9e-05   21.4   0.1   1   2      0.32        42    2.5   0.0   106   165    46   115    36   138 0.70 -
104832at50557_315563_0:002a5b|STRG.415.1:497-1120|+   -            208 104832at50557        -            207   6.9e-05   21.4   0.1   2   2   1.2e-05    0.0015   17.0   0.0   127   176   153   206   138   208 0.81 -
104832at50557_315563_0:002a5b|STRG.415.2:497-1120|+   -            208 104832at50557        -            207   6.9e-05   21.4   0.1   1   2      0.32        42    2.5   0.0   106   165    46   115    36   138 0.70 -
104832at50557_315563_0:002a5b|STRG.415.2:497-1120|+   -            208 104832at50557        -            207   6.9e-05   21.4   0.1   2   2   1.2e-05    0.0015   17.0   0.0   127   176   153   206   138   208 0.81 -
104832at50557_315563_0:002a5b|STRG.415.3:497-1120|+   -            208 104832at50557        -            207   6.9e-05   21.4   0.1   1   2      0.32        42    2.5   0.0   106   165    46   115    36   138 0.70 -
104832at50557_315563_0:002a5b|STRG.415.3:497-1120|+   -            208 104832at50557        -            207   6.9e-05   21.4   0.1   2   2   1.2e-05    0.0015   17.0   0.0   127   176   153   206   138   208 0.81 -
104832at50557_315563_0:002a5b|STRG.415.4:491-1114|+   -            208 104832at50557        -            207   6.9e-05   21.4   0.1   1   2      0.32        42    2.5   0.0   106   165    46   115    36   138 0.70 -
104832at50557_315563_0:002a5b|STRG.415.4:491-1114|+   -            208 104832at50557        -            207   6.9e-05   21.4   0.1   2   2   1.2e-05    0.0015   17.0   0.0   127   176   153   206   138   208 0.81 -
104832at50557_315563_0:002a5b|STRG.415.5:491-1114|+   -            208 104832at50557        -            207   6.9e-05   21.4   0.1   1   2      0.32        42    2.5   0.0   106   165    46   115    36   138 0.70 -
