#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
25500at50557_13686_0:0020f5|STRG.4579.1:202-2007|+     -            602 25500at50557         -            513  3.1e-292  968.8   7.5   1   1  3.1e-291  1.5e-289  959.9   7.5     1   513     6   599     6   599 0.91 -
33043at50557_568069_0:003d26|STRG.4583.1:401-2536|+    -            712 25500at50557         -            513   1.5e-20   72.4   7.2   1   8         9   4.5e+02   -1.8   0.0   142   172     5    33     3    39 0.82 -
33043at50557_568069_0:003d26|STRG.4583.1:401-2536|+    -            712 25500at50557         -            513   1.5e-20   72.4   7.2   2   8     0.021       1.1    6.9   0.0   222   261    47    87    21    92 0.66 -
33043at50557_568069_0:003d26|STRG.4583.1:401-2536|+    -            712 25500at50557         -            513   1.5e-20   72.4   7.2   3   8   3.7e-06   0.00018   19.3   0.0    55   112    94   150    88   172 0.86 -
33043at50557_568069_0:003d26|STRG.4583.1:401-2536|+    -            712 25500at50557         -            513   1.5e-20   72.4   7.2   4   8     0.063       3.1    5.4   0.0    46    80   247   282   241   285 0.81 -
33043at50557_568069_0:003d26|STRG.4583.1:401-2536|+    -            712 25500at50557         -            513   1.5e-20   72.4   7.2   5   8   0.00084     0.042   11.5   0.0   294   338   286   329   280   339 0.87 -
33043at50557_568069_0:003d26|STRG.4583.1:401-2536|+    -            712 25500at50557         -            513   1.5e-20   72.4   7.2   6   8     0.066       3.3    5.3   0.0   222   264   377   419   361   436 0.78 -
33043at50557_568069_0:003d26|STRG.4583.1:401-2536|+    -            712 25500at50557         -            513   1.5e-20   72.4   7.2   7   8   8.8e-06   0.00044   18.1   0.1   184   285   433   541   427   564 0.63 -
33043at50557_568069_0:003d26|STRG.4583.1:401-2536|+    -            712 25500at50557         -            513   1.5e-20   72.4   7.2   8   8       1.4        71    0.9   0.0   441   468   684   712   589   712 0.68 -
33043at50557_568069_0:003d26|STRG.4583.2:312-2402|+    -            697 25500at50557         -            513   2.1e-20   71.9   7.0   1   7     0.024       1.2    6.7   0.0   222   260    32    71    19    76 0.59 -
33043at50557_568069_0:003d26|STRG.4583.2:312-2402|+    -            697 25500at50557         -            513   2.1e-20   71.9   7.0   2   7   3.2e-06   0.00016   19.5   0.0    55   112    79   135    69   158 0.86 -
33043at50557_568069_0:003d26|STRG.4583.2:312-2402|+    -            697 25500at50557         -            513   2.1e-20   71.9   7.0   3   7     0.061         3    5.4   0.0    46    80   232   267   226   270 0.81 -
33043at50557_568069_0:003d26|STRG.4583.2:312-2402|+    -            697 25500at50557         -            513   2.1e-20   71.9   7.0   4   7   0.00082     0.041   11.6   0.0   294   338   271   314   265   324 0.87 -
33043at50557_568069_0:003d26|STRG.4583.2:312-2402|+    -            697 25500at50557         -            513   2.1e-20   71.9   7.0   5   7     0.091       4.6    4.8   0.0   222   263   362   403   348   413 0.80 -
33043at50557_568069_0:003d26|STRG.4583.2:312-2402|+    -            697 25500at50557         -            513   2.1e-20   71.9   7.0   6   7   8.2e-06   0.00041   18.2   0.1   183   285   417   526   409   548 0.63 -
33043at50557_568069_0:003d26|STRG.4583.2:312-2402|+    -            697 25500at50557         -            513   2.1e-20   71.9   7.0   7   7       1.4        69    0.9   0.0   441   468   669   697   574   697 0.68 -
40115at50557_103372_0:0021d6|STRG.4040.1:259-1701|+    -            481 25500at50557         -            513     2e-19   68.7   6.4   1   5   7.6e-05    0.0038   15.0   0.0   438   476   117   155    86   160 0.85 -
40115at50557_103372_0:0021d6|STRG.4040.1:259-1701|+    -            481 25500at50557         -            513     2e-19   68.7   6.4   2   5   9.7e-08   4.8e-06   24.5   0.8   222   354   160   301   155   323 0.80 -
40115at50557_103372_0:0021d6|STRG.4040.1:259-1701|+    -            481 25500at50557         -            513     2e-19   68.7   6.4   3   5   0.00026     0.013   13.2   0.0   285   349   349   413   334   416 0.82 -
40115at50557_103372_0:0021d6|STRG.4040.1:259-1701|+    -            481 25500at50557         -            513     2e-19   68.7   6.4   4   5   2.4e-06   0.00012   19.9   0.1   408   472   371   441   370   447 0.64 -
40115at50557_103372_0:0021d6|STRG.4040.1:259-1701|+    -            481 25500at50557         -            513     2e-19   68.7   6.4   5   5       0.2       9.8    3.7   0.0   222   247   450   475   443   481 0.51 -
57752at50557_121225_0:0018b6|STRG.4044.1:539-1453|+    -            305 25500at50557         -            513     2e-18   65.4   3.7   1   4   6.3e-10   3.2e-08   31.7   0.3   137   259     2   126     1   130 0.85 -
57752at50557_121225_0:0018b6|STRG.4044.1:539-1453|+    -            305 25500at50557         -            513     2e-18   65.4   3.7   2   4   2.9e-06   0.00014   19.7   0.0    49   113   128   191   123   202 0.88 -
57752at50557_121225_0:0018b6|STRG.4044.1:539-1453|+    -            305 25500at50557         -            513     2e-18   65.4   3.7   3   4    0.0068      0.34    8.5   0.0    27    86   207   269   193   277 0.65 -
57752at50557_121225_0:0018b6|STRG.4044.1:539-1453|+    -            305 25500at50557         -            513     2e-18   65.4   3.7   4   4      0.16       8.1    4.0   0.0   144   169   281   305   275   305 0.89 -
57752at50557_121225_0:0018b6|STRG.4044.2:589-1503|+    -            305 25500at50557         -            513     2e-18   65.4   3.7   1   4   6.3e-10   3.2e-08   31.7   0.3   137   259     2   126     1   130 0.85 -
57752at50557_121225_0:0018b6|STRG.4044.2:589-1503|+    -            305 25500at50557         -            513     2e-18   65.4   3.7   2   4   2.9e-06   0.00014   19.7   0.0    49   113   128   191   123   202 0.88 -
57752at50557_121225_0:0018b6|STRG.4044.2:589-1503|+    -            305 25500at50557         -            513     2e-18   65.4   3.7   3   4    0.0068      0.34    8.5   0.0    27    86   207   269   193   277 0.65 -
57752at50557_121225_0:0018b6|STRG.4044.2:589-1503|+    -            305 25500at50557         -            513     2e-18   65.4   3.7   4   4      0.16       8.1    4.0   0.0   144   169   281   305   275   305 0.89 -
49370at50557_2015173_0:001990|STRG.15772.1:604-1590|+  -            329 25500at50557         -            513   2.2e-17   62.0   1.2   1   3   4.1e-06    0.0002   19.2   0.0   293   338    30    75     7    81 0.82 -
49370at50557_2015173_0:001990|STRG.15772.1:604-1590|+  -            329 25500at50557         -            513   2.2e-17   62.0   1.2   2   3   1.4e-05   0.00069   17.4   0.1   183   256    83   162    78   174 0.80 -
49370at50557_2015173_0:001990|STRG.15772.1:604-1590|+  -            329 25500at50557         -            513   2.2e-17   62.0   1.2   3   3   2.5e-07   1.3e-05   23.2   0.0   193   331   186   328   172   329 0.81 -
78072at50557_34720_0:000cf9|STRG.13119.4:229-1245|+    -            339 25500at50557         -            513   5.9e-15   53.9   2.6   1   4    0.0014     0.072   10.8   0.0   441   493    18    72     2    74 0.74 -
