#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
83323at50557_103372_0:002772|STRG.16738.1:82-1215|+  -            378 83323at50557         -            288  1.1e-145  483.7  15.9   1   1  1.3e-148  4.3e-145  481.8  15.9     1   288    26   357    26   357 0.91 -
83323at50557_35570_0:001053|STRG.15586.1:1568-2647|+ -            360 83323at50557         -            288   9.8e-30  103.2  16.1   1   4    0.0012       3.8    6.1   0.0    17    48     3    34     1    47 0.74 -
83323at50557_35570_0:001053|STRG.15586.1:1568-2647|+ -            360 83323at50557         -            288   9.8e-30  103.2  16.1   2   4   2.9e-14   9.6e-11   40.9  10.1    41   220    58   249    52   254 0.78 -
83323at50557_35570_0:001053|STRG.15586.1:1568-2647|+ -            360 83323at50557         -            288   9.8e-30  103.2  16.1   3   4   5.3e-07    0.0017   17.1   0.0   205   232   253   280   233   287 0.78 -
83323at50557_35570_0:001053|STRG.15586.1:1568-2647|+ -            360 83323at50557         -            288   9.8e-30  103.2  16.1   4   4   3.4e-14   1.1e-10   40.7   0.1   228   281   305   358   295   360 0.93 -
83323at50557_35570_0:001053|STRG.15586.2:1571-2650|+ -            360 83323at50557         -            288   9.8e-30  103.2  16.1   1   4    0.0012       3.8    6.1   0.0    17    48     3    34     1    47 0.74 -
83323at50557_35570_0:001053|STRG.15586.2:1571-2650|+ -            360 83323at50557         -            288   9.8e-30  103.2  16.1   2   4   2.9e-14   9.6e-11   40.9  10.1    41   220    58   249    52   254 0.78 -
83323at50557_35570_0:001053|STRG.15586.2:1571-2650|+ -            360 83323at50557         -            288   9.8e-30  103.2  16.1   3   4   5.3e-07    0.0017   17.1   0.0   205   232   253   280   233   287 0.78 -
83323at50557_35570_0:001053|STRG.15586.2:1571-2650|+ -            360 83323at50557         -            288   9.8e-30  103.2  16.1   4   4   3.4e-14   1.1e-10   40.7   0.1   228   281   305   358   295   360 0.93 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/83323at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/83323at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/83323at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:12:47 2024
# [ok]
