#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
70072at50557_456900_0:00138d|STRG.6827.1:110-1567|+   -            486 70072at50557         -            398  1.6e-204  678.2   2.4   1   1  2.4e-207  2.1e-204  677.7   2.4    19   394    78   463    66   467 0.95 -
57156at50557_77166_0:0029c4|STRG.14671.1:492-1697|+   -            402 70072at50557         -            398   2.3e-16   58.6   3.7   1   4    0.0012       1.1    7.0   0.0    55   122    56   122     8   132 0.54 -
57156at50557_77166_0:0029c4|STRG.14671.1:492-1697|+   -            402 70072at50557         -            398   2.3e-16   58.6   3.7   2   4   0.00019      0.17    9.6   0.0    63   122   132   190   121   198 0.84 -
57156at50557_77166_0:0029c4|STRG.14671.1:492-1697|+   -            402 70072at50557         -            398   2.3e-16   58.6   3.7   3   4   1.3e-07   0.00012   20.0   0.0    57   145   194   284   188   289 0.84 -
57156at50557_77166_0:0029c4|STRG.14671.1:492-1697|+   -            402 70072at50557         -            398   2.3e-16   58.6   3.7   4   4   7.4e-08   6.7e-05   20.8   0.2    57   127   296   365   288   390 0.90 -
57156at50557_77166_0:0029c4|STRG.14671.2:639-1844|+   -            402 70072at50557         -            398   2.3e-16   58.6   3.7   1   4    0.0012       1.1    7.0   0.0    55   122    56   122     8   132 0.54 -
57156at50557_77166_0:0029c4|STRG.14671.2:639-1844|+   -            402 70072at50557         -            398   2.3e-16   58.6   3.7   2   4   0.00019      0.17    9.6   0.0    63   122   132   190   121   198 0.84 -
57156at50557_77166_0:0029c4|STRG.14671.2:639-1844|+   -            402 70072at50557         -            398   2.3e-16   58.6   3.7   3   4   1.3e-07   0.00012   20.0   0.0    57   145   194   284   188   289 0.84 -
57156at50557_77166_0:0029c4|STRG.14671.2:639-1844|+   -            402 70072at50557         -            398   2.3e-16   58.6   3.7   4   4   7.4e-08   6.7e-05   20.8   0.2    57   127   296   365   288   390 0.90 -
57156at50557_28612_0:002d5e|STRG.14671.3:1343-1966|+  -            208 70072at50557         -            398   1.6e-10   39.3   1.1   1   3   2.4e-06    0.0021   15.9   0.1    58   126     2    69     1    73 0.90 -
57156at50557_28612_0:002d5e|STRG.14671.3:1343-1966|+  -            208 70072at50557         -            398   1.6e-10   39.3   1.1   2   3   3.6e-08   3.2e-05   21.9   0.3    57   127    69   138    64   147 0.92 -
57156at50557_28612_0:002d5e|STRG.14671.3:1343-1966|+  -            208 70072at50557         -            398   1.6e-10   39.3   1.1   3   3      0.13   1.2e+02    0.2   0.0   102   135   147   180   140   201 0.76 -
57156at50557_28612_0:002d5e|STRG.14671.4:1460-2083|+  -            208 70072at50557         -            398   1.6e-10   39.3   1.1   1   3   2.4e-06    0.0021   15.9   0.1    58   126     2    69     1    73 0.90 -
57156at50557_28612_0:002d5e|STRG.14671.4:1460-2083|+  -            208 70072at50557         -            398   1.6e-10   39.3   1.1   2   3   3.6e-08   3.2e-05   21.9   0.3    57   127    69   138    64   147 0.92 -
57156at50557_28612_0:002d5e|STRG.14671.4:1460-2083|+  -            208 70072at50557         -            398   1.6e-10   39.3   1.1   3   3      0.13   1.2e+02    0.2   0.0   102   135   147   180   140   201 0.76 -
89121at50557_454923_0:000612|STRG.15296.1:1980-3005|+ -            342 70072at50557         -            398   1.7e-06   26.1   3.1   1   3    0.0011         1    7.1   0.1    79   127    69   117    60   121 0.93 -
89121at50557_454923_0:000612|STRG.15296.1:1980-3005|+ -            342 70072at50557         -            398   1.7e-06   26.1   3.1   2   3   8.4e-07   0.00076   17.4   0.1    65   159   124   214   119   230 0.83 -
89121at50557_454923_0:000612|STRG.15296.1:1980-3005|+ -            342 70072at50557         -            398   1.7e-06   26.1   3.1   3   3      0.24   2.1e+02   -0.6   0.0    58   124   256   322   218   328 0.66 -
35300at50557_103372_0:002ae9|STRG.8353.1:420-2183|+   -            588 70072at50557         -            398   1.2e-05   23.2   3.9   1   4    0.0077       6.9    4.3   0.2    58   132    97   175    55   194 0.70 -
35300at50557_103372_0:002ae9|STRG.8353.1:420-2183|+   -            588 70072at50557         -            398   1.2e-05   23.2   3.9   2   4    0.0018       1.6    6.4   0.0    17   125   300   406   292   413 0.77 -
35300at50557_103372_0:002ae9|STRG.8353.1:420-2183|+   -            588 70072at50557         -            398   1.2e-05   23.2   3.9   3   4   4.6e-05     0.041   11.6   0.1    61   127   418   486   405   520 0.81 -
35300at50557_103372_0:002ae9|STRG.8353.1:420-2183|+   -            588 70072at50557         -            398   1.2e-05   23.2   3.9   4   4      0.61   5.5e+02   -1.9   0.0    64    88   527   551   492   556 0.70 -
89121at50557_34720_0:000746|STRG.3120.1:441-1370|+    -            310 70072at50557         -            398     0.028   12.2   0.5   1   2     0.044        40    1.8   0.0    53   103    97   147    39   169 0.73 -
89121at50557_34720_0:000746|STRG.3120.1:441-1370|+    -            310 70072at50557         -            398     0.028   12.2   0.5   2   2    0.0004      0.36    8.5   0.1    53   102   199   248   181   306 0.70 -
