#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
129272at50557_83485_0:002ba0|STRG.871.1:338-730|+     -            131 129272at50557        -            110   8.3e-65  215.0   5.6   1   1   8.8e-68   9.6e-65  214.8   5.6     1   110    14   131    14   131 0.96 -
129272at50557_38123_0:000afc|STRG.9416.1:335-649|+    -            105 129272at50557        -            110   1.2e-10   40.7   1.2   1   1   1.4e-13   1.6e-10   40.3   1.2     7   107     1   100     1   105 0.83 -
129272at50557_38123_0:000afc|STRG.9416.2:335-649|+    -            105 129272at50557        -            110   1.2e-10   40.7   1.2   1   1   1.4e-13   1.6e-10   40.3   1.2     7   107     1   100     1   105 0.83 -
129272at50557_2015173_0:002448|STRG.9416.3:0-113|+    -             38 129272at50557        -            110   2.2e-06   27.0   1.8   1   1     2e-09   2.2e-06   26.9   1.8    74   107     1    33     1    38 0.89 -
129272at50557_34740_0:00053b|STRG.16225.1:202-528|+   -            109 129272at50557        -            110    0.0023   17.2   2.7   1   1   2.9e-06    0.0032   16.8   2.7    57   110    56   109     1   109 0.57 -
81462at50557_29029_0:002193|STRG.15595.1:250-798|+    -            183 129272at50557        -            110     0.091   12.1   0.0   1   1   0.00012      0.13   11.6   0.0     4    56    53   102    50   120 0.85 -
81462at50557_29029_0:002193|STRG.15595.3:265-813|+    -            183 129272at50557        -            110     0.091   12.1   0.0   1   1   0.00012      0.13   11.6   0.0     4    56    53   102    50   120 0.85 -
14133at50557_286706_0:001942|STRG.10654.1:1231-2475|+ -            415 129272at50557        -            110       8.4    5.8  10.4   1   3      0.14   1.5e+02    1.7   0.3    30    77   137   180    90   199 0.79 -
14133at50557_286706_0:001942|STRG.10654.1:1231-2475|+ -            415 129272at50557        -            110       8.4    5.8  10.4   2   3       0.7   7.7e+02   -0.6   0.1    65    81   250   265   212   272 0.68 -
14133at50557_286706_0:001942|STRG.10654.1:1231-2475|+ -            415 129272at50557        -            110       8.4    5.8  10.4   3   3   0.00086      0.94    8.8   0.3    21    79   320   375   306   381 0.91 -
14133at50557_286706_0:001942|STRG.10654.2:1146-2390|+ -            415 129272at50557        -            110       8.4    5.8  10.4   1   3      0.14   1.5e+02    1.7   0.3    30    77   137   180    90   199 0.79 -
14133at50557_286706_0:001942|STRG.10654.2:1146-2390|+ -            415 129272at50557        -            110       8.4    5.8  10.4   2   3       0.7   7.7e+02   -0.6   0.1    65    81   250   265   212   272 0.68 -
14133at50557_286706_0:001942|STRG.10654.2:1146-2390|+ -            415 129272at50557        -            110       8.4    5.8  10.4   3   3   0.00086      0.94    8.8   0.3    21    79   320   375   306   381 0.91 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/129272at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/129272at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/129272at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:06:24 2024
# [ok]
