#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
107413at50557_64793_0:00239e|STRG.8033.1:0-1115|+       -            372 107413at50557        -             88   5.9e-35  118.7   2.5   1   1   4.2e-36   3.1e-34  116.3   2.5     1    88   255   361   255   361 0.85 -
98621at50557_286706_0:000660|STRG.11274.2:89-814|+      -            242 107413at50557        -             88   1.1e-18   66.5   0.7   1   1   1.5e-19   1.1e-17   63.3   0.7    23    88   169   237   131   237 0.73 -
98621at50557_286706_0:000660|STRG.11274.1:95-832|+      -            246 107413at50557        -             88   1.3e-18   66.3   0.7   1   1   1.6e-19   1.1e-17   63.3   0.7    23    88   173   241   135   241 0.73 -
45935at50557_67767_0:003589|STRG.5874.3:2565-3470|+     -            302 107413at50557        -             88   2.1e-18   65.6   6.5   1   2     0.039       2.8    7.5   0.0     1    36   183   220   183   228 0.75 -
45935at50557_67767_0:003589|STRG.5874.3:2565-3470|+     -            302 107413at50557        -             88   2.1e-18   65.6   6.5   2   2   4.7e-18   3.4e-16   58.5   3.4    28    88   233   294   219   294 0.90 -
45935at50557_67767_0:003589|STRG.5874.2:1607-2518|+     -            304 107413at50557        -             88   2.1e-18   65.6   6.5   1   2     0.039       2.9    7.5   0.0     1    36   185   222   185   230 0.75 -
45935at50557_67767_0:003589|STRG.5874.2:1607-2518|+     -            304 107413at50557        -             88   2.1e-18   65.6   6.5   2   2   4.8e-18   3.5e-16   58.5   3.4    28    88   235   296   221   296 0.90 -
45935at50557_67767_0:003589|STRG.5874.4:1502-2413|+     -            304 107413at50557        -             88   2.1e-18   65.6   6.5   1   2     0.039       2.9    7.5   0.0     1    36   185   222   185   230 0.75 -
45935at50557_67767_0:003589|STRG.5874.4:1502-2413|+     -            304 107413at50557        -             88   2.1e-18   65.6   6.5   2   2   4.8e-18   3.5e-16   58.5   3.4    28    88   235   296   221   296 0.90 -
98621at50557_136037_0:0009c4|STRG.4100.1:3376-4176|+    -            267 107413at50557        -             88   1.5e-17   62.8   0.5   1   1   1.8e-17   1.3e-15   56.7   0.5    11    88   187   267   158   267 0.80 -
98621at50557_136037_0:0009c4|STRG.4100.2:3253-4053|+    -            267 107413at50557        -             88   1.5e-17   62.8   0.5   1   1   1.8e-17   1.3e-15   56.7   0.5    11    88   187   267   158   267 0.80 -
