#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
74381at50557_67767_0:0004fb|STRG.14776.9:454-1578|+   -            375 74381at50557         -            312  2.5e-172  571.1   2.1   1   1  6.4e-175  3.2e-172  570.8   2.1     1   312    13   358    13   358 0.95 -
74381at50557_219809_0:001934|STRG.14776.13:173-1315|+ -            381 74381at50557         -            312  2.6e-172  571.1   2.1   1   1  6.8e-175  3.4e-172  570.7   2.1     1   312    11   356    11   356 0.95 -
74381at50557_219809_0:001934|STRG.14776.11:457-1602|+ -            382 74381at50557         -            312  2.7e-172  571.0   2.1   1   1  6.9e-175  3.4e-172  570.7   2.1     1   312    12   357    12   357 0.95 -
74381at50557_219809_0:001934|STRG.14776.12:226-1371|+ -            382 74381at50557         -            312  2.7e-172  571.0   2.1   1   1  6.9e-175  3.4e-172  570.7   2.1     1   312    12   357    12   357 0.95 -
74381at50557_34720_0:0024e3|STRG.14776.14:250-1419|+  -            390 74381at50557         -            312  2.9e-172  570.9   2.1   1   1  7.4e-175  3.7e-172  570.6   2.1     1   312    11   356    11   356 0.95 -
74381at50557_34720_0:0024e3|STRG.14776.16:95-1264|+   -            390 74381at50557         -            312  2.9e-172  570.9   2.1   1   1  7.4e-175  3.7e-172  570.6   2.1     1   312    11   356    11   356 0.95 -
74381at50557_34720_0:0024e3|STRG.14776.10:457-1797|+  -            391 74381at50557         -            312  2.9e-172  570.9   2.1   1   1  7.5e-175  3.7e-172  570.6   2.1     1   312    12   357    12   357 0.95 -
74381at50557_34720_0:0024e3|STRG.14776.15:80-1258|+   -            393 74381at50557         -            312    3e-172  570.9   2.1   1   1  7.6e-175  3.8e-172  570.6   2.1     1   312    14   359    14   359 0.95 -
74381at50557_34720_0:0024e3|STRG.14776.8:219-1469|+   -            417 74381at50557         -            312  3.4e-172  570.7   2.1   1   1  9.4e-175  4.7e-172  570.2   2.1     1   312    72   417    72   417 0.95 -
74381at50557_34720_0:0024e3|STRG.14776.5:219-1472|+   -            418 74381at50557         -            312  3.5e-172  570.7   2.1   1   1  9.5e-175  4.7e-172  570.2   2.1     1   312    72   417    72   417 0.95 -
74381at50557_34720_0:0024e3|STRG.14776.4:219-1472|+   -            418 74381at50557         -            312  3.5e-172  570.7   2.1   1   1  9.5e-175  4.7e-172  570.2   2.1     1   312    72   417    72   417 0.95 -
74381at50557_34720_0:0024e3|STRG.14776.6:219-1472|+   -            418 74381at50557         -            312  3.5e-172  570.7   2.1   1   1  9.5e-175  4.7e-172  570.2   2.1     1   312    72   417    72   417 0.95 -
74381at50557_34720_0:0024e3|STRG.14776.7:219-1472|+   -            418 74381at50557         -            312  3.5e-172  570.7   2.1   1   1  9.5e-175  4.7e-172  570.2   2.1     1   312    72   417    72   417 0.95 -
74381at50557_34720_0:0024e3|STRG.14776.1:426-1778|+   -            451 74381at50557         -            312  4.5e-172  570.3   2.1   1   1  1.2e-174  6.1e-172  569.9   2.1     1   312    72   417    72   417 0.95 -
74381at50557_34720_0:0024e3|STRG.14776.2:220-1572|+   -            451 74381at50557         -            312  4.5e-172  570.3   2.1   1   1  1.2e-174  6.1e-172  569.9   2.1     1   312    72   417    72   417 0.95 -
74381at50557_34720_0:0024e3|STRG.14776.3:220-1572|+   -            451 74381at50557         -            312  4.5e-172  570.3   2.1   1   1  1.2e-174  6.1e-172  569.9   2.1     1   312    72   417    72   417 0.95 -
41050at50557_219809_0:00068b|STRG.4106.2:3-1444|+     -            479 74381at50557         -            312      0.12   10.5   0.0   1   3      0.47   2.3e+02   -0.3   0.0   180   211   163   194   151   208 0.83 -
41050at50557_219809_0:00068b|STRG.4106.2:3-1444|+     -            479 74381at50557         -            312      0.12   10.5   0.0   2   3     0.036        18    3.4   0.0   181   221   268   307   264   351 0.82 -
41050at50557_219809_0:00068b|STRG.4106.2:3-1444|+     -            479 74381at50557         -            312      0.12   10.5   0.0   3   3     0.055        27    2.7   0.0   181   210   401   430   394   447 0.88 -
8280at50557_7160_0:00112a|STRG.4614.1:263-1291|+      -            343 74381at50557         -            312      0.28    9.3   7.1   1   2      0.61     3e+02   -0.7   0.1   176   221    22    72    16    84 0.69 -
8280at50557_7160_0:00112a|STRG.4614.1:263-1291|+      -            343 74381at50557         -            312      0.28    9.3   7.1   2   2   0.00031      0.15   10.2   3.9   168   231    85   144    74   178 0.78 -
8280at50557_7160_0:00112a|STRG.4614.2:326-1354|+      -            343 74381at50557         -            312      0.28    9.3   7.1   1   2      0.61     3e+02   -0.7   0.1   176   221    22    72    16    84 0.69 -
8280at50557_7160_0:00112a|STRG.4614.2:326-1354|+      -            343 74381at50557         -            312      0.28    9.3   7.1   2   2   0.00031      0.15   10.2   3.9   168   231    85   144    74   178 0.78 -
8280at50557_609295_0:000daa|STRG.11452.1:135-3641|+   -           1169 74381at50557         -            312       5.3    5.1  15.2   1   6      0.22   1.1e+02    0.8   0.1   177   213   318   351   312   355 0.82 -
8280at50557_609295_0:000daa|STRG.11452.1:135-3641|+   -           1169 74381at50557         -            312       5.3    5.1  15.2   2   6     0.001      0.49    8.5   0.1   177   242   366   425   353   428 0.78 -
8280at50557_609295_0:000daa|STRG.11452.1:135-3641|+   -           1169 74381at50557         -            312       5.3    5.1  15.2   3   6       0.5   2.5e+02   -0.4   0.0   174   195   679   700   673   720 0.70 -
8280at50557_609295_0:000daa|STRG.11452.1:135-3641|+   -           1169 74381at50557         -            312       5.3    5.1  15.2   4   6       1.2     6e+02   -1.7   0.1   189   241   733   786   727   792 0.64 -
8280at50557_609295_0:000daa|STRG.11452.1:135-3641|+   -           1169 74381at50557         -            312       5.3    5.1  15.2   5   6       1.2   6.2e+02   -1.7   0.0   182   215   873   906   870   908 0.88 -
8280at50557_609295_0:000daa|STRG.11452.1:135-3641|+   -           1169 74381at50557         -            312       5.3    5.1  15.2   6   6      0.21     1e+02    0.9   0.3   176   215   916   951   912   961 0.80 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/74381at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/74381at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/74381at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:12:12 2024
# [ok]
