#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
84764at50557_286306_0:001d5c|STRG.13075.1:167-1180|+   -            338 84764at50557         -            287    1e-159  529.3   4.4   1   1    6e-160  9.4e-159  526.2   4.4     1   286     7   324     7   325 0.93 -
84764at50557_326594_0:0017ea|STRG.8846.1:282-1172|+    -            297 84764at50557         -            287   3.1e-70  235.7   0.0   1   1   2.3e-71   3.6e-70  235.5   0.0     2   263     7   273     6   287 0.92 -
84764at50557_326594_0:0017ea|STRG.8846.2:247-1445|+    -            294 84764at50557         -            287   1.5e-68  230.2   0.0   1   1   1.1e-69   1.7e-68  229.9   0.0     2   263     7   270     6   284 0.92 -
84764at50557_326594_0:0017ea|STRG.8846.3:247-1314|+    -            294 84764at50557         -            287   1.5e-68  230.2   0.0   1   1   1.1e-69   1.7e-68  229.9   0.0     2   263     7   270     6   284 0.92 -
84764at50557_108931_0:001940|STRG.12597.1:140-988|+    -            283 84764at50557         -            287     1e-67  227.4   0.1   1   1   7.9e-69   1.2e-67  227.1   0.1     4   230     1   232     1   266 0.89 -
84764at50557_441921_0:00052c|STRG.6235.2:141-1025|+    -            295 84764at50557         -            287   2.9e-66  222.6   0.0   1   1   2.2e-67   3.5e-66  222.4   0.0     1   252     7   267     7   281 0.88 -
84764at50557_104688_0:0005e9|STRG.12887.1:27-956|+     -            310 84764at50557         -            287   1.3e-64  217.2   0.0   1   1   3.7e-65   5.8e-64  215.1   0.0     8   265     1   265     1   302 0.89 -
84764at50557_104688_0:0005e9|STRG.12887.2:93-1022|+    -            310 84764at50557         -            287   1.3e-64  217.2   0.0   1   1   3.7e-65   5.8e-64  215.1   0.0     8   265     1   265     1   302 0.89 -
84764at50557_123851_0:00190f|STRG.16718.1:1447-2373|+  -            309 84764at50557         -            287   1.3e-63  213.9   0.0   1   1     1e-64   1.6e-63  213.6   0.0     5   251     7   268     3   292 0.86 -
84764at50557_123851_0:00190f|STRG.16718.2:1677-2603|+  -            309 84764at50557         -            287   1.3e-63  213.9   0.0   1   1     1e-64   1.6e-63  213.6   0.0     5   251     7   268     3   292 0.86 -
84764at50557_123851_0:00190f|STRG.16718.3:1560-2486|+  -            309 84764at50557         -            287   1.3e-63  213.9   0.0   1   1     1e-64   1.6e-63  213.6   0.0     5   251     7   268     3   292 0.86 -
