#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
54603at50557_103372_0:00290d|STRG.12718.1:75-1919|+    -            615 54603at50557         -            483    2e-232  771.0  24.8   1   1  3.7e-234  2.6e-232  770.7  24.8     1   481    96   613    96   615 0.95 -
54603at50557_217634_0:0030bb|STRG.5530.1:514-1614|+    -            367 54603at50557         -            483   7.9e-56  188.7  36.0   1   4     2e-24   1.4e-22   79.0   5.2   271   431    27   193    21   195 0.91 -
54603at50557_217634_0:0030bb|STRG.5530.1:514-1614|+    -            367 54603at50557         -            483   7.9e-56  188.7  36.0   2   4     2e-22   1.4e-20   72.4   3.1   336   435   142   243   141   247 0.94 -
54603at50557_217634_0:0030bb|STRG.5530.1:514-1614|+    -            367 54603at50557         -            483   7.9e-56  188.7  36.0   3   4   6.5e-18   4.6e-16   57.5   9.5   339   435   237   335   234   338 0.94 -
54603at50557_217634_0:0030bb|STRG.5530.1:514-1614|+    -            367 54603at50557         -            483   7.9e-56  188.7  36.0   4   4   5.5e-05    0.0039   14.9   0.0   163   201   326   364   324   367 0.74 -
54603at50557_217634_0:0030bb|STRG.5530.2:514-1614|+    -            367 54603at50557         -            483   7.9e-56  188.7  36.0   1   4     2e-24   1.4e-22   79.0   5.2   271   431    27   193    21   195 0.91 -
54603at50557_217634_0:0030bb|STRG.5530.2:514-1614|+    -            367 54603at50557         -            483   7.9e-56  188.7  36.0   2   4     2e-22   1.4e-20   72.4   3.1   336   435   142   243   141   247 0.94 -
54603at50557_217634_0:0030bb|STRG.5530.2:514-1614|+    -            367 54603at50557         -            483   7.9e-56  188.7  36.0   3   4   6.5e-18   4.6e-16   57.5   9.5   339   435   237   335   234   338 0.94 -
54603at50557_217634_0:0030bb|STRG.5530.2:514-1614|+    -            367 54603at50557         -            483   7.9e-56  188.7  36.0   4   4   5.5e-05    0.0039   14.9   0.0   163   201   326   364   324   367 0.74 -
54603at50557_217634_0:0030bb|STRG.5530.4:480-1580|+    -            367 54603at50557         -            483   7.9e-56  188.7  36.0   1   4     2e-24   1.4e-22   79.0   5.2   271   431    27   193    21   195 0.91 -
54603at50557_217634_0:0030bb|STRG.5530.4:480-1580|+    -            367 54603at50557         -            483   7.9e-56  188.7  36.0   2   4     2e-22   1.4e-20   72.4   3.1   336   435   142   243   141   247 0.94 -
54603at50557_217634_0:0030bb|STRG.5530.4:480-1580|+    -            367 54603at50557         -            483   7.9e-56  188.7  36.0   3   4   6.5e-18   4.6e-16   57.5   9.5   339   435   237   335   234   338 0.94 -
54603at50557_217634_0:0030bb|STRG.5530.4:480-1580|+    -            367 54603at50557         -            483   7.9e-56  188.7  36.0   4   4   5.5e-05    0.0039   14.9   0.0   163   201   326   364   324   367 0.74 -
54603at50557_217634_0:0030bb|STRG.5530.5:480-1580|+    -            367 54603at50557         -            483   7.9e-56  188.7  36.0   1   4     2e-24   1.4e-22   79.0   5.2   271   431    27   193    21   195 0.91 -
54603at50557_217634_0:0030bb|STRG.5530.5:480-1580|+    -            367 54603at50557         -            483   7.9e-56  188.7  36.0   2   4     2e-22   1.4e-20   72.4   3.1   336   435   142   243   141   247 0.94 -
54603at50557_217634_0:0030bb|STRG.5530.5:480-1580|+    -            367 54603at50557         -            483   7.9e-56  188.7  36.0   3   4   6.5e-18   4.6e-16   57.5   9.5   339   435   237   335   234   338 0.94 -
54603at50557_217634_0:0030bb|STRG.5530.5:480-1580|+    -            367 54603at50557         -            483   7.9e-56  188.7  36.0   4   4   5.5e-05    0.0039   14.9   0.0   163   201   326   364   324   367 0.74 -
54603at50557_217634_0:0030bb|STRG.5530.6:480-1580|+    -            367 54603at50557         -            483   7.9e-56  188.7  36.0   1   4     2e-24   1.4e-22   79.0   5.2   271   431    27   193    21   195 0.91 -
54603at50557_217634_0:0030bb|STRG.5530.6:480-1580|+    -            367 54603at50557         -            483   7.9e-56  188.7  36.0   2   4     2e-22   1.4e-20   72.4   3.1   336   435   142   243   141   247 0.94 -
54603at50557_217634_0:0030bb|STRG.5530.6:480-1580|+    -            367 54603at50557         -            483   7.9e-56  188.7  36.0   3   4   6.5e-18   4.6e-16   57.5   9.5   339   435   237   335   234   338 0.94 -
54603at50557_217634_0:0030bb|STRG.5530.6:480-1580|+    -            367 54603at50557         -            483   7.9e-56  188.7  36.0   4   4   5.5e-05    0.0039   14.9   0.0   163   201   326   364   324   367 0.74 -
54603at50557_217634_0:0030bb|STRG.5530.7:480-1580|+    -            367 54603at50557         -            483   7.9e-56  188.7  36.0   1   4     2e-24   1.4e-22   79.0   5.2   271   431    27   193    21   195 0.91 -
54603at50557_217634_0:0030bb|STRG.5530.7:480-1580|+    -            367 54603at50557         -            483   7.9e-56  188.7  36.0   2   4     2e-22   1.4e-20   72.4   3.1   336   435   142   243   141   247 0.94 -
54603at50557_217634_0:0030bb|STRG.5530.7:480-1580|+    -            367 54603at50557         -            483   7.9e-56  188.7  36.0   3   4   6.5e-18   4.6e-16   57.5   9.5   339   435   237   335   234   338 0.94 -
54603at50557_217634_0:0030bb|STRG.5530.7:480-1580|+    -            367 54603at50557         -            483   7.9e-56  188.7  36.0   4   4   5.5e-05    0.0039   14.9   0.0   163   201   326   364   324   367 0.74 -
