#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
114297at50557_34720_0:001207|STRG.7468.1:27-611|+    -            195 114297at50557        -            151   5.5e-64  213.5   0.1   1   1   3.7e-67   7.3e-64  213.1   0.1    10   151    47   195    41   195 0.92 -
14133at50557_286706_0:001942|STRG.7934.1:1256-2260|+ -            335 114297at50557        -            151       0.3    9.8   8.4   1   3   8.8e-05      0.17   10.6   0.2    23    64    48    90    44    96 0.87 -
14133at50557_286706_0:001942|STRG.7934.1:1256-2260|+ -            335 114297at50557        -            151       0.3    9.8   8.4   2   3     0.016        31    3.2   0.6    42    62   182   202   150   210 0.78 -
14133at50557_286706_0:001942|STRG.7934.1:1256-2260|+ -            335 114297at50557        -            151       0.3    9.8   8.4   3   3         3     6e+03   -4.2   0.1    53    62   317   326   316   328 0.78 -
14133at50557_286706_0:001942|STRG.7934.2:1853-2857|+ -            335 114297at50557        -            151       0.3    9.8   8.4   1   3   8.8e-05      0.17   10.6   0.2    23    64    48    90    44    96 0.87 -
14133at50557_286706_0:001942|STRG.7934.2:1853-2857|+ -            335 114297at50557        -            151       0.3    9.8   8.4   2   3     0.016        31    3.2   0.6    42    62   182   202   150   210 0.78 -
14133at50557_286706_0:001942|STRG.7934.2:1853-2857|+ -            335 114297at50557        -            151       0.3    9.8   8.4   3   3         3     6e+03   -4.2   0.1    53    62   317   326   316   328 0.78 -
14133at50557_286706_0:001942|STRG.7934.3:1678-2682|+ -            335 114297at50557        -            151       0.3    9.8   8.4   1   3   8.8e-05      0.17   10.6   0.2    23    64    48    90    44    96 0.87 -
14133at50557_286706_0:001942|STRG.7934.3:1678-2682|+ -            335 114297at50557        -            151       0.3    9.8   8.4   2   3     0.016        31    3.2   0.6    42    62   182   202   150   210 0.78 -
14133at50557_286706_0:001942|STRG.7934.3:1678-2682|+ -            335 114297at50557        -            151       0.3    9.8   8.4   3   3         3     6e+03   -4.2   0.1    53    62   317   326   316   328 0.78 -
14133at50557_286706_0:001942|STRG.7934.4:1331-2335|+ -            335 114297at50557        -            151       0.3    9.8   8.4   1   3   8.8e-05      0.17   10.6   0.2    23    64    48    90    44    96 0.87 -
14133at50557_286706_0:001942|STRG.7934.4:1331-2335|+ -            335 114297at50557        -            151       0.3    9.8   8.4   2   3     0.016        31    3.2   0.6    42    62   182   202   150   210 0.78 -
14133at50557_286706_0:001942|STRG.7934.4:1331-2335|+ -            335 114297at50557        -            151       0.3    9.8   8.4   3   3         3     6e+03   -4.2   0.1    53    62   317   326   316   328 0.78 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/114297at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/114297at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/114297at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:05:42 2024
# [ok]
