#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
109797at50557_83485_0:000ec1|STRG.5891.1:1-906|+       -            302 109797at50557        -            227  4.4e-140  463.7   0.0   1   1  9.4e-142  5.5e-140  463.4   0.0     1   222    21   246    21   251 0.98 -
104262at50557_39758_0:003743|STRG.6842.2:618-1229|+    -            204 109797at50557        -            227     1e-48  164.8   0.3   1   1     2e-50   1.2e-48  164.6   0.3     1   164     1   167     1   180 0.94 -
104262at50557_39758_0:003743|STRG.6842.1:618-1232|+    -            205 109797at50557        -            227   1.3e-48  164.5   0.6   1   1   2.6e-50   1.5e-48  164.3   0.6     1   164     1   167     1   180 0.94 -
104262at50557_411798_0:001745|STRG.16075.1:557-1084|+  -            176 109797at50557        -            227     1e-47  161.5   0.3   1   1     2e-49   1.2e-47  161.4   0.3     1   165     7   174     7   176 0.95 -
104262at50557_132113_0:00109a|STRG.3358.1:232-741|+    -            170 109797at50557        -            227   4.1e-43  146.5   0.3   1   1     8e-45   4.6e-43  146.3   0.3     2   157    12   170    11   170 0.93 -
104262at50557_132113_0:00109a|STRG.3358.2:231-740|+    -            170 109797at50557        -            227   4.1e-43  146.5   0.3   1   1     8e-45   4.6e-43  146.3   0.3     2   157    12   170    11   170 0.93 -
104262at50557_132113_0:00109a|STRG.6247.1:470-946|+    -            159 109797at50557        -            227   1.6e-41  141.3   0.3   1   1   3.1e-43   1.8e-41  141.1   0.3     2   157     2   159     1   159 0.96 -
107216at50557_103372_0:00094d|STRG.15862.1:384-1028|+  -            215 109797at50557        -            227   5.2e-41  139.6   0.2   1   1   1.1e-42   6.4e-41  139.3   0.2     2   160     7   168     6   181 0.93 -
104262at50557_2015173_0:0022de|STRG.14269.1:127-672|+  -            182 109797at50557        -            227   2.2e-37  127.7   0.1   1   1   4.4e-39   2.6e-37  127.5   0.1     6   159    25   181    20   182 0.93 -
107216at50557_110193_0:000c8b|STRG.7804.1:324-902|+    -            193 109797at50557        -            227   1.2e-36  125.4   0.6   1   1   2.3e-38   1.3e-36  125.2   0.6     2   167     8   178     7   192 0.87 -
104262at50557_103372_0:002a03|STRG.8872.1:174-833|+    -            220 109797at50557        -            227   1.8e-36  124.8   1.3   1   1   3.8e-38   2.2e-36  124.5   1.3     2   161    13   175    12   183 0.93 -
104262at50557_103372_0:002a03|STRG.8872.2:271-930|+    -            220 109797at50557        -            227   1.8e-36  124.8   1.3   1   1   3.8e-38   2.2e-36  124.5   1.3     2   161    13   175    12   183 0.93 -
104262at50557_103372_0:002a03|STRG.8872.3:431-1096|+   -            222 109797at50557        -            227   1.8e-36  124.7   1.3   1   1   3.9e-38   2.3e-36  124.4   1.3     2   161    15   177    14   185 0.93 -
107216at50557_39758_0:004d90|STRG.14393.1:284-826|+    -            181 109797at50557        -            227   2.6e-36  124.2   0.1   1   1   5.2e-38     3e-36  124.0   0.1     2   165     7   173     6   180 0.94 -
104262at50557_64793_0:001dc9|STRG.8872.4:626-1405|+    -            260 109797at50557        -            227   2.8e-36  124.1   1.3   1   1   6.4e-38   3.7e-36  123.7   1.3     2   161    53   215    52   223 0.93 -
107216at50557_103372_0:00094d|STRG.10328.1:138-704|+   -            189 109797at50557        -            227   3.2e-36  123.9   0.1   1   1   6.5e-38   3.7e-36  123.7   0.1     3   163     1   164     1   180 0.93 -
107216at50557_51655_0:0016fc|STRG.12428.3:876-1472|+   -            199 109797at50557        -            227   1.1e-32  112.4   0.0   1   1   2.2e-34   1.3e-32  112.2   0.0     4   166     7   173     4   184 0.92 -
107216at50557_51655_0:0016fc|STRG.12428.4:1024-1620|+  -            199 109797at50557        -            227   1.1e-32  112.4   0.0   1   1   2.2e-34   1.3e-32  112.2   0.0     4   166     7   173     4   184 0.92 -
107216at50557_51655_0:0016fc|STRG.12428.5:866-1462|+   -            199 109797at50557        -            227   1.1e-32  112.4   0.0   1   1   2.2e-34   1.3e-32  112.2   0.0     4   166     7   173     4   184 0.92 -
107216at50557_51655_0:0016fc|STRG.12428.6:1022-1618|+  -            199 109797at50557        -            227   1.1e-32  112.4   0.0   1   1   2.2e-34   1.3e-32  112.2   0.0     4   166     7   173     4   184 0.92 -
109573at50557_103372_0:0023c7|STRG.16392.1:487-1140|+  -            218 109797at50557        -            227   1.3e-32  112.2   0.0   1   1   2.9e-34   1.7e-32  111.8   0.0     3   166     6   177     5   184 0.87 -
