#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
18461at50557_103372_0:0023e3|STRG.1042.1:156-1265|+ -            370 18461at50557         -            597  1.1e-197  657.4   9.8   1   1    7e-201  1.4e-197  657.1   9.8     1   328     9   366     9   369 0.95 -
18461at50557_7130_0:00076a|STRG.1041.1:1-1023|+     -            341 18461at50557         -            597    8e-116  387.1   7.0   1   2   1.2e-84   2.3e-81  273.3   1.1   333   497     1   180     1   197 0.91 -
18461at50557_7130_0:00076a|STRG.1041.1:1-1023|+     -            341 18461at50557         -            597    8e-116  387.1   7.0   2   2   1.8e-35   3.5e-32  110.9   0.4   491   597   198   340   185   340 0.77 -
18461at50557_1629725_0:00168d|STRG.1042.2:156-410|+ -             85 18461at50557         -            597   1.7e-21   75.6   0.2   1   1   9.6e-25   1.9e-21   75.4   0.2     1    62     9    84     9    85 0.92 -
18461at50557_1629725_0:00168d|STRG.1042.3:156-404|+ -             83 18461at50557         -            597   3.6e-21   74.5   0.3   1   1     2e-24     4e-21   74.3   0.3     1    61     9    83     9    83 0.92 -
30983at50557_103372_0:001d08|STRG.5041.2:460-2088|+ -            543 18461at50557         -            597    0.0001   20.2  18.1   1   4   6.6e-05      0.13    9.9   1.4   303   358    52   108     3   113 0.86 -
30983at50557_103372_0:001d08|STRG.5041.2:460-2088|+ -            543 18461at50557         -            597    0.0001   20.2  18.1   2   4   0.00084       1.7    6.3   0.7   291   333   102   152   100   192 0.73 -
30983at50557_103372_0:001d08|STRG.5041.2:460-2088|+ -            543 18461at50557         -            597    0.0001   20.2  18.1   3   4   0.00094       1.9    6.1   0.8   197   344   218   355   200   377 0.68 -
30983at50557_103372_0:001d08|STRG.5041.2:460-2088|+ -            543 18461at50557         -            597    0.0001   20.2  18.1   4   4   0.00016      0.31    8.7   0.1    39    81   380   422   371   428 0.91 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/18461at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/18461at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/18461at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:07:34 2024
# [ok]
