#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
28600at50557_520822_0:000c07|STRG.5897.2:532-2412|+    -            627 28600at50557         -            507    5e-242  803.2  16.2   1   1  3.6e-242  2.3e-240  797.7  16.2     1   497    10   609    10   620 0.87 -
28600at50557_13686_0:0008a3|STRG.5897.1:532-2451|+     -            640 28600at50557         -            507  1.4e-241  801.7  16.3   1   2  1.6e-242    1e-240  798.9  12.7     1   491    10   588    10   597 0.89 -
28600at50557_13686_0:0008a3|STRG.5897.1:532-2451|+     -            640 28600at50557         -            507  1.4e-241  801.7  16.3   2   2       2.1   1.4e+02    0.1   0.1   488   506   613   632   599   633 0.80 -
140221at50557_568069_0:001a32|STRG.16475.1:1910-2374|+ -            155 28600at50557         -            507   4.6e-13   47.8   0.0   1   1   8.3e-15   5.4e-13   47.6   0.0     5   123     2   129     1   136 0.84 -
140221at50557_568069_0:001a32|STRG.16475.2:118-582|+   -            155 28600at50557         -            507   4.6e-13   47.8   0.0   1   1   8.3e-15   5.4e-13   47.6   0.0     5   123     2   129     1   136 0.84 -
140221at50557_568069_0:001a32|STRG.16475.3:311-775|+   -            155 28600at50557         -            507   4.6e-13   47.8   0.0   1   1   8.3e-15   5.4e-13   47.6   0.0     5   123     2   129     1   136 0.84 -
140221at50557_568069_0:001a32|STRG.16475.4:707-1171|+  -            155 28600at50557         -            507   4.6e-13   47.8   0.0   1   1   8.3e-15   5.4e-13   47.6   0.0     5   123     2   129     1   136 0.84 -
140221at50557_568069_0:001a32|STRG.16475.5:906-1370|+  -            155 28600at50557         -            507   4.6e-13   47.8   0.0   1   1   8.3e-15   5.4e-13   47.6   0.0     5   123     2   129     1   136 0.84 -
140221at50557_568069_0:001a32|STRG.16475.6:911-1375|+  -            155 28600at50557         -            507   4.6e-13   47.8   0.0   1   1   8.3e-15   5.4e-13   47.6   0.0     5   123     2   129     1   136 0.84 -
140221at50557_568069_0:001a32|STRG.16475.7:306-770|+   -            155 28600at50557         -            507   4.6e-13   47.8   0.0   1   1   8.3e-15   5.4e-13   47.6   0.0     5   123     2   129     1   136 0.84 -
140221at50557_568069_0:001a32|STRG.16475.8:110-574|+   -            155 28600at50557         -            507   4.6e-13   47.8   0.0   1   1   8.3e-15   5.4e-13   47.6   0.0     5   123     2   129     1   136 0.84 -
