#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
69102at50557_103372_0:001d18|STRG.5059.1:124-2142|+ -            673 69102at50557         -            161     1e-79  265.3   0.1   1   1   2.5e-82   1.7e-79  264.6   0.1     1   160   440   620   440   621 0.90 -
69102at50557_69004_0:0020c7|STRG.9479.1:307-1239|+  -            311 69102at50557         -            161   1.8e-49  167.0   1.3   1   1   1.3e-50   8.4e-48  161.6   1.3     5   160   113   296   109   297 0.80 -
69102at50557_69004_0:0020c7|STRG.9479.2:262-1194|+  -            311 69102at50557         -            161   1.8e-49  167.0   1.3   1   1   1.3e-50   8.4e-48  161.6   1.3     5   160   113   296   109   297 0.80 -
69102at50557_41427_0:0029ce|STRG.10171.1:475-1326|+ -            284 69102at50557         -            161   2.6e-39  134.0   0.0   1   1   5.5e-42   3.6e-39  133.5   0.0     5   160   116   284   112   284 0.86 -
69102at50557_41427_0:0029ce|STRG.10171.2:242-1093|+ -            284 69102at50557         -            161   2.6e-39  134.0   0.0   1   1   5.5e-42   3.6e-39  133.5   0.0     5   160   116   284   112   284 0.86 -
69102at50557_41427_0:0029ce|STRG.10171.3:474-1325|+ -            284 69102at50557         -            161   2.6e-39  134.0   0.0   1   1   5.5e-42   3.6e-39  133.5   0.0     5   160   116   284   112   284 0.86 -
69102at50557_41427_0:0029ce|STRG.6384.1:802-1542|+  -            247 69102at50557         -            161   1.4e-22   79.6   0.0   1   1     3e-25     2e-22   79.1   0.0     6   158    87   247    82   247 0.77 -
69102at50557_43041_0:0020cc|STRG.7741.1:666-1463|+  -            266 69102at50557         -            161   1.1e-12   47.5   0.0   1   2   3.9e-10   2.5e-07   30.0   0.0     7    57    75   127    69   139 0.78 -
69102at50557_43041_0:0020cc|STRG.7741.1:666-1463|+  -            266 69102at50557         -            161   1.1e-12   47.5   0.0   2   2   1.4e-05    0.0094   15.1   0.0    62   124   188   264   182   266 0.78 -
69102at50557_41427_0:0029ce|STRG.951.1:191-982|+    -            264 69102at50557         -            161   3.7e-11   42.5   0.0   1   2   1.6e-08   1.1e-05   24.7   0.0     6    65   105   175   101   188 0.80 -
69102at50557_41427_0:0029ce|STRG.951.1:191-982|+    -            264 69102at50557         -            161   3.7e-11   42.5   0.0   2   2   8.7e-06    0.0057   15.8   0.0    69   121   203   263   181   264 0.77 -
69102at50557_41427_0:0029ce|STRG.951.2:191-982|+    -            264 69102at50557         -            161   3.7e-11   42.5   0.0   1   2   1.6e-08   1.1e-05   24.7   0.0     6    65   105   175   101   188 0.80 -
69102at50557_41427_0:0029ce|STRG.951.2:191-982|+    -            264 69102at50557         -            161   3.7e-11   42.5   0.0   2   2   8.7e-06    0.0057   15.8   0.0    69   121   203   263   181   264 0.77 -
48331at50557_103372_0:001fed|STRG.7893.1:334-1764|+ -            477 69102at50557         -            161   7.8e-09   34.9   0.0   1   2   1.6e-06    0.0011   18.2   0.0     5    87   218   315   214   321 0.75 -
48331at50557_103372_0:001fed|STRG.7893.1:334-1764|+ -            477 69102at50557         -            161   7.8e-09   34.9   0.0   2   2   3.5e-05     0.023   13.9   0.0    96   125   351   380   334   387 0.80 -
69102at50557_7029_0:00259a|STRG.308.1:299-1087|+    -            263 69102at50557         -            161     8e-09   34.9   0.0   1   1   2.6e-11   1.7e-08   33.8   0.0     5    80   105   192   102   260 0.72 -
69102at50557_69004_0:0020c7|STRG.308.3:60-1111|+    -            215 69102at50557         -            161   9.4e-09   34.6   0.1   1   1     2e-11   1.3e-08   34.2   0.1     5    78    66   151    63   214 0.76 -
69102at50557_7029_0:00259a|STRG.308.2:353-1258|+    -            302 69102at50557         -            161   1.1e-08   34.4   0.1   1   1   3.5e-11   2.3e-08   33.4   0.1     5    79   144   230   141   299 0.72 -
48331at50557_103372_0:001fed|STRG.7893.2:422-1555|+ -            378 69102at50557         -            161     2e-08   33.6   0.0   1   2   1.1e-06   0.00071   18.8   0.0     5    87   218   315   214   321 0.75 -
48331at50557_103372_0:001fed|STRG.7893.2:422-1555|+ -            378 69102at50557         -            161     2e-08   33.6   0.0   2   2   0.00011     0.075   12.2   0.0    96   121   351   376   334   378 0.77 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/69102at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/69102at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/69102at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:11:51 2024
# [ok]
