#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
108755at50557_178035_0:0020de|STRG.8551.2:289-915|+    -            209 108755at50557        -            150   2.6e-95  315.3   2.5   1   1   5.4e-97   3.1e-95  315.0   2.5     1   150    11   165    11   165 0.98 -
108755at50557_456900_0:000c82|STRG.8551.1:299-951|+    -            213 108755at50557        -            150   2.8e-95  315.2   2.5   1   1   5.7e-97   3.3e-95  314.9   2.5     1   150    11   165    11   165 0.98 -
104262at50557_39758_0:003743|STRG.6842.2:618-1229|+    -            204 108755at50557        -            150   1.1e-40  138.0   1.1   1   1   2.3e-42   1.3e-40  137.7   1.1     4   149     7   157     5   158 0.92 -
104262at50557_39758_0:003743|STRG.6842.1:618-1232|+    -            205 108755at50557        -            150   1.1e-40  138.0   1.1   1   1   2.3e-42   1.3e-40  137.7   1.1     4   149     7   157     5   158 0.92 -
107216at50557_51655_0:0016fc|STRG.12428.3:876-1472|+   -            199 108755at50557        -            150   1.7e-40  137.4   0.0   1   1   3.7e-42   2.1e-40  137.1   0.0     4   149    10   161     8   162 0.92 -
107216at50557_51655_0:0016fc|STRG.12428.4:1024-1620|+  -            199 108755at50557        -            150   1.7e-40  137.4   0.0   1   1   3.7e-42   2.1e-40  137.1   0.0     4   149    10   161     8   162 0.92 -
107216at50557_51655_0:0016fc|STRG.12428.5:866-1462|+   -            199 108755at50557        -            150   1.7e-40  137.4   0.0   1   1   3.7e-42   2.1e-40  137.1   0.0     4   149    10   161     8   162 0.92 -
107216at50557_51655_0:0016fc|STRG.12428.6:1022-1618|+  -            199 108755at50557        -            150   1.7e-40  137.4   0.0   1   1   3.7e-42   2.1e-40  137.1   0.0     4   149    10   161     8   162 0.92 -
104262at50557_411798_0:001745|STRG.16075.1:557-1084|+  -            176 108755at50557        -            150   5.4e-40  135.7   1.2   1   1   1.1e-41   6.6e-40  135.5   1.2     4   149    13   163    11   164 0.93 -
106023at50557_456900_0:0019f7|STRG.12795.1:907-1554|+  -            216 108755at50557        -            150   5.8e-40  135.7   0.1   1   1   1.2e-41     7e-40  135.4   0.1     3   149    22   173    20   174 0.94 -
106023at50557_456900_0:0019f7|STRG.12795.3:201-848|+   -            216 108755at50557        -            150   5.8e-40  135.7   0.1   1   1   1.2e-41     7e-40  135.4   0.1     3   149    22   173    20   174 0.94 -
106023at50557_456900_0:0019f7|STRG.12795.6:263-910|+   -            216 108755at50557        -            150   5.8e-40  135.7   0.1   1   1   1.2e-41     7e-40  135.4   0.1     3   149    22   173    20   174 0.94 -
106023at50557_456900_0:0019f7|STRG.12795.4:76-726|+    -            217 108755at50557        -            150   5.9e-40  135.6   0.1   1   1   1.2e-41   7.1e-40  135.4   0.1     3   149    23   174    21   175 0.94 -
106023at50557_67767_0:00110a|STRG.12795.5:188-856|+    -            223 108755at50557        -            150   6.3e-40  135.5   0.1   1   1   1.3e-41   7.8e-40  135.2   0.1     3   149    29   180    27   181 0.94 -
106023at50557_609295_0:001bec|STRG.12795.2:15-917|+    -            301 108755at50557        -            150   1.3e-39  134.5   0.1   1   1   3.1e-41   1.8e-39  134.0   0.1     3   149   107   258   105   259 0.94 -
104262at50557_103372_0:002a03|STRG.8872.1:174-833|+    -            220 108755at50557        -            150   2.3e-39  133.7   2.5   1   1   5.2e-41     3e-39  133.3   2.5     4   149    18   168    16   169 0.93 -
104262at50557_103372_0:002a03|STRG.8872.2:271-930|+    -            220 108755at50557        -            150   2.3e-39  133.7   2.5   1   1   5.2e-41     3e-39  133.3   2.5     4   149    18   168    16   169 0.93 -
104262at50557_103372_0:002a03|STRG.8872.3:431-1096|+   -            222 108755at50557        -            150   2.4e-39  133.7   2.5   1   1   5.4e-41   3.1e-39  133.3   2.5     4   149    20   170    18   171 0.93 -
104262at50557_64793_0:001dc9|STRG.8872.4:626-1405|+    -            260 108755at50557        -            150   3.6e-39  133.1   2.5   1   1   8.6e-41     5e-39  132.6   2.5     4   149    58   208    56   209 0.93 -
107216at50557_7038_0:002032|STRG.12428.1:688-1251|+    -            188 108755at50557        -            150   4.8e-39  132.7   0.0   1   1     1e-40   5.9e-39  132.4   0.0     4   149    17   168    15   169 0.92 -
107216at50557_7038_0:002032|STRG.12428.2:395-958|+     -            188 108755at50557        -            150   4.8e-39  132.7   0.0   1   1     1e-40   5.9e-39  132.4   0.0     4   149    17   168    15   169 0.92 -
104262at50557_132113_0:00109a|STRG.3358.1:232-741|+    -            170 108755at50557        -            150     5e-37  126.1   0.2   1   1     1e-38     6e-37  125.9   0.2     4   150    17   168    15   168 0.94 -
104262at50557_132113_0:00109a|STRG.3358.2:231-740|+    -            170 108755at50557        -            150     5e-37  126.1   0.2   1   1     1e-38     6e-37  125.9   0.2     4   150    17   168    15   168 0.94 -
107216at50557_103372_0:00094d|STRG.10328.1:138-704|+   -            189 108755at50557        -            150   3.1e-36  123.5   0.1   1   1     7e-38     4e-36  123.2   0.1     4   149     5   155     3   156 0.93 -
104262at50557_411798_0:001745|STRG.1128.1:160-804|+    -            215 108755at50557        -            150   8.7e-36  122.1   1.0   1   1   1.9e-37   1.1e-35  121.8   1.0     4   149     6   156     3   157 0.90 -
