#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
141970at50557_103372_0:000735|STRG.15757.1:226-726|+ -            167 141970at50557        -            136   1.6e-78  261.0   6.2   1   1   1.3e-81   1.8e-78  260.7   6.2     1   136    10   148    10   148 0.98 -
141970at50557_197043_0:00672d|STRG.10291.1:393-650|+ -             86 141970at50557        -            136   7.3e-16   58.0   0.1   1   1   5.6e-19     8e-16   57.9   0.1     2    74    10    86     9    86 0.92 -
141970at50557_7260_0:001491|STRG.2404.1:180-467|+    -             96 141970at50557        -            136   5.5e-10   39.0   0.0   1   1   4.3e-13     6e-10   38.9   0.0     3    86     7    94     5    96 0.89 -
141970at50557_121845_0:0031d2|STRG.2404.2:377-640|+  -             88 141970at50557        -            136   9.8e-10   38.2   0.0   1   1   7.2e-13     1e-09   38.1   0.0     3    80     1    82     1    88 0.88 -
141970at50557_121845_0:0031d2|STRG.2404.3:94-357|+   -             88 141970at50557        -            136   9.8e-10   38.2   0.0   1   1   7.2e-13     1e-09   38.1   0.0     3    80     1    82     1    88 0.88 -
56026at50557_103372_0:0024e3|STRG.1401.1:270-2192|+  -            641 141970at50557        -            136       4.6    6.9   8.0   1   4       0.3   4.3e+02    0.5   0.0    11    34   287   310   281   317 0.86 -
56026at50557_103372_0:0024e3|STRG.1401.1:270-2192|+  -            641 141970at50557        -            136       4.6    6.9   8.0   2   4       1.1   1.5e+03   -1.3   0.0    72   115   438   481   380   496 0.71 -
56026at50557_103372_0:0024e3|STRG.1401.1:270-2192|+  -            641 141970at50557        -            136       4.6    6.9   8.0   3   4    0.0098        14    5.3   3.7    86   134   524   573   511   575 0.76 -
56026at50557_103372_0:0024e3|STRG.1401.1:270-2192|+  -            641 141970at50557        -            136       4.6    6.9   8.0   4   4       2.7   3.9e+03   -2.6   0.0    81   114   593   626   584   635 0.64 -
56026at50557_103372_0:0024e3|STRG.1401.3:258-2180|+  -            641 141970at50557        -            136       4.6    6.9   8.0   1   4       0.3   4.3e+02    0.5   0.0    11    34   287   310   281   317 0.86 -
56026at50557_103372_0:0024e3|STRG.1401.3:258-2180|+  -            641 141970at50557        -            136       4.6    6.9   8.0   2   4       1.1   1.5e+03   -1.3   0.0    72   115   438   481   380   496 0.71 -
56026at50557_103372_0:0024e3|STRG.1401.3:258-2180|+  -            641 141970at50557        -            136       4.6    6.9   8.0   3   4    0.0098        14    5.3   3.7    86   134   524   573   511   575 0.76 -
56026at50557_103372_0:0024e3|STRG.1401.3:258-2180|+  -            641 141970at50557        -            136       4.6    6.9   8.0   4   4       2.7   3.9e+03   -2.6   0.0    81   114   593   626   584   635 0.64 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/141970at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/141970at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/141970at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:06:54 2024
# [ok]
