#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
75144at50557_34720_0:000d74|STRG.5640.1:130-1302|+   -            391 75144at50557         -            307  8.3e-148  490.5   1.4   1   1  1.5e-148  5.8e-146  484.5   1.4     1   307     7   381     7   381 0.87 -
75144at50557_28612_0:003734|STRG.794.1:141-1268|+    -            376 75144at50557         -            307   9.2e-61  204.6   0.0   1   1   2.3e-61   8.9e-59  198.1   0.0     1   307    10   367    10   367 0.81 -
75144at50557_28612_0:003734|STRG.478.1:196-1323|+    -            376 75144at50557         -            307   1.4e-60  204.1   0.0   1   2     7e-56   2.8e-53  180.1   0.0     1   257    10   284    10   290 0.87 -
75144at50557_28612_0:003734|STRG.478.1:196-1323|+    -            376 75144at50557         -            307   1.4e-60  204.1   0.0   2   2   1.1e-07   4.3e-05   21.8   0.0   252   307   295   367   287   367 0.71 -
75144at50557_28612_0:003734|STRG.478.2:131-1258|+    -            376 75144at50557         -            307   1.4e-60  204.1   0.0   1   2     7e-56   2.8e-53  180.1   0.0     1   257    10   284    10   290 0.87 -
75144at50557_28612_0:003734|STRG.478.2:131-1258|+    -            376 75144at50557         -            307   1.4e-60  204.1   0.0   2   2   1.1e-07   4.3e-05   21.8   0.0   252   307   295   367   287   367 0.71 -
75144at50557_28612_0:003734|STRG.478.3:159-1286|+    -            376 75144at50557         -            307   1.4e-60  204.1   0.0   1   2     7e-56   2.8e-53  180.1   0.0     1   257    10   284    10   290 0.87 -
75144at50557_28612_0:003734|STRG.478.3:159-1286|+    -            376 75144at50557         -            307   1.4e-60  204.1   0.0   2   2   1.1e-07   4.3e-05   21.8   0.0   252   307   295   367   287   367 0.71 -
75144at50557_28612_0:003734|STRG.791.1:175-1302|+    -            376 75144at50557         -            307     6e-60  202.0   0.0   1   1   1.1e-60   4.4e-58  195.8   0.0     1   307    10   367    10   367 0.80 -
75144at50557_28612_0:003734|STRG.792.1:117-1244|+    -            376 75144at50557         -            307     6e-60  202.0   0.0   1   1   1.1e-60   4.4e-58  195.8   0.0     1   307    10   367    10   367 0.80 -
75144at50557_28612_0:003734|STRG.1973.1:388-1506|+   -            373 75144at50557         -            307   2.9e-57  193.1   0.0   1   1   6.7e-58   2.7e-55  186.7   0.0     1   307    10   364    10   364 0.81 -
75144at50557_28612_0:003734|STRG.11360.1:141-1241|+  -            367 75144at50557         -            307   1.7e-43  147.9   0.0   1   1   5.8e-45   2.3e-42  144.2   0.0     1   297     4   339     4   358 0.79 -
57613at50557_610380_0:00141b|STRG.16692.2:0-1181|+   -            394 75144at50557         -            307   1.1e-40  138.7   0.1   1   2     2e-41   7.7e-39  132.6   0.0    26   279    49   325    10   339 0.78 -
57613at50557_610380_0:00141b|STRG.16692.2:0-1181|+   -            394 75144at50557         -            307   1.1e-40  138.7   0.1   2   2      0.52   2.1e+02   -0.2   0.0   293   307   368   382   327   382 0.84 -
57613at50557_610380_0:00141b|STRG.16692.3:0-1199|+   -            400 75144at50557         -            307   2.1e-40  137.8   0.1   1   2   4.3e-41   1.7e-38  131.5   0.0    27   279    56   331    10   343 0.83 -
57613at50557_610380_0:00141b|STRG.16692.3:0-1199|+   -            400 75144at50557         -            307   2.1e-40  137.8   0.1   2   2       0.6   2.4e+02   -0.3   0.0   294   307   375   388   340   388 0.87 -
57613at50557_610380_0:00141b|STRG.16692.1:272-1477|+ -            402 75144at50557         -            307   2.2e-40  137.7   0.1   1   2   4.4e-41   1.7e-38  131.5   0.0    27   279    58   333    12   345 0.83 -
57613at50557_610380_0:00141b|STRG.16692.1:272-1477|+ -            402 75144at50557         -            307   2.2e-40  137.7   0.1   2   2       0.6   2.4e+02   -0.3   0.0   294   307   377   390   342   390 0.87 -
57613at50557_610380_0:00141b|STRG.16692.5:0-1199|+   -            400 75144at50557         -            307   6.9e-40  136.1   0.1   1   2   1.5e-40   5.7e-38  129.8   0.0    32   279    61   331    10   344 0.84 -
57613at50557_610380_0:00141b|STRG.16692.5:0-1199|+   -            400 75144at50557         -            307   6.9e-40  136.1   0.1   2   2      0.55   2.2e+02   -0.2   0.0   293   307   374   388   335   388 0.84 -
