#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
52703at50557_103372_0:001b91|STRG.10294.1:110-1360|+ -            417 52703at50557         -            352  1.6e-201  667.4   0.0   1   1  1.2e-203  4.2e-201  666.0   0.0     1   352     6   414     6   414 0.93 -
75144at50557_28612_0:003734|STRG.794.1:141-1268|+    -            376 52703at50557         -            352   2.2e-69  232.8   0.0   1   1   7.2e-72   2.6e-69  232.5   0.0     2   332     8   350     7   373 0.89 -
75144at50557_28612_0:003734|STRG.478.1:196-1323|+    -            376 52703at50557         -            352   3.8e-69  232.0   0.0   1   1   1.3e-71   4.7e-69  231.7   0.0     2   332     8   350     7   374 0.89 -
75144at50557_28612_0:003734|STRG.478.2:131-1258|+    -            376 52703at50557         -            352   3.8e-69  232.0   0.0   1   1   1.3e-71   4.7e-69  231.7   0.0     2   332     8   350     7   374 0.89 -
75144at50557_28612_0:003734|STRG.478.3:159-1286|+    -            376 52703at50557         -            352   3.8e-69  232.0   0.0   1   1   1.3e-71   4.7e-69  231.7   0.0     2   332     8   350     7   374 0.89 -
75144at50557_28612_0:003734|STRG.1973.1:388-1506|+   -            373 52703at50557         -            352   4.4e-69  231.8   0.0   1   1   1.5e-71   5.6e-69  231.5   0.0     2   332     8   347     7   360 0.90 -
75144at50557_28612_0:003734|STRG.791.1:175-1302|+    -            376 52703at50557         -            352   4.5e-69  231.8   0.0   1   1   1.5e-71   5.5e-69  231.5   0.0     2   332     8   350     7   373 0.89 -
75144at50557_28612_0:003734|STRG.792.1:117-1244|+    -            376 52703at50557         -            352   4.5e-69  231.8   0.0   1   1   1.5e-71   5.5e-69  231.5   0.0     2   332     8   350     7   373 0.89 -
75144at50557_28612_0:003734|STRG.11360.1:141-1241|+  -            367 52703at50557         -            352   2.1e-61  206.6   0.0   1   1   6.9e-64   2.5e-61  206.3   0.0     3   330     3   339     1   354 0.89 -
57613at50557_610380_0:00141b|STRG.16692.2:0-1181|+   -            394 52703at50557         -            352   1.1e-57  194.3   0.1   1   1   4.2e-60   1.5e-57  193.9   0.1     3   311     9   331     7   356 0.88 -
57613at50557_610380_0:00141b|STRG.16692.5:0-1199|+   -            400 52703at50557         -            352   1.6e-57  193.8   0.1   1   1   5.9e-60   2.2e-57  193.4   0.1     3   311     9   337     7   362 0.88 -
57613at50557_610380_0:00141b|STRG.16692.3:0-1199|+   -            400 52703at50557         -            352   1.9e-56  190.3   0.1   1   1   6.9e-59   2.5e-56  189.9   0.1     3   311     9   337     7   362 0.88 -
57613at50557_610380_0:00141b|STRG.16692.1:272-1477|+ -            402 52703at50557         -            352   1.9e-56  190.2   0.1   1   1     7e-59   2.6e-56  189.8   0.1     3   311    11   339     9   364 0.88 -
57613at50557_610380_0:00141b|STRG.16692.4:272-1495|+ -            408 52703at50557         -            352   4.7e-55  185.7   0.1   1   1   1.7e-57   6.4e-55  185.2   0.1     3   311    11   345     9   370 0.86 -
75144at50557_7539_0:003503|STRG.12612.1:145-1377|+   -            411 52703at50557         -            352   7.4e-38  129.1   0.0   1   2   8.6e-32   3.1e-29  100.7   0.0     2   208     5   218     4   227 0.86 -
75144at50557_7539_0:003503|STRG.12612.1:145-1377|+   -            411 52703at50557         -            352   7.4e-38  129.1   0.0   2   2   3.6e-09   1.3e-06   26.4   0.0   229   329   279   385   263   401 0.78 -
75144at50557_7539_0:003503|STRG.12612.2:24-1256|+    -            411 52703at50557         -            352   7.4e-38  129.1   0.0   1   2   8.6e-32   3.1e-29  100.7   0.0     2   208     5   218     4   227 0.86 -
75144at50557_7539_0:003503|STRG.12612.2:24-1256|+    -            411 52703at50557         -            352   7.4e-38  129.1   0.0   2   2   3.6e-09   1.3e-06   26.4   0.0   229   329   279   385   263   401 0.78 -
75144at50557_7539_0:003503|STRG.11477.1:207-1496|+   -            430 52703at50557         -            352   9.2e-37  125.5   0.0   1   2   7.9e-29   2.9e-26   91.0   0.0     3   213     6   235     4   267 0.78 -
75144at50557_7539_0:003503|STRG.11477.1:207-1496|+   -            430 52703at50557         -            352   9.2e-37  125.5   0.0   2   2     3e-10   1.1e-07   29.9   0.0   229   329   292   402   275   416 0.80 -
52703at50557_116153_0:001375|STRG.11704.2:370-1317|+ -            316 52703at50557         -            352   8.5e-22   76.3   0.1   1   2   0.00015     0.056   11.1   0.0     4    39     1    36     1    50 0.83 -
52703at50557_116153_0:001375|STRG.11704.2:370-1317|+ -            316 52703at50557         -            352   8.5e-22   76.3   0.1   2   2   3.3e-20   1.2e-17   62.6   0.1    71   312    44   292    36   311 0.81 -
52703at50557_116153_0:001375|STRG.11704.1:256-1257|+ -            334 52703at50557         -            352   9.2e-22   76.2   0.1   1   2   0.00019     0.069   10.8   0.0     4    39     1    36     1    48 0.84 -
52703at50557_116153_0:001375|STRG.11704.1:256-1257|+ -            334 52703at50557         -            352   9.2e-22   76.2   0.1   2   2   3.7e-20   1.4e-17   62.5   0.1    71   313    44   293    38   317 0.81 -
75144at50557_34720_0:000d74|STRG.5640.1:130-1302|+   -            391 52703at50557         -            352   5.2e-18   63.9   0.1   1   2   8.1e-12     3e-09   35.0   0.5    49   220    42   220     5   233 0.77 -
75144at50557_34720_0:000d74|STRG.5640.1:130-1302|+   -            391 52703at50557         -            352   5.2e-18   63.9   0.1   2   2   2.3e-09   8.6e-07   27.0   0.0   199   329   228   361   220   377 0.82 -
75144at50557_28612_0:003734|STRG.3282.1:174-755|+    -            194 52703at50557         -            352   1.6e-12   45.8   0.0   1   1   4.9e-15   1.8e-12   45.6   0.0     4   187     9   194     6   194 0.87 -
150643at50557_315563_0:0000a6|STRG.791.1:1006-1302|+ -             99 52703at50557         -            352   3.7e-11   41.3   0.0   1   1     1e-13   3.8e-11   41.3   0.0   262   332     2    73     1    97 0.84 -
75144at50557_132113_0:003254|STRG.16390.1:851-1636|+ -            262 52703at50557         -            352   2.1e-06   25.7   0.0   1   1   8.7e-09   3.2e-06   25.1   0.0    98   302    26   240     6   253 0.79 -
57613at50557_7536_0:002bce|STRG.3282.1:1638-1994|+   -            119 52703at50557         -            352   0.00025   18.8   0.0   1   1   7.3e-07   0.00027   18.7   0.0   232   304     2    73     1    99 0.88 -
147680at50557_103372_0:000c7a|STRG.9798.1:93-554|+   -            154 52703at50557         -            352    0.0012   16.6   0.3   1   1   3.9e-06    0.0014   16.4   0.3   164   234    82   151    66   154 0.83 -
80072at50557_103372_0:001f31|STRG.11425.1:191-1252|+ -            354 52703at50557         -            352     0.047   11.4   0.5   1   2   0.00079      0.29    8.8   0.1   244   308    90   158    76   198 0.82 -
80072at50557_103372_0:001f31|STRG.11425.1:191-1252|+ -            354 52703at50557         -            352     0.047   11.4   0.5   2   2       0.2        75    0.8   0.1   293   344   290   341   212   346 0.67 -
80072at50557_103372_0:001f31|STRG.11425.2:111-1172|+ -            354 52703at50557         -            352     0.047   11.4   0.5   1   2   0.00079      0.29    8.8   0.1   244   308    90   158    76   198 0.82 -
80072at50557_103372_0:001f31|STRG.11425.2:111-1172|+ -            354 52703at50557         -            352     0.047   11.4   0.5   2   2       0.2        75    0.8   0.1   293   344   290   341   212   346 0.67 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/52703at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/52703at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/52703at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:10:45 2024
# [ok]
