#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
111975at50557_34720_0:001251|STRG.7486.1:112-1117|+  -            282 111975at50557        -            174   5.4e-61  204.4   0.2   1   1   2.1e-62   8.6e-60  200.5   0.2     1   154    99   282    99   282 0.90 -
28428at50557_7237_0:000277|STRG.3361.1:174-1133|+    -            320 111975at50557        -            174   2.1e-06   26.7   0.1   1   1   9.5e-09   3.9e-06   25.8   0.1    45    88    40    82    18    97 0.79 -
28428at50557_7237_0:000277|STRG.3361.2:586-1545|+    -            320 111975at50557        -            174   2.1e-06   26.7   0.1   1   1   9.5e-09   3.9e-06   25.8   0.1    45    88    40    82    18    97 0.79 -
28428at50557_7536_0:00380f|STRG.9988.3:747-1667|+    -            307 111975at50557        -            174   3.2e-06   26.0   0.1   1   1   1.3e-08   5.3e-06   25.3   0.1    39    98    29    87     6   117 0.84 -
28428at50557_7536_0:00380f|STRG.9988.4:726-1646|+    -            307 111975at50557        -            174   3.2e-06   26.0   0.1   1   1   1.3e-08   5.3e-06   25.3   0.1    39    98    29    87     6   117 0.84 -
28428at50557_7536_0:00380f|STRG.9988.5:56-976|+      -            307 111975at50557        -            174   3.2e-06   26.0   0.1   1   1   1.3e-08   5.3e-06   25.3   0.1    39    98    29    87     6   117 0.84 -
28428at50557_103372_0:00058c|STRG.9088.3:530-2071|+  -            514 111975at50557        -            174   4.7e-05   22.2   0.1   1   1   2.6e-07   0.00011   21.1   0.1    38    81   149   192   131   213 0.80 -
28428at50557_286306_0:004195|STRG.9088.1:408-2198|+  -            597 111975at50557        -            174   6.1e-05   21.9   0.1   1   1   3.2e-07   0.00013   20.8   0.1    38    81   151   194   133   215 0.80 -
28428at50557_286306_0:004195|STRG.9088.2:408-2216|+  -            603 111975at50557        -            174   6.2e-05   21.9   0.1   1   1   3.2e-07   0.00013   20.8   0.1    38    81   151   194   133   215 0.80 -
28428at50557_104452_0:0023d5|STRG.16154.1:930-1859|+ -            310 111975at50557        -            174   0.00015   20.6   0.2   1   1   7.5e-07   0.00031   19.6   0.2    42    90    32    80    25    91 0.83 -
28428at50557_104452_0:0023d5|STRG.16154.2:762-1691|+ -            310 111975at50557        -            174   0.00015   20.6   0.2   1   1   7.5e-07   0.00031   19.6   0.2    42    90    32    80    25    91 0.83 -
28428at50557_104452_0:0023d5|STRG.16154.3:868-1797|+ -            310 111975at50557        -            174   0.00015   20.6   0.2   1   1   7.5e-07   0.00031   19.6   0.2    42    90    32    80    25    91 0.83 -
30407at50557_1049336_0:003ea7|STRG.8348.1:799-1074|+ -             92 111975at50557        -            174   0.00065   18.5   0.0   1   1   1.9e-06   0.00077   18.3   0.0    49   100    25    76    15    90 0.81 -
132051at50557_34720_0:0009db|STRG.4022.3:225-873|+   -            193 111975at50557        -            174   0.00098   17.9   0.0   1   1   3.7e-06    0.0015   17.3   0.0    43   100    22    78    14    85 0.73 -
132051at50557_34720_0:0009db|STRG.4022.5:155-1171|+  -            269 111975at50557        -            174    0.0016   17.2   0.0   1   1     7e-06    0.0029   16.4   0.0    43   100    98   154    90   160 0.72 -
132051at50557_34720_0:0009db|STRG.4022.1:265-1113|+  -            283 111975at50557        -            174    0.0018   17.1   0.0   1   1   7.6e-06    0.0031   16.3   0.0    43    99   112   167   104   174 0.71 -
132051at50557_34720_0:0009db|STRG.4022.4:183-1241|+  -            283 111975at50557        -            174    0.0018   17.1   0.0   1   1   7.6e-06    0.0031   16.3   0.0    43    99   112   167   104   174 0.71 -
132051at50557_34720_0:0009db|STRG.4022.2:265-1116|+  -            284 111975at50557        -            174    0.0018   17.1   0.0   1   1   7.6e-06    0.0031   16.3   0.0    43    99   113   168   105   175 0.71 -
99964at50557_38123_0:0026b4|STRG.12573.1:562-972|+   -            137 111975at50557        -            174    0.0024   16.7   0.9   1   2   0.00041      0.17   10.7   0.6    45    91    26    70    12    88 0.68 -
99964at50557_38123_0:0026b4|STRG.12573.1:562-972|+   -            137 111975at50557        -            174    0.0024   16.7   0.9   2   2     0.028        12    4.7   0.0    74   105    92   123    80   132 0.80 -
30407at50557_34720_0:002996|STRG.16750.2:118-2049|+  -            644 111975at50557        -            174     0.005   15.6   0.1   1   1   2.3e-05    0.0096   14.7   0.1    38    90    13    65     6    98 0.75 -
30407at50557_34720_0:002996|STRG.16750.3:224-2335|+  -            704 111975at50557        -            174    0.0052   15.6   0.0   1   1   2.4e-05      0.01   14.7   0.0    38    90    73   125    63   158 0.76 -
30407at50557_34720_0:002996|STRG.16750.4:0-2111|+    -            704 111975at50557        -            174    0.0052   15.6   0.0   1   1   2.4e-05      0.01   14.7   0.0    38    90    73   125    63   158 0.76 -
30407at50557_286306_0:003a7a|STRG.16750.1:37-2677|+  -            848 111975at50557        -            174    0.0064   15.3   0.0   1   1   3.1e-05     0.013   14.3   0.0    38    90   222   274   212   307 0.76 -
30407at50557_143948_0:00063f|STRG.8348.2:615-1796|+  -            394 111975at50557        -            174    0.0072   15.1   0.0   1   1   3.5e-05     0.014   14.1   0.0    49   100    25    76    17    95 0.80 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/111975at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/111975at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/111975at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:05:38 2024
# [ok]
