#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
129956at50557_34720_0:00189a|STRG.9820.1:157-573|+     -            139 129956at50557        -            110     6e-63  208.8   0.2   1   1   1.5e-64   7.1e-63  208.5   0.2     1   108     1   112     1   117 0.94 -
117816at50557_7200_0:0014c2|STRG.16312.7:812-1705|+    -            298 129956at50557        -            110   7.2e-29   99.0   0.1   1   3   7.1e-11   3.3e-09   35.8   0.0    42   107     2    67     1    70 0.94 -
117816at50557_7200_0:0014c2|STRG.16312.7:812-1705|+    -            298 129956at50557        -            110   7.2e-29   99.0   0.1   2   3   9.3e-09   4.3e-07   28.9   0.0    30    94    76   140    71   152 0.95 -
117816at50557_7200_0:0014c2|STRG.16312.7:812-1705|+    -            298 129956at50557        -            110   7.2e-29   99.0   0.1   3   3   2.3e-09   1.1e-07   30.9   0.0    31   104   215   289   208   295 0.91 -
117816at50557_69004_0:00324f|STRG.6302.1:625-1668|+    -            348 129956at50557        -            110   2.4e-28   97.3   0.2   1   4     1e-06   4.6e-05   22.4   0.0    32   104     2    74     1    80 0.95 -
117816at50557_69004_0:00324f|STRG.6302.1:625-1668|+    -            348 129956at50557        -            110   2.4e-28   97.3   0.2   2   4   1.2e-07   5.3e-06   25.4   0.1    32   107    90   164    83   167 0.91 -
117816at50557_69004_0:00324f|STRG.6302.1:625-1668|+    -            348 129956at50557        -            110   2.4e-28   97.3   0.2   3   4   1.9e-09   8.9e-08   31.1   0.0    30    98   181   248   164   261 0.87 -
117816at50557_69004_0:00324f|STRG.6302.1:625-1668|+    -            348 129956at50557        -            110   2.4e-28   97.3   0.2   4   4   0.00046     0.021   13.8   0.0    44    93   299   346   265   348 0.77 -
117816at50557_69004_0:00324f|STRG.6301.1:642-1685|+    -            348 129956at50557        -            110   3.3e-27   93.7   0.4   1   4   1.3e-06     6e-05   22.0   0.0    32   103     2    73     1    80 0.95 -
117816at50557_69004_0:00324f|STRG.6301.1:642-1685|+    -            348 129956at50557        -            110   3.3e-27   93.7   0.4   2   4   4.1e-07   1.9e-05   23.7   0.1    32   107    90   164    83   167 0.91 -
117816at50557_69004_0:00324f|STRG.6301.1:642-1685|+    -            348 129956at50557        -            110   3.3e-27   93.7   0.4   3   4     5e-09   2.3e-07   29.8   0.0    30    98   181   248   164   261 0.86 -
