#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
68325at50557_34720_0:0013d3|STRG.8229.1:2-1162|+       -            387 68325at50557         -            295  2.1e-154  512.0   0.2   1   1    4e-152  1.8e-150  499.1   0.2     2   295    35   386    34   386 0.89 -
80377at50557_456900_0:000374|STRG.1093.1:114-1160|+    -            349 68325at50557         -            295   2.9e-12   45.4   0.3   1   3       7.3   3.2e+02   -0.7   0.0    30    96    34   102    23   130 0.60 -
80377at50557_456900_0:000374|STRG.1093.1:114-1160|+    -            349 68325at50557         -            295   2.9e-12   45.4   0.3   2   3     3e-12   1.3e-10   40.0   0.1    65   167   123   222   103   230 0.85 -
80377at50557_456900_0:000374|STRG.1093.1:114-1160|+    -            349 68325at50557         -            295   2.9e-12   45.4   0.3   3   3      0.72        32    2.6   0.0    99   142   239   278   219   289 0.70 -
43553at50557_13686_0:000241|STRG.15103.7:1549-3015|+   -            489 68325at50557         -            295   5.5e-10   37.9   0.3   1   4       1.8        79    1.3   0.0   218   251   219   251   201   279 0.79 -
43553at50557_13686_0:000241|STRG.15103.7:1549-3015|+   -            489 68325at50557         -            295   5.5e-10   37.9   0.3   2   4      0.88        39    2.3   0.0    77   116   296   333   290   342 0.87 -
43553at50557_13686_0:000241|STRG.15103.7:1549-3015|+   -            489 68325at50557         -            295   5.5e-10   37.9   0.3   3   4     0.034       1.5    6.9   0.0   101   143   360   402   348   403 0.80 -
43553at50557_13686_0:000241|STRG.15103.7:1549-3015|+   -            489 68325at50557         -            295   5.5e-10   37.9   0.3   4   4   6.3e-07   2.8e-05   22.5   0.0   100   161   401   460   390   482 0.81 -
43553at50557_13686_0:000241|STRG.15103.8:511-1977|+    -            489 68325at50557         -            295   5.5e-10   37.9   0.3   1   4       1.8        79    1.3   0.0   218   251   219   251   201   279 0.79 -
43553at50557_13686_0:000241|STRG.15103.8:511-1977|+    -            489 68325at50557         -            295   5.5e-10   37.9   0.3   2   4      0.88        39    2.3   0.0    77   116   296   333   290   342 0.87 -
43553at50557_13686_0:000241|STRG.15103.8:511-1977|+    -            489 68325at50557         -            295   5.5e-10   37.9   0.3   3   4     0.034       1.5    6.9   0.0   101   143   360   402   348   403 0.80 -
43553at50557_13686_0:000241|STRG.15103.8:511-1977|+    -            489 68325at50557         -            295   5.5e-10   37.9   0.3   4   4   6.3e-07   2.8e-05   22.5   0.0   100   161   401   460   390   482 0.81 -
43553at50557_13686_0:000241|STRG.15103.1:425-1957|+    -            511 68325at50557         -            295   6.6e-10   37.7   0.3   1   4       1.9        84    1.2   0.0   218   251   219   251   201   279 0.79 -
