#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
85095at50557_139723_0:000f9b|STRG.11874.1:223-420|+   -             66 85095at50557         -            131   9.3e-22   76.4   5.4   1   1   1.6e-24   9.8e-22   76.3   5.4    54   115     1    64     1    66 0.90 -
21322at50557_456900_0:00141f|STRG.6926.1:1490-2731|+  -            414 85095at50557         -            131   0.00018   20.5   5.4   1   1   5.1e-07   0.00031   19.7   5.4    51   125   264   340   241   346 0.80 -
21322at50557_456900_0:00141f|STRG.6926.2:224-1468|+   -            415 85095at50557         -            131   0.00018   20.5   5.4   1   1   5.1e-07   0.00031   19.7   5.4    51   125   265   341   242   347 0.80 -
21322at50557_34720_0:0010a4|STRG.6926.3:1041-2726|+   -            562 85095at50557         -            131    0.0003   19.8   5.5   1   1   9.1e-07   0.00057   18.9   5.5    51   125   412   488   390   494 0.80 -
21322at50557_34720_0:0010a4|STRG.6926.6:76-2544|+     -            823 85095at50557         -            131   0.00042   19.3   5.5   1   1   1.5e-06   0.00093   18.2   5.5    51   124   673   748   652   755 0.80 -
21322at50557_34720_0:0010a4|STRG.6926.5:340-2823|+    -            828 85095at50557         -            131   0.00043   19.3   5.5   1   1   1.5e-06   0.00094   18.2   5.5    51   124   678   753   657   760 0.80 -
21322at50557_34720_0:0010a4|STRG.6926.4:0-2915|+      -            972 85095at50557         -            131    0.0006   18.8   5.7   1   1   2.2e-06    0.0014   17.7   5.7    51   124   822   897   802   904 0.80 -
132044at50557_520822_0:0005e7|STRG.14750.4:401-1144|+ -            248 85095at50557         -            131    0.0057   15.6   5.0   1   1   1.5e-05    0.0095   14.9   5.0    66   124   182   239   180   247 0.73 -
132044at50557_520822_0:0005e7|STRG.14750.2:400-1134|+ -            245 85095at50557         -            131    0.0059   15.6   5.0   1   1   1.7e-05      0.01   14.8   5.0    66   124   179   236   178   244 0.73 -
132044at50557_456900_0:0001a8|STRG.14750.7:405-1247|+ -            281 85095at50557         -            131    0.0066   15.4   5.0   1   1   1.9e-05     0.012   14.6   5.0    66   124   215   272   213   280 0.73 -
132044at50557_520822_0:0005e7|STRG.14750.3:403-1236|+ -            278 85095at50557         -            131    0.0068   15.4   5.0   1   1   1.9e-05     0.012   14.6   5.0    66   124   212   269   210   277 0.73 -
132044at50557_520822_0:0005e7|STRG.14750.6:402-1226|+ -            275 85095at50557         -            131    0.0071   15.3   5.0   1   1     2e-05     0.013   14.5   5.0    66   124   209   266   208   274 0.73 -
132044at50557_520822_0:0005e7|STRG.14750.1:277-1104|+ -            276 85095at50557         -            131    0.0072   15.3   5.0   1   1     2e-05     0.013   14.5   5.0    66   124   210   267   209   275 0.73 -
132044at50557_456900_0:0001a8|STRG.14750.5:280-1212|+ -            311 85095at50557         -            131    0.0077   15.2   5.0   1   1   2.3e-05     0.014   14.4   5.0    66   124   245   302   243   310 0.73 -
128977at50557_456900_0:000fc5|STRG.2875.1:796-1614|+  -            273 85095at50557         -            131       4.7    6.2   9.1   1   1     0.015       9.4    5.2   9.1    70   119   191   240   127   258 0.84 -
128977at50557_456900_0:000fc5|STRG.2875.2:769-1587|+  -            273 85095at50557         -            131       4.7    6.2   9.1   1   1     0.015       9.4    5.2   9.1    70   119   191   240   127   258 0.84 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/85095at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/85095at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/85095at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:12:54 2024
# [ok]
