#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
101706at50557_103372_0:0010d1|STRG.4973.1:670-1545|+ -            292 101706at50557        -            233  6.5e-121  401.5  22.7   1   1  2.1e-123  8.9e-121  401.0  22.7     1   232    12   265    12   266 0.94 -
101706at50557_79782_0:001d0f|STRG.987.1:199-978|+    -            260 101706at50557        -            233     2e-21   75.9  16.1   1   1   5.6e-24   2.4e-21   75.7  16.1    25   229    30   248     3   253 0.83 -
101706at50557_79782_0:001d0f|STRG.987.2:399-1178|+   -            260 101706at50557        -            233     2e-21   75.9  16.1   1   1   5.6e-24   2.4e-21   75.7  16.1    25   229    30   248     3   253 0.83 -
101706at50557_132113_0:000548|STRG.986.1:216-887|+   -            224 101706at50557        -            233   1.8e-20   72.8  14.1   1   1   5.3e-23   2.3e-20   72.5  14.1    30   230     1   213     1   216 0.76 -
101706at50557_132113_0:000548|STRG.986.2:764-1435|+  -            224 101706at50557        -            233   1.8e-20   72.8  14.1   1   1   5.3e-23   2.3e-20   72.5  14.1    30   230     1   213     1   216 0.76 -
101706at50557_166423_0:001df5|STRG.9692.1:653-1360|+ -            236 101706at50557        -            233   5.2e-20   71.3  19.8   1   1   1.4e-22   5.9e-20   71.1  19.8    18   232     7   235     1   236 0.73 -
101706at50557_166423_0:001df5|STRG.9692.2:353-1060|+ -            236 101706at50557        -            233   5.2e-20   71.3  19.8   1   1   1.4e-22   5.9e-20   71.1  19.8    18   232     7   235     1   236 0.73 -
101706at50557_132113_0:0019a6|STRG.994.1:295-930|+   -            212 101706at50557        -            233   2.5e-19   69.1  10.0   1   1   6.2e-22   2.6e-19   69.0  10.0    24   182    31   198     5   212 0.72 -
101706at50557_132113_0:000548|STRG.1000.1:524-1249|+ -            242 101706at50557        -            233   1.6e-16   59.9  19.6   1   1   4.9e-19   2.1e-16   59.5  19.6    26   213    17   211     3   236 0.75 -
101706at50557_132113_0:000548|STRG.1000.2:141-866|+  -            242 101706at50557        -            233   1.6e-16   59.9  19.6   1   1   4.9e-19   2.1e-16   59.5  19.6    26   213    17   211     3   236 0.75 -
101706at50557_132113_0:000548|STRG.1000.3:741-1466|+ -            242 101706at50557        -            233   1.6e-16   59.9  19.6   1   1   4.9e-19   2.1e-16   59.5  19.6    26   213    17   211     3   236 0.75 -
101706at50557_132113_0:000548|STRG.1000.4:161-886|+  -            242 101706at50557        -            233   1.6e-16   59.9  19.6   1   1   4.9e-19   2.1e-16   59.5  19.6    26   213    17   211     3   236 0.75 -
101706at50557_132113_0:000548|STRG.856.1:613-1302|+  -            230 101706at50557        -            233   8.2e-16   57.6  19.2   1   1   2.9e-18   1.3e-15   56.9  19.2    27   229     8   223     2   227 0.76 -
101706at50557_132113_0:000548|STRG.856.3:499-1188|+  -            230 101706at50557        -            233   8.2e-16   57.6  19.2   1   1   2.9e-18   1.3e-15   56.9  19.2    27   229     8   223     2   227 0.76 -
101706at50557_166423_0:001df5|STRG.983.1:364-1020|+  -            219 101706at50557        -            233     4e-15   55.3  17.8   1   1   1.6e-17   6.8e-15   54.5  17.8    30   228     5   215     1   219 0.72 -
101706at50557_166423_0:001df5|STRG.983.2:362-1018|+  -            219 101706at50557        -            233     4e-15   55.3  17.8   1   1   1.6e-17   6.8e-15   54.5  17.8    30   228     5   215     1   219 0.72 -
101706at50557_166423_0:001df5|STRG.983.3:381-1037|+  -            219 101706at50557        -            233     4e-15   55.3  17.8   1   1   1.6e-17   6.8e-15   54.5  17.8    30   228     5   215     1   219 0.72 -
101706at50557_132113_0:000548|STRG.856.2:613-1299|+  -            229 101706at50557        -            233   7.4e-15   54.4  22.8   1   1   2.6e-17   1.1e-14   53.9  22.8    27   229     8   222     2   226 0.74 -
101706at50557_13686_0:002438|STRG.9857.1:4-504|+     -            167 101706at50557        -            233   3.2e-14   52.3  16.8   1   1   8.9e-17   3.8e-14   52.1  16.8    89   231     2   158     1   164 0.70 -
101706at50557_166423_0:00202a|STRG.998.1:658-1146|+  -            163 101706at50557        -            233   3.8e-14   52.1  13.3   1   1   1.1e-16   4.6e-14   51.8  13.3   102   232     4   145     1   146 0.76 -
101706at50557_69319_0:002334|STRG.6444.1:157-816|+   -            220 101706at50557        -            233   7.7e-14   51.1  15.0   1   1   2.2e-16   9.7e-14   50.8  15.0    11   194    26   220    15   220 0.66 -
101706at50557_132113_0:000baf|STRG.8386.1:123-785|+  -            221 101706at50557        -            233   2.4e-13   49.5  24.0   1   1   6.5e-16   2.8e-13   49.3  24.0    26   194     2   182     1   221 0.69 -
101706at50557_166423_0:00202a|STRG.980.1:124-906|+   -            261 101706at50557        -            233   5.2e-12   45.1  22.7   1   1   2.7e-14   1.1e-11   44.0  22.7    23   201    24   210     5   246 0.65 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/101706at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/101706at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/101706at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:05:02 2024
# [ok]
