#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
31374at50557_103372_0:0017b9|STRG.16521.1:92-2047|+    -            652 31374at50557         -            569  4.5e-290  962.0  17.0   1   1  3.9e-290  1.1e-288  957.5  17.0     1   569     4   647     4   647 0.94 -
31374at50557_1155016_0:001371|STRG.8891.2:390-1844|+   -            485 31374at50557         -            569   2.8e-69  233.1   9.3   1   2   6.2e-13   1.7e-11   42.3   1.2    48   163     3   132     1   153 0.87 -
31374at50557_1155016_0:001371|STRG.8891.2:390-1844|+   -            485 31374at50557         -            569   2.8e-69  233.1   9.3   2   2   1.3e-58   3.5e-57  193.1   1.5   254   532   173   472   168   479 0.83 -
31374at50557_133901_0:001035|STRG.8891.1:326-1870|+    -            515 31374at50557         -            569   1.2e-68  230.9   9.5   1   2   2.6e-12     7e-11   40.2   1.3    51   163     1   127     1   147 0.87 -
31374at50557_133901_0:001035|STRG.8891.1:326-1870|+    -            515 31374at50557         -            569   1.2e-68  230.9   9.5   2   2   1.5e-58   4.1e-57  192.9   1.6   254   532   168   467   162   474 0.83 -
57752at50557_121225_0:0018b6|STRG.7485.1:539-1453|+    -            305 31374at50557         -            569   1.7e-51  174.3  11.0   1   3   4.8e-27   1.3e-25   88.9   1.9   343   476     1   135     1   139 0.96 -
57752at50557_121225_0:0018b6|STRG.7485.1:539-1453|+    -            305 31374at50557         -            569   1.7e-51  174.3  11.0   2   3   7.5e-08   2.1e-06   25.5   0.1   343   400   128   185   128   199 0.93 -
57752at50557_121225_0:0018b6|STRG.7485.1:539-1453|+    -            305 31374at50557         -            569   1.7e-51  174.3  11.0   3   3   3.6e-21   9.8e-20   69.5   0.6   361   459   207   305   201   305 0.97 -
57752at50557_121225_0:0018b6|STRG.7485.2:537-1451|+    -            305 31374at50557         -            569   1.7e-51  174.3  11.0   1   3   4.8e-27   1.3e-25   88.9   1.9   343   476     1   135     1   139 0.96 -
57752at50557_121225_0:0018b6|STRG.7485.2:537-1451|+    -            305 31374at50557         -            569   1.7e-51  174.3  11.0   2   3   7.5e-08   2.1e-06   25.5   0.1   343   400   128   185   128   199 0.93 -
57752at50557_121225_0:0018b6|STRG.7485.2:537-1451|+    -            305 31374at50557         -            569   1.7e-51  174.3  11.0   3   3   3.6e-21   9.8e-20   69.5   0.6   361   459   207   305   201   305 0.97 -
