#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
37475at50557_103372_0:00039a|STRG.14964.1:2-1201|+    -            400 37475at50557         -            589   4.3e-95  315.9   8.0   1   1   1.2e-94   1.3e-93  311.0   8.0   257   566     7   400     4   400 0.86 -
37475at50557_411798_0:00107d|STRG.3762.1:1-693|+      -            231 37475at50557         -            589   2.3e-84  280.5   4.3   1   1   4.5e-85     5e-84  279.4   4.3    23   214     1   231     1   231 0.89 -
37475at50557_144034_0:000f95|STRG.14964.2:707-1492|+  -            262 37475at50557         -            589   3.6e-54  180.8   2.5   1   1   4.4e-55     5e-54  180.3   2.5   370   566    20   262    14   262 0.81 -
48053at50557_454923_0:0026ff|STRG.931.2:584-1381|+    -            266 37475at50557         -            589   5.8e-19   64.5   7.1   1   4   7.3e-06   8.3e-05   17.8   0.3    70   109    12    51     7    57 0.91 -
48053at50557_454923_0:0026ff|STRG.931.2:584-1381|+    -            266 37475at50557         -            589   5.8e-19   64.5   7.1   2   4   6.5e-07   7.4e-06   21.3   0.0   146   182    59    95    55   100 0.93 -
48053at50557_454923_0:0026ff|STRG.931.2:584-1381|+    -            266 37475at50557         -            589   5.8e-19   64.5   7.1   3   4     1e-05   0.00012   17.3   0.0   146   213   101   180    97   191 0.76 -
48053at50557_454923_0:0026ff|STRG.931.2:584-1381|+    -            266 37475at50557         -            589   5.8e-19   64.5   7.1   4   4     0.024      0.27    6.2   0.2   135   179   218   266   214   266 0.79 -
48053at50557_454923_0:0026ff|STRG.931.1:174-986|+     -            271 37475at50557         -            589   1.1e-18   63.7   8.2   1   4   5.5e-06   6.2e-05   18.2   0.5    69   109    16    56     1    63 0.87 -
48053at50557_454923_0:0026ff|STRG.931.1:174-986|+     -            271 37475at50557         -            589   1.1e-18   63.7   8.2   2   4     6e-07   6.7e-06   21.4   0.0   146   182    64   100    60   107 0.92 -
48053at50557_454923_0:0026ff|STRG.931.1:174-986|+     -            271 37475at50557         -            589   1.1e-18   63.7   8.2   3   4   1.1e-05   0.00012   17.3   0.0   146   213   106   185   102   196 0.76 -
48053at50557_454923_0:0026ff|STRG.931.1:174-986|+     -            271 37475at50557         -            589   1.1e-18   63.7   8.2   4   4     0.025      0.28    6.1   0.2   135   179   223   271   219   271 0.79 -
48053at50557_29053_0:00114c|STRG.19597.1:516-1325|+   -            270 37475at50557         -            589   8.7e-16   54.1  13.5   1   6   0.00039    0.0044   12.1   0.2    61   109     8    57     1    61 0.72 -
48053at50557_29053_0:00114c|STRG.19597.1:516-1325|+   -            270 37475at50557         -            589   8.7e-16   54.1  13.5   2   6    0.0021     0.024    9.7   0.0   144   180    62    98    59   108 0.73 -
48053at50557_29053_0:00114c|STRG.19597.1:516-1325|+   -            270 37475at50557         -            589   8.7e-16   54.1  13.5   3   6   0.00097     0.011   10.8   0.1   148   187   108   149   100   153 0.82 -
48053at50557_29053_0:00114c|STRG.19597.1:516-1325|+   -            270 37475at50557         -            589   8.7e-16   54.1  13.5   4   6   0.00034    0.0038   12.3   0.1    76   108   151   183   144   188 0.76 -
48053at50557_29053_0:00114c|STRG.19597.1:516-1325|+   -            270 37475at50557         -            589   8.7e-16   54.1  13.5   5   6     0.022      0.25    6.3   0.0   138   190   185   238   183   240 0.86 -
48053at50557_29053_0:00114c|STRG.19597.1:516-1325|+   -            270 37475at50557         -            589   8.7e-16   54.1  13.5   6   6    0.0016     0.018   10.1   0.5   149   179   240   270   238   270 0.97 -
37475at50557_136037_0:002606|STRG.5321.1:249-1877|+   -            543 37475at50557         -            589     1e-15   53.9   2.0   1   5   0.00011    0.0012   14.0   0.0   123   195    16    90    13    94 0.84 -
37475at50557_136037_0:002606|STRG.5321.1:249-1877|+   -            543 37475at50557         -            589     1e-15   53.9   2.0   2   5       3.2        36   -0.8   0.0   223   240    92   109    90   126 0.73 -
37475at50557_136037_0:002606|STRG.5321.1:249-1877|+   -            543 37475at50557         -            589     1e-15   53.9   2.0   3   5       0.9        10    1.0   0.0   175   205   169   199   155   208 0.78 -
37475at50557_136037_0:002606|STRG.5321.1:249-1877|+   -            543 37475at50557         -            589     1e-15   53.9   2.0   4   5     0.059      0.66    4.9   0.0    75   109   302   336   280   340 0.90 -
37475at50557_136037_0:002606|STRG.5321.1:249-1877|+   -            543 37475at50557         -            589     1e-15   53.9   2.0   5   5     6e-05   0.00068   14.8   0.1   119   179   478   543   472   543 0.81 -
48053at50557_39758_0:003519|STRG.15815.1:30-869|+     -            280 37475at50557         -            589     1e-15   53.8   4.3   1   5   5.7e-05   0.00064   14.9   0.0   151   188     1    38     1    42 0.91 -
48053at50557_39758_0:003519|STRG.15815.1:30-869|+     -            280 37475at50557         -            589     1e-15   53.8   4.3   2   5     0.092         1    4.3   0.2   151   188    43    80    39    83 0.85 -
48053at50557_39758_0:003519|STRG.15815.1:30-869|+     -            280 37475at50557         -            589     1e-15   53.8   4.3   3   5   0.00013    0.0015   13.6   0.0   149   183    83   117    80   121 0.93 -
48053at50557_39758_0:003519|STRG.15815.1:30-869|+     -            280 37475at50557         -            589     1e-15   53.8   4.3   4   5     0.039      0.44    5.5   0.0   149   183   155   189   148   194 0.85 -
48053at50557_39758_0:003519|STRG.15815.1:30-869|+     -            280 37475at50557         -            589     1e-15   53.8   4.3   5   5   0.00014    0.0016   13.6   0.0   149   189   199   239   192   263 0.80 -
48053at50557_315563_0:00236c|STRG.13622.1:2413-4005|+ -            531 37475at50557         -            589   1.5e-15   53.2   3.5   1   7    0.0051     0.058    8.4   0.0   147   182    28    63    19    68 0.92 -
48053at50557_315563_0:00236c|STRG.13622.1:2413-4005|+ -            531 37475at50557         -            589   1.5e-15   53.2   3.5   2   7      0.42       4.7    2.1   0.0   146   175    69    98    63   101 0.85 -
48053at50557_315563_0:00236c|STRG.13622.1:2413-4005|+ -            531 37475at50557         -            589   1.5e-15   53.2   3.5   3   7   3.6e-05    0.0004   15.5   0.0    71   195   107   243    95   262 0.80 -
48053at50557_315563_0:00236c|STRG.13622.1:2413-4005|+ -            531 37475at50557         -            589   1.5e-15   53.2   3.5   4   7      0.33       3.7    2.4   0.0    77   109   289   321   285   331 0.89 -
48053at50557_315563_0:00236c|STRG.13622.1:2413-4005|+ -            531 37475at50557         -            589   1.5e-15   53.2   3.5   5   7     0.011      0.12    7.3   0.0   149   180   332   363   327   372 0.89 -
48053at50557_315563_0:00236c|STRG.13622.1:2413-4005|+ -            531 37475at50557         -            589   1.5e-15   53.2   3.5   6   7    0.0042     0.048    8.7   0.0    80   183   375   488   370   495 0.73 -
48053at50557_315563_0:00236c|STRG.13622.1:2413-4005|+ -            531 37475at50557         -            589   1.5e-15   53.2   3.5   7   7      0.43       4.8    2.1   0.2   150   182   497   530   490   531 0.79 -
48053at50557_315563_0:00236c|STRG.13622.2:2616-4208|+ -            531 37475at50557         -            589   1.5e-15   53.2   3.5   1   7    0.0051     0.058    8.4   0.0   147   182    28    63    19    68 0.92 -
48053at50557_315563_0:00236c|STRG.13622.2:2616-4208|+ -            531 37475at50557         -            589   1.5e-15   53.2   3.5   2   7      0.42       4.7    2.1   0.0   146   175    69    98    63   101 0.85 -
