#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
98887at50557_222816_0:001359|STRG.14095.1:493-801|+  -            103 98887at50557         -            176     1e-42  142.6   0.0   1   1   3.1e-45   1.1e-42  142.5   0.0     1    94     1   103     1   103 0.93 -
98887at50557_103372_0:002690|STRG.14094.1:0-1103|+   -            368 98887at50557         -            176   4.5e-15   52.6   5.9   1   6       1.5   5.5e+02   -3.0   0.0    87   109    24    46    20    51 0.73 -
98887at50557_103372_0:002690|STRG.14094.1:0-1103|+   -            368 98887at50557         -            176   4.5e-15   52.6   5.9   2   6      0.12        44    0.5   0.0    87   140   124   183   118   191 0.60 -
98887at50557_103372_0:002690|STRG.14094.1:0-1103|+   -            368 98887at50557         -            176   4.5e-15   52.6   5.9   3   6     0.075        27    1.2   0.0    85   118   183   215   177   225 0.79 -
98887at50557_103372_0:002690|STRG.14094.1:0-1103|+   -            368 98887at50557         -            176   4.5e-15   52.6   5.9   4   6      0.29     1e+02   -0.7   0.0   117   128   245   256   236   259 0.89 -
98887at50557_103372_0:002690|STRG.14094.1:0-1103|+   -            368 98887at50557         -            176   4.5e-15   52.6   5.9   5   6   0.00097      0.35    7.4   0.1   125   140   284   299   279   308 0.82 -
98887at50557_103372_0:002690|STRG.14094.1:0-1103|+   -            368 98887at50557         -            176   4.5e-15   52.6   5.9   6   6   2.3e-14   8.4e-12   42.0   0.1   137   176   315   360   304   360 0.81 -
98887at50557_74869_0:002d49|STRG.11917.1:1135-1449|+ -            105 98887at50557         -            176   2.5e-10   37.1   0.4   1   1   1.3e-12   4.5e-10   36.3   0.4    33    93    31    91     1   104 0.75 -
98887at50557_74869_0:002d49|STRG.11917.2:521-835|+   -            105 98887at50557         -            176   2.5e-10   37.1   0.4   1   1   1.3e-12   4.5e-10   36.3   0.4    33    93    31    91     1   104 0.75 -
98887at50557_74869_0:002d49|STRG.11917.3:399-713|+   -            105 98887at50557         -            176   2.5e-10   37.1   0.4   1   1   1.3e-12   4.5e-10   36.3   0.4    33    93    31    91     1   104 0.75 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/98887at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/rerun_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/rerun_results/98887at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/98887at50557.hmm annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/rerun_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 18:09:12 2024
# [ok]
