#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
30467at50557_144034_0:0022a4|STRG.15987.1:195-2345|+  -            717 30467at50557         -            614         0 1055.3   8.4   1   1         0         0 1055.0   8.4     8   614    38   715    30   715 0.92 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+   -            712 30467at50557         -            614   1.3e-07   29.2   0.0   1   5   0.00072      0.11    9.6   0.0   181   257    49   131    45   133 0.75 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+   -            712 30467at50557         -            614   1.3e-07   29.2   0.0   2   5     0.023       3.4    4.7   0.0   187   235    98   153    93   161 0.80 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+   -            712 30467at50557         -            614   1.3e-07   29.2   0.0   3   5      0.31        48    0.9   0.0   177   251   250   287   181   333 0.65 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+   -            712 30467at50557         -            614   1.3e-07   29.2   0.0   4   5   0.00089      0.14    9.3   0.0   216   274   432   495   425   496 0.78 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+   -            712 30467at50557         -            614   1.3e-07   29.2   0.0   5   5     0.012       1.8    5.6   0.0   187   237   481   538   477   554 0.73 -
80377at50557_121845_0:0030d4|STRG.931.1:117-983|+     -            289 30467at50557         -            614   1.9e-06   25.4   0.4   1   3    0.0013       0.2    8.7   0.0   187   251    11    80     5    87 0.55 -
80377at50557_121845_0:0030d4|STRG.931.1:117-983|+     -            289 30467at50557         -            614   1.9e-06   25.4   0.4   2   3     0.032       4.9    4.2   0.0   216   252    89   123    81   131 0.83 -
80377at50557_121845_0:0030d4|STRG.931.1:117-983|+     -            289 30467at50557         -            614   1.9e-06   25.4   0.4   3   3     0.019       2.8    5.0   0.1   445   506   182   251   180   263 0.50 -
40115at50557_7370_0:002473|STRG.931.2:264-1381|+      -            291 30467at50557         -            614   1.9e-06   25.4   0.4   1   3    0.0012      0.18    8.9   0.0   186   251    11    81     4    88 0.54 -
40115at50557_7370_0:002473|STRG.931.2:264-1381|+      -            291 30467at50557         -            614   1.9e-06   25.4   0.4   2   3     0.033         5    4.1   0.0   216   252    90   124    82   131 0.83 -
