#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
104832at50557_34720_0:0019e7|STRG.12175.1:0-812|+     -            271 104832at50557        -            207   3.4e-77  257.4  14.9   1   1   1.9e-77   3.1e-75  251.0  14.9     1   205     1   257     1   261 0.83 -
117816at50557_69004_0:00324f|STRG.3684.1:655-1698|+   -            348 104832at50557        -            207   1.8e-12   46.0   3.4   1   4      0.55        90    1.2   0.0   145   164    44    63    29    87 0.77 -
117816at50557_69004_0:00324f|STRG.3684.1:655-1698|+   -            348 104832at50557        -            207   1.8e-12   46.0   3.4   2   4    0.0006     0.097   10.9   0.1   125   166   106   152    98   178 0.78 -
117816at50557_69004_0:00324f|STRG.3684.1:655-1698|+   -            348 104832at50557        -            207   1.8e-12   46.0   3.4   3   4   1.6e-05    0.0026   16.0   0.3   124   165   198   244   156   270 0.69 -
117816at50557_69004_0:00324f|STRG.3684.1:655-1698|+   -            348 104832at50557        -            207   1.8e-12   46.0   3.4   4   4   2.1e-05    0.0034   15.7   0.2   121   166   295   348   256   348 0.70 -
117816at50557_69004_0:00324f|STRG.17823.1:654-1628|+  -            325 104832at50557        -            207   4.7e-12   44.6   3.7   1   4      0.48        78    1.4   0.0   145   166    21    42    11    64 0.77 -
117816at50557_69004_0:00324f|STRG.17823.1:654-1628|+  -            325 104832at50557        -            207   4.7e-12   44.6   3.7   2   4   0.00028     0.045   12.0   0.1   125   166    83   129    74   158 0.78 -
117816at50557_69004_0:00324f|STRG.17823.1:654-1628|+  -            325 104832at50557        -            207   4.7e-12   44.6   3.7   3   4    0.0001     0.016   13.5   0.1   124   165   175   221   133   242 0.77 -
117816at50557_69004_0:00324f|STRG.17823.1:654-1628|+  -            325 104832at50557        -            207   4.7e-12   44.6   3.7   4   4   1.8e-05    0.0029   15.9   0.2   121   166   272   325   234   325 0.69 -
83433at50557_166361_0:0030d8|STRG.5733.6:563-1123|+   -            187 104832at50557        -            207   6.4e-07   27.9   0.1   1   2   0.00092      0.15   10.3   0.0   145   175    35    69    18    83 0.78 -
83433at50557_166361_0:0030d8|STRG.5733.6:563-1123|+   -            187 104832at50557        -            207   6.4e-07   27.9   0.1   2   2     2e-05    0.0033   15.7   0.0   124   167    94   143    75   182 0.76 -
