#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
42153at50557_113334_0:00388a|STRG.17291.1:307-576|-  -             90 42153at50557         -            521   1.2e-56  191.2   8.2   1   1   1.8e-59   1.4e-56  191.1   8.2   274   362     1    90     1    90 0.98 -
42153at50557_411798_0:0010b8|STRG.3814.1:51-2066|+   -            672 42153at50557         -            521   1.4e-37  128.4  24.1   1   3   1.8e-09   1.4e-06   26.1   0.2    38   126     1    94     1   123 0.85 -
42153at50557_411798_0:0010b8|STRG.3814.1:51-2066|+   -            672 42153at50557         -            521   1.4e-37  128.4  24.1   2   3   2.2e-08   1.7e-05   22.5   0.1   141   218   367   445   345   484 0.80 -
42153at50557_411798_0:0010b8|STRG.3814.1:51-2066|+   -            672 42153at50557         -            521   1.4e-37  128.4  24.1   3   3   1.3e-27   9.7e-25   86.0  13.8   293   465   494   670   480   672 0.90 -
42153at50557_174628_0:0013d2|STRG.11901.1:21-1604|+  -            528 42153at50557         -            521   3.9e-32  110.4  26.6   1   3   5.6e-10   4.3e-07   27.8   0.5    40   125     2    87     1   137 0.79 -
42153at50557_174628_0:0013d2|STRG.11901.1:21-1604|+  -            528 42153at50557         -            521   3.9e-32  110.4  26.6   2   3     2e-12   1.5e-09   35.9   0.5   153   254   229   327   196   344 0.78 -
42153at50557_174628_0:0013d2|STRG.11901.1:21-1604|+  -            528 42153at50557         -            521   3.9e-32  110.4  26.6   3   3   1.6e-18   1.2e-15   56.0  13.0   295   446   346   507   338   528 0.83 -
42153at50557_7536_0:0024cf|STRG.17289.1:610-1111|-   -            117 42153at50557         -            521   4.5e-30  103.6   0.0   1   1   7.3e-33   5.5e-30  103.3   0.0   445   516     2    76     1    79 0.94 -
42153at50557_7176_0:0028ec|STRG.19956.2:116-1603|+   -            496 42153at50557         -            521   1.6e-29  101.8  28.7   1   3   3.9e-11     3e-08   31.6   2.2    40   116     5    86     1   105 0.84 -
42153at50557_7176_0:0028ec|STRG.19956.2:116-1603|+   -            496 42153at50557         -            521   1.6e-29  101.8  28.7   2   3   5.6e-08   4.3e-05   21.2   0.6   153   216   198   262   168   295 0.84 -
42153at50557_7176_0:0028ec|STRG.19956.2:116-1603|+   -            496 42153at50557         -            521   1.6e-29  101.8  28.7   3   3   1.2e-19     9e-17   59.7  11.8   298   462   318   494   297   496 0.82 -
42153at50557_7176_0:0028ec|STRG.19956.1:21-1493|+    -            491 42153at50557         -            521   5.3e-29  100.1  29.3   1   3   1.2e-10   9.2e-08   30.0   2.6    41   116     1    81     1   100 0.84 -
42153at50557_7176_0:0028ec|STRG.19956.1:21-1493|+    -            491 42153at50557         -            521   5.3e-29  100.1  29.3   2   3   5.5e-08   4.2e-05   21.2   0.6   153   216   193   257   163   290 0.84 -
42153at50557_7176_0:0028ec|STRG.19956.1:21-1493|+    -            491 42153at50557         -            521   5.3e-29  100.1  29.3   3   3   1.5e-19   1.2e-16   59.4  12.0   298   462   313   489   300   491 0.82 -
42153at50557_217634_0:002208|STRG.11901.2:767-1909|+ -            381 42153at50557         -            521   8.6e-17   59.8  15.5   1   2   7.5e-11   5.7e-08   30.7   0.5    37   125     2    90     1   141 0.79 -
42153at50557_217634_0:002208|STRG.11901.2:767-1909|+ -            381 42153at50557         -            521   8.6e-17   59.8  15.5   2   2   3.1e-10   2.4e-07   28.6   8.9   153   254   232   330   201   381 0.80 -
42153at50557_123851_0:001316|STRG.8155.1:1488-2078|+ -            197 42153at50557         -            521   9.2e-16   56.4   6.9   1   1   1.4e-18   1.1e-15   56.2   6.9   297   442    26   171    14   196 0.93 -
42153at50557_123851_0:001316|STRG.8155.2:1356-1946|+ -            197 42153at50557         -            521   9.2e-16   56.4   6.9   1   1   1.4e-18   1.1e-15   56.2   6.9   297   442    26   171    14   196 0.93 -
42153at50557_29031_0:001ed0|STRG.19956.3:116-898|+   -            261 42153at50557         -            521   5.5e-15   53.8   5.4   1   2   1.2e-11   9.3e-09   33.3   2.2    40   116     5    86     1   108 0.84 -
42153at50557_29031_0:001ed0|STRG.19956.3:116-898|+   -            261 42153at50557         -            521   5.5e-15   53.8   5.4   2   2   3.2e-08   2.5e-05   22.0   0.1   153   215   198   261   164   261 0.84 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/42153at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/42153at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/42153at50557.hmm annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 17:34:53 2024
# [ok]
