#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
35385at50557_7004_0:0045a0|STRG.16512.1:1-903|+       -            301 35385at50557         -            530  1.6e-171  570.6   1.1   1   1  1.7e-173  1.9e-171  570.4   1.1   164   440     1   301     1   301 0.96 -
35385at50557_35570_0:00290c|STRG.7305.1:1014-2258|+   -            415 35385at50557         -            530     1e-91  307.3   0.0   1   1   1.2e-93   1.2e-91  306.9   0.0   126   495     6   414     3   415 0.87 -
29312at50557_34720_0:0009c1|STRG.16684.1:103-2406|+   -            768 35385at50557         -            530   2.5e-83  279.6   0.0   1   1   3.2e-85   3.5e-83  279.1   0.0   115   490   236   637   222   650 0.89 -
35385at50557_37001_0:001231|STRG.10294.1:329-1663|+   -            445 35385at50557         -            530   5.5e-83  278.4   0.0   1   1   6.6e-85   7.1e-83  278.1   0.0   116   489    32   432    19   442 0.86 -
35385at50557_7375_0:0001af|STRG.10294.2:239-1585|+    -            449 35385at50557         -            530   6.4e-83  278.2   0.0   1   1   7.8e-85   8.4e-83  277.8   0.0   116   488    40   439    27   445 0.86 -
35385at50557_7375_0:0001af|STRG.10294.3:305-2471|+    -            449 35385at50557         -            530   3.7e-82  275.7   0.0   1   1   4.5e-84   4.8e-82  275.3   0.0   116   488    40   439    27   445 0.86 -
35385at50557_7375_0:0001af|STRG.13467.2:823-2142|+    -            440 35385at50557         -            530   2.4e-81  273.0   0.0   1   1   2.7e-83   2.9e-81  272.8   0.0   125   494    45   435    17   440 0.86 -
35385at50557_7375_0:0001af|STRG.13467.3:201-1520|+    -            440 35385at50557         -            530   2.4e-81  273.0   0.0   1   1   2.7e-83   2.9e-81  272.8   0.0   125   494    45   435    17   440 0.86 -
35385at50557_7375_0:0001af|STRG.13467.1:823-2628|+    -            440 35385at50557         -            530   1.4e-80  270.5   0.0   1   1   1.5e-82   1.6e-80  270.2   0.0   125   494    45   435    17   440 0.86 -
35385at50557_37001_0:001231|STRG.10295.1:366-1694|+   -            443 35385at50557         -            530   4.1e-79  265.6   0.0   1   1   4.9e-81   5.2e-79  265.3   0.0   110   488    28   433     7   440 0.86 -
35385at50557_37001_0:001231|STRG.10295.2:437-1693|+   -            419 35385at50557         -            530   6.8e-79  264.9   0.0   1   1     8e-81   8.7e-79  264.6   0.0   114   488     8   409     2   416 0.87 -
35385at50557_37001_0:001231|STRG.18129.1:1221-2450|+  -            410 35385at50557         -            530   1.8e-77  260.2   0.1   1   2   1.1e-40   1.2e-38  132.1   0.0   126   296    16   198     1   203 0.84 -
35385at50557_37001_0:001231|STRG.18129.1:1221-2450|+  -            410 35385at50557         -            530   1.8e-77  260.2   0.1   2   2   5.9e-39   6.4e-37  126.4   0.0   293   470   220   408   207   410 0.85 -
35385at50557_37001_0:001231|STRG.18129.2:987-2216|+   -            410 35385at50557         -            530   1.8e-77  260.2   0.1   1   2   1.1e-40   1.2e-38  132.1   0.0   126   296    16   198     1   203 0.84 -
35385at50557_37001_0:001231|STRG.18129.2:987-2216|+   -            410 35385at50557         -            530   1.8e-77  260.2   0.1   2   2   5.9e-39   6.4e-37  126.4   0.0   293   470   220   408   207   410 0.85 -
35385at50557_7370_0:001aad|STRG.8927.1:0-1757|+       -            586 35385at50557         -            530   4.6e-76  255.6   0.0   1   1   5.4e-78   5.8e-76  255.2   0.0   144   497     4   380     1   393 0.87 -
35385at50557_7370_0:001aad|STRG.15942.2:1316-2596|+   -            427 35385at50557         -            530   2.7e-73  246.4   0.0   1   1     3e-75   3.3e-73  246.2   0.0   127   477    54   426    38   427 0.86 -
