#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
92898at50557_103372_0:00055a|STRG.17915.1:1334-2137|+  -            268 92898at50557         -            222  4.6e-109  361.6   3.9   1   1  1.4e-110  4.1e-108  358.5   3.9     1   222     3   249     3   249 0.95 -
92898at50557_67767_0:0014b1|STRG.17915.2:1334-2217|+   -            266 92898at50557         -            222  3.6e-106  352.1   3.5   1   1  1.1e-107  3.3e-105  349.0   3.5     1   222     3   247     3   247 0.94 -
60961at50557_54969_0:0007af|STRG.17577.1:547-1440|+    -            298 92898at50557         -            222   2.1e-10   39.0   3.3   1   3   5.6e-07   0.00017   19.7   0.0   120   176     3    59     1    86 0.93 -
60961at50557_54969_0:0007af|STRG.17577.1:547-1440|+    -            298 92898at50557         -            222   2.1e-10   39.0   3.3   2   3     0.023       7.2    4.5   0.0   117   147   109   139    91   156 0.80 -
60961at50557_54969_0:0007af|STRG.17577.1:547-1440|+    -            298 92898at50557         -            222   2.1e-10   39.0   3.3   3   3   2.3e-05     0.007   14.4   0.3   113   191   217   294   201   298 0.70 -
60961at50557_34720_0:0017d0|STRG.19439.1:0-1331|+      -            444 92898at50557         -            222     7e-09   34.0   0.0   1   2   0.00013     0.039   11.9   0.0    81   173    14   109     4   117 0.72 -
60961at50557_34720_0:0017d0|STRG.19439.1:0-1331|+      -            444 92898at50557         -            222     7e-09   34.0   0.0   2   2   4.8e-07   0.00015   19.9   0.0   116   177   181   241   172   252 0.88 -
65618at50557_29031_0:0021aa|STRG.15458.1:87-386|+      -            100 92898at50557         -            222   6.2e-08   30.9   0.0   1   1   2.1e-10   6.5e-08   30.8   0.0   116   197    14    90     4   100 0.83 -
65618at50557_520822_0:000026|STRG.12895.1:0-1254|+     -            402 92898at50557         -            222   2.6e-07   28.9   0.0   1   1   1.8e-09   5.6e-07   27.8   0.0   115   183    23    85    13   112 0.86 -
60961at50557_54969_0:0007af|STRG.12390.1:459-1157|+    -            233 92898at50557         -            222   2.1e-06   25.9   0.0   1   2   2.2e-05    0.0067   14.5   0.0   120   195    21    91     8   106 0.84 -
60961at50557_54969_0:0007af|STRG.12390.1:459-1157|+    -            233 92898at50557         -            222   2.1e-06   25.9   0.0   2   2   0.00072      0.22    9.5   0.0   123   194   149   217   131   229 0.82 -
