#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
30640at50557_103372_0:0017a1|STRG.12164.1:0-2381|+     -            794 30640at50557         -            649         0 1181.5   6.4   1   1         0         0 1175.6   6.4    15   649    48   794    41   794 0.91 -
30640at50557_1629725_0:002003|STRG.12164.2:35-1032|+   -            325 30640at50557         -            649  1.9e-146  487.8  12.9   1   1  2.5e-147  2.1e-145  484.4  12.9   170   445     1   325     1   325 0.90 -
30640at50557_7536_0:0024c3|STRG.9622.1:345-1016|+      -            224 30640at50557         -            649   1.6e-34  118.0   0.0   1   1   2.2e-36   1.9e-34  117.8   0.0    81   277    22   224     6   224 0.87 -
30640at50557_246812_0:002bdf|STRG.12849.1:268-1035|+   -            256 30640at50557         -            649   1.2e-26   91.9   0.1   1   1   1.7e-28   1.4e-26   91.8   0.1    78   277    52   256    28   256 0.86 -
30640at50557_246812_0:002bdf|STRG.12849.2:964-1731|+   -            256 30640at50557         -            649   1.2e-26   91.9   0.1   1   1   1.7e-28   1.4e-26   91.8   0.1    78   277    52   256    28   256 0.86 -
30640at50557_246812_0:002bdf|STRG.12849.3:102-869|+    -            256 30640at50557         -            649   1.2e-26   91.9   0.1   1   1   1.7e-28   1.4e-26   91.8   0.1    78   277    52   256    28   256 0.86 -
30640at50557_123851_0:0040fd|STRG.4190.1:249-971|+     -            241 30640at50557         -            649   7.9e-23   79.4   0.1   1   1   1.2e-24   9.9e-23   79.0   0.1    74   281     7   226     2   236 0.82 -
31358at50557_123851_0:00056b|STRG.4564.1:1738-2283|+   -            182 30640at50557         -            649   1.3e-20   72.1   0.0   1   1     2e-22   1.7e-20   71.7   0.0    81   246     9   177     4   180 0.89 -
68581at50557_166361_0:00349c|STRG.7158.1:465-1091|+    -            209 30640at50557         -            649     2e-18   64.8   0.7   1   3   2.8e-09   2.3e-07   28.3   0.0   410   475     7    72     3    80 0.93 -
68581at50557_166361_0:00349c|STRG.7158.1:465-1091|+    -            209 30640at50557         -            649     2e-18   64.8   0.7   2   3   0.00018     0.015   12.4   0.0   399   453    81   136    68   147 0.84 -
68581at50557_166361_0:00349c|STRG.7158.1:465-1091|+    -            209 30640at50557         -            649     2e-18   64.8   0.7   3   3   1.8e-07   1.5e-05   22.3   0.0   406   454   158   208   139   209 0.83 -
