#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
73354at50557_103372_0:000ea9|STRG.9808.1:0-1085|+    -            362 73354at50557         -            295  2.7e-134  445.7   1.2   1   1  5.3e-137  5.1e-134  444.7   1.2     1   295     1   346     1   346 0.89 -
89033at50557_103372_0:0014b2|STRG.18196.1:217-1011|+ -            265 73354at50557         -            295   1.5e-17   62.4   1.8   1   2   3.9e-20   3.7e-17   61.1   1.2   153   241   144   230    77   234 0.77 -
89033at50557_103372_0:0014b2|STRG.18196.1:217-1011|+ -            265 73354at50557         -            295   1.5e-17   62.4   1.8   2   2      0.26   2.5e+02   -0.7   0.0     4    26   232   254   230   258 0.88 -
89033at50557_103372_0:0014b2|STRG.18196.2:0-893|+    -            298 73354at50557         -            295   1.8e-17   62.2   1.5   1   2   4.1e-20   3.9e-17   61.0   0.9   153   241   140   226    73   233 0.78 -
89033at50557_103372_0:0014b2|STRG.18196.2:0-893|+    -            298 73354at50557         -            295   1.8e-17   62.2   1.5   2   2      0.29   2.8e+02   -0.9   0.0     4    26   228   250   226   255 0.88 -
73354at50557_64793_0:0001cd|STRG.6942.3:129-953|+    -            275 73354at50557         -            295   3.4e-16   57.9   0.5   1   2   6.9e-17   6.6e-14   50.5   0.1    63   243    16   203     9   228 0.79 -
73354at50557_64793_0:0001cd|STRG.6942.3:129-953|+    -            275 73354at50557         -            295   3.4e-16   57.9   0.5   2   2    0.0028       2.7    5.8   0.0   269   292   250   274   243   275 0.84 -
73354at50557_64793_0:0001cd|STRG.6942.1:1145-2008|+  -            288 73354at50557         -            295   4.3e-16   57.6   0.6   1   2   7.7e-17   7.4e-14   50.3   0.1    63   243    29   216    21   241 0.79 -
73354at50557_64793_0:0001cd|STRG.6942.1:1145-2008|+  -            288 73354at50557         -            295   4.3e-16   57.6   0.6   2   2     0.003       2.9    5.7   0.0   269   292   263   287   256   288 0.84 -
73354at50557_64793_0:0001cd|STRG.6942.2:1314-2177|+  -            288 73354at50557         -            295   4.3e-16   57.6   0.6   1   2   7.7e-17   7.4e-14   50.3   0.1    63   243    29   216    21   241 0.79 -
73354at50557_64793_0:0001cd|STRG.6942.2:1314-2177|+  -            288 73354at50557         -            295   4.3e-16   57.6   0.6   2   2     0.003       2.9    5.7   0.0   269   292   263   287   256   288 0.84 -
89033at50557_7493_0:00129c|STRG.4721.1:330-1037|+    -            236 73354at50557         -            295   1.8e-08   32.6   2.9   1   2   1.5e-10   1.4e-07   29.7   1.8   159   244    77   160    18   165 0.90 -
89033at50557_7493_0:00129c|STRG.4721.1:330-1037|+    -            236 73354at50557         -            295   1.8e-08   32.6   2.9   2   2     0.055        53    1.5   0.0   269   291   198   221   187   225 0.84 -
89033at50557_7493_0:00129c|STRG.4721.2:678-1385|+    -            236 73354at50557         -            295   1.8e-08   32.6   2.9   1   2   1.5e-10   1.4e-07   29.7   1.8   159   244    77   160    18   165 0.90 -
89033at50557_7493_0:00129c|STRG.4721.2:678-1385|+    -            236 73354at50557         -            295   1.8e-08   32.6   2.9   2   2     0.055        53    1.5   0.0   269   291   198   221   187   225 0.84 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/73354at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/73354at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/73354at50557.hmm annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 17:36:21 2024
# [ok]
