#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
108452at50557_411798_0:001b68|STRG.9624.1:0-752|+     -            251 108452at50557        -            212  1.3e-105  350.4   1.1   1   1  5.6e-108  1.6e-105  350.0   1.1    17   201     1   198     1   204 0.94 -
108452at50557_69319_0:001d04|STRG.8093.1:1217-2158|+  -            314 108452at50557        -            212     1e-25   89.3   6.1   1   1   4.7e-28   1.4e-25   88.8   6.1    19   196   132   314   103   314 0.86 -
108452at50557_69319_0:001d04|STRG.8093.2:1036-1977|+  -            314 108452at50557        -            212     1e-25   89.3   6.1   1   1   4.7e-28   1.4e-25   88.8   6.1    19   196   132   314   103   314 0.86 -
108452at50557_69319_0:001d04|STRG.8093.3:1137-2078|+  -            314 108452at50557        -            212     1e-25   89.3   6.1   1   1   4.7e-28   1.4e-25   88.8   6.1    19   196   132   314   103   314 0.86 -
108452at50557_69319_0:001d04|STRG.8093.4:1307-2248|+  -            314 108452at50557        -            212     1e-25   89.3   6.1   1   1   4.7e-28   1.4e-25   88.8   6.1    19   196   132   314   103   314 0.86 -
23788at50557_520822_0:00115e|STRG.6949.1:0-3698|+     -           1233 108452at50557        -            212   9.5e-21   73.0   5.1   1   2       1.4     4e+02   -0.9   0.1    78   120   562   603   544   618 0.81 -
23788at50557_520822_0:00115e|STRG.6949.1:0-3698|+     -           1233 108452at50557        -            212   9.5e-21   73.0   5.1   2   2   3.2e-23   9.5e-21   73.0   5.1   131   197  1149  1218  1135  1225 0.88 -
43010at50557_456900_0:000325|STRG.10640.2:0-1976|+    -            659 108452at50557        -            212   2.2e-16   58.7   6.4   1   1   2.7e-18     8e-16   56.9   6.4   135   199   586   651   566   656 0.85 -
43010at50557_411798_0:00301e|STRG.10640.1:661-2782|+  -            703 108452at50557        -            212   2.5e-16   58.6   6.4   1   1   3.2e-18   9.4e-16   56.7   6.4   135   199   630   695   611   700 0.85 -
108452at50557_7536_0:002ce9|STRG.18304.1:405-845|+    -            147 108452at50557        -            212   9.7e-16   56.7   6.6   1   1   4.5e-18   1.3e-15   56.2   6.6   137   201    80   144    68   147 0.83 -
108452at50557_7536_0:002ce9|STRG.18304.2:405-845|+    -            147 108452at50557        -            212   9.7e-16   56.7   6.6   1   1   4.5e-18   1.3e-15   56.2   6.6   137   201    80   144    68   147 0.83 -
108452at50557_121845_0:000f76|STRG.9882.1:3840-4154|+ -            105 108452at50557        -            212   1.4e-15   56.1  11.3   1   1   5.7e-18   1.7e-15   55.9  11.3   140   198     1    63     1    77 0.85 -
108452at50557_121845_0:000f76|STRG.9882.2:4776-5090|+ -            105 108452at50557        -            212   1.4e-15   56.1  11.3   1   1   5.7e-18   1.7e-15   55.9  11.3   140   198     1    63     1    77 0.85 -
108452at50557_121845_0:000f76|STRG.9882.3:3630-3944|+ -            105 108452at50557        -            212   1.4e-15   56.1  11.3   1   1   5.7e-18   1.7e-15   55.9  11.3   140   198     1    63     1    77 0.85 -
108452at50557_121845_0:000f76|STRG.9882.4:3609-3923|+ -            105 108452at50557        -            212   1.4e-15   56.1  11.3   1   1   5.7e-18   1.7e-15   55.9  11.3   140   198     1    63     1    77 0.85 -
60694at50557_315563_0:000bf8|STRG.9320.1:177-6179|+   -           2001 108452at50557        -            212   1.4e-10   39.8   7.6   1   1   1.2e-12   3.5e-10   38.5   7.6   137   200   112   178    84   189 0.80 -
48864at50557_520822_0:000d82|STRG.18663.1:0-1535|+    -            512 108452at50557        -            212   1.5e-10   39.7   3.7   1   2   1.5e-12   4.4e-10   38.2   0.8   131   178   133   179   100   199 0.78 -
48864at50557_520822_0:000d82|STRG.18663.1:0-1535|+    -            512 108452at50557        -            212   1.5e-10   39.7   3.7   2   2      0.22        65    1.7   0.1   186   203   247   264   242   272 0.74 -
43010at50557_29031_0:002465|STRG.2396.1:2197-2571|+   -            125 108452at50557        -            212   1.8e-10   39.5   7.6   1   1   6.6e-13   1.9e-10   39.3   7.6   134   197    59   125     4   125 0.74 -
43010at50557_29031_0:002465|STRG.2396.2:1893-2267|+   -            125 108452at50557        -            212   1.8e-10   39.5   7.6   1   1   6.6e-13   1.9e-10   39.3   7.6   134   197    59   125     4   125 0.74 -
43010at50557_29031_0:002465|STRG.2396.3:1505-1879|+   -            125 108452at50557        -            212   1.8e-10   39.5   7.6   1   1   6.6e-13   1.9e-10   39.3   7.6   134   197    59   125     4   125 0.74 -
60694at50557_315563_0:000bf8|STRG.9320.3:177-5012|+   -           1612 108452at50557        -            212   1.9e-10   39.4   8.9   1   1   1.7e-12   4.9e-10   38.0   8.9   133   200   114   184    93   195 0.79 -
23788at50557_378494_0:0029c0|STRG.14143.1:8051-8194|+ -             48 108452at50557        -            212     6e-09   34.5   8.9   1   1   2.1e-11   6.2e-09   34.4   8.9   156   196     4    48     1    48 0.83 -
23788at50557_378494_0:0029c0|STRG.14143.2:7959-8102|+ -             48 108452at50557        -            212     6e-09   34.5   8.9   1   1   2.1e-11   6.2e-09   34.4   8.9   156   196     4    48     1    48 0.83 -
108452at50557_7536_0:002ce9|STRG.8316.2:2265-2630|+   -            122 108452at50557        -            212     5e-08   31.5   0.0   1   1   1.9e-10   5.7e-08   31.3   0.0    24   122    20   122     4   122 0.82 -
43010at50557_246812_0:0014c3|STRG.2395.1:1519-2013|+  -            165 108452at50557        -            212   1.5e-05   23.4  12.8   1   1   6.6e-08   1.9e-05   23.0  12.8   139   195   108   165     6   165 0.82 -
43010at50557_246812_0:0014c3|STRG.2395.2:1302-1796|+  -            165 108452at50557        -            212   1.5e-05   23.4  12.8   1   1   6.6e-08   1.9e-05   23.0  12.8   139   195   108   165     6   165 0.82 -
102774at50557_1629725_0:0007bd|STRG.5082.5:128-406|+  -             93 108452at50557        -            212     0.023   13.0   0.3   1   2     0.025       7.3    4.8   0.0    47    89     3    43     1    54 0.72 -
102774at50557_1629725_0:0007bd|STRG.5082.5:128-406|+  -             93 108452at50557        -            212     0.023   13.0   0.3   2   2    0.0062       1.8    6.8   0.1    89   116    64    91    53    93 0.84 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/108452at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/108452at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/108452at50557.hmm annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 17:32:46 2024
# [ok]
