#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
22030at50557_104452_0:001960|STRG.11310.1:0-965|+      -            242 22030at50557         -            392    7e-141  468.5   7.4   1   1  2.5e-142  7.9e-141  468.4   7.4     4   233     1   242     1   242 0.97 -
40115at50557_103372_0:0021d6|STRG.4708.1:0-1442|+      -            481 22030at50557         -            392   1.1e-38  132.1   7.2   1   3   2.3e-15   7.5e-14   50.3   1.1    40   189   109   257   101   260 0.86 -
40115at50557_103372_0:0021d6|STRG.4708.1:0-1442|+      -            481 22030at50557         -            392   1.1e-38  132.1   7.2   2   3     9e-06   0.00029   18.8   0.1    63   104   262   304   256   310 0.85 -
40115at50557_103372_0:0021d6|STRG.4708.1:0-1442|+      -            481 22030at50557         -            392   1.1e-38  132.1   7.2   3   3   9.1e-20   2.9e-18   64.9   0.1    60   212   334   480   317   481 0.91 -
80377at50557_30019_0:0008bb|STRG.3746.1:1380-2240|+    -            287 22030at50557         -            392   1.3e-37  128.6  16.1   1   3   7.1e-09   2.3e-07   29.0   0.4   180   231    11    61     3    65 0.89 -
80377at50557_30019_0:0008bb|STRG.3746.1:1380-2240|+    -            287 22030at50557         -            392   1.3e-37  128.6  16.1   2   3   1.2e-14   3.7e-13   48.1   1.3   153   230    64   140    62   144 0.90 -
80377at50557_30019_0:0008bb|STRG.3746.1:1380-2240|+    -            287 22030at50557         -            392   1.3e-37  128.6  16.1   3   3   6.3e-18     2e-16   58.8   2.1    62   213   145   286   141   287 0.85 -
80377at50557_456900_0:000374|STRG.2435.1:0-1046|+      -            349 22030at50557         -            392   6.2e-37  126.3   0.1   1   3   9.2e-16     3e-14   51.7   0.0    88   249    52   207    22   208 0.83 -
80377at50557_456900_0:000374|STRG.2435.1:0-1046|+      -            349 22030at50557         -            392   6.2e-37  126.3   0.1   2   3   1.3e-21   4.1e-20   71.0   0.1    46   227    95   273    90   281 0.87 -
80377at50557_456900_0:000374|STRG.2435.1:0-1046|+      -            349 22030at50557         -            392   6.2e-37  126.3   0.1   3   3   0.00014    0.0045   14.8   0.0   150   212   283   346   274   349 0.71 -
40115at50557_7370_0:002473|STRG.931.2:264-1381|+       -            291 22030at50557         -            392   3.4e-36  123.9   7.7   1   4   1.7e-11   5.5e-10   37.6   0.6   144   231     7    95     1    97 0.90 -
40115at50557_7370_0:002473|STRG.931.2:264-1381|+       -            291 22030at50557         -            392   3.4e-36  123.9   7.7   2   4   6.8e-16   2.2e-14   52.1   0.0   146   222    93   170    91   176 0.94 -
40115at50557_7370_0:002473|STRG.931.2:264-1381|+       -            291 22030at50557         -            392   3.4e-36  123.9   7.7   3   4   3.3e-05     0.001   17.0   0.0    59    94   183   218   171   226 0.68 -
40115at50557_7370_0:002473|STRG.931.2:264-1381|+       -            291 22030at50557         -            392   3.4e-36  123.9   7.7   4   4   4.3e-06   0.00014   19.9   0.1    61   120   230   291   224   291 0.69 -
80377at50557_121845_0:0030d4|STRG.931.1:117-983|+      -            289 22030at50557         -            392   1.7e-35  121.6   6.7   1   4   2.1e-11   6.6e-10   37.4   0.5   145   231     7    94     1    95 0.90 -
80377at50557_121845_0:0030d4|STRG.931.1:117-983|+      -            289 22030at50557         -            392   1.7e-35  121.6   6.7   2   4   6.7e-16   2.1e-14   52.1   0.0   146   222    92   169    90   175 0.94 -
80377at50557_121845_0:0030d4|STRG.931.1:117-983|+      -            289 22030at50557         -            392   1.7e-35  121.6   6.7   3   4   3.2e-05     0.001   17.0   0.0    59    94   182   217   170   225 0.68 -
80377at50557_121845_0:0030d4|STRG.931.1:117-983|+      -            289 22030at50557         -            392   1.7e-35  121.6   6.7   4   4   3.4e-05    0.0011   16.9   0.1    61   114   229   282   224   289 0.72 -
33043at50557_103372_0:000263|STRG.1509.2:423-2690|+    -            756 22030at50557         -            392   1.7e-35  121.6  21.3   1   5     2e-09   6.3e-08   30.9   0.4   142   226    35   121    12   148 0.83 -
