#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
132744at50557_103372_0:0003f0|STRG.15035.1:295-666|+  -            124 132744at50557        -             95   4.4e-51  169.9   0.8   1   1   7.5e-53   1.6e-50  168.1   0.8     1    95    14   124    14   124 0.94 -
10394at50557_38123_0:002dad|STRG.14337.3:2355-2765|+  -            137 132744at50557        -             95   1.6e-05   23.9   0.1   1   2    0.0019      0.42    9.7   0.0    53    81     1    30     1    40 0.83 -
10394at50557_38123_0:002dad|STRG.14337.3:2355-2765|+  -            137 132744at50557        -             95   1.6e-05   23.9   0.1   2   2   0.00027      0.06   12.4   0.0    13    78    67   136    50   137 0.74 -
10394at50557_38123_0:002dad|STRG.14337.5:2628-3038|+  -            137 132744at50557        -             95   1.6e-05   23.9   0.1   1   2    0.0019      0.42    9.7   0.0    53    81     1    30     1    40 0.83 -
10394at50557_38123_0:002dad|STRG.14337.5:2628-3038|+  -            137 132744at50557        -             95   1.6e-05   23.9   0.1   2   2   0.00027      0.06   12.4   0.0    13    78    67   136    50   137 0.74 -
10394at50557_38123_0:002dad|STRG.14337.7:2355-2765|+  -            137 132744at50557        -             95   1.6e-05   23.9   0.1   1   2    0.0019      0.42    9.7   0.0    53    81     1    30     1    40 0.83 -
10394at50557_38123_0:002dad|STRG.14337.7:2355-2765|+  -            137 132744at50557        -             95   1.6e-05   23.9   0.1   2   2   0.00027      0.06   12.4   0.0    13    78    67   136    50   137 0.74 -
10394at50557_38123_0:002dad|STRG.14337.8:2628-3038|+  -            137 132744at50557        -             95   1.6e-05   23.9   0.1   1   2    0.0019      0.42    9.7   0.0    53    81     1    30     1    40 0.83 -
10394at50557_38123_0:002dad|STRG.14337.8:2628-3038|+  -            137 132744at50557        -             95   1.6e-05   23.9   0.1   2   2   0.00027      0.06   12.4   0.0    13    78    67   136    50   137 0.74 -
10394at50557_38123_0:002dad|STRG.14337.1:2739-3119|+  -            127 132744at50557        -             95   1.9e-05   23.7   0.1   1   2    0.0017      0.36    9.9   0.0    53    81     1    30     1    40 0.83 -
10394at50557_38123_0:002dad|STRG.14337.1:2739-3119|+  -            127 132744at50557        -             95   1.9e-05   23.7   0.1   2   2   0.00035     0.076   12.1   0.0    13    78    57   126    47   127 0.76 -
10394at50557_38123_0:002dad|STRG.14337.2:2355-2735|+  -            127 132744at50557        -             95   1.9e-05   23.7   0.1   1   2    0.0017      0.36    9.9   0.0    53    81     1    30     1    40 0.83 -
10394at50557_38123_0:002dad|STRG.14337.2:2355-2735|+  -            127 132744at50557        -             95   1.9e-05   23.7   0.1   2   2   0.00035     0.076   12.1   0.0    13    78    57   126    47   127 0.76 -
10394at50557_38123_0:002dad|STRG.14337.4:2355-2735|+  -            127 132744at50557        -             95   1.9e-05   23.7   0.1   1   2    0.0017      0.36    9.9   0.0    53    81     1    30     1    40 0.83 -
10394at50557_38123_0:002dad|STRG.14337.4:2355-2735|+  -            127 132744at50557        -             95   1.9e-05   23.7   0.1   2   2   0.00035     0.076   12.1   0.0    13    78    57   126    47   127 0.76 -
