#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
43121at50557_103372_0:001d6c|STRG.9312.1:248-1243|+    -            332 43121at50557         -            432  2.5e-162  539.6   2.0   1   1  3.3e-163  1.4e-161  537.1   2.0     1   290     1   332     1   332 0.92 -
37700at50557_7536_0:0001ec|STRG.9311.1:154-600|+       -            149 43121at50557         -            432   2.9e-58  196.7   0.8   1   2   0.00034     0.014   13.1   0.1   320   336     6    22     1    26 0.84 -
37700at50557_7536_0:0001ec|STRG.9311.1:154-600|+       -            149 43121at50557         -            432   2.9e-58  196.7   0.8   2   2   1.2e-55     5e-54  182.7   0.0   323   430    33   149    23   149 0.91 -
40115at50557_7370_0:002473|STRG.931.2:264-1381|+       -            291 43121at50557         -            432   1.6e-41  141.5  10.3   1   5   2.8e-09   1.2e-07   29.9   0.2   263   334     4    78     2    82 0.90 -
40115at50557_7370_0:002473|STRG.931.2:264-1381|+       -            291 43121at50557         -            432   1.6e-41  141.5  10.3   2   5   1.6e-13   7.1e-12   43.8   0.3   263   335    46   121    40   124 0.91 -
40115at50557_7370_0:002473|STRG.931.2:264-1381|+       -            291 43121at50557         -            432   1.6e-41  141.5  10.3   3   5   8.8e-12   3.8e-10   38.1   0.1   262   332    87   160    86   164 0.91 -
40115at50557_7370_0:002473|STRG.931.2:264-1381|+       -            291 43121at50557         -            432   1.6e-41  141.5  10.3   4   5   4.4e-10   1.9e-08   32.5   0.0   263   332   130   203   121   204 0.90 -
40115at50557_7370_0:002473|STRG.931.2:264-1381|+       -            291 43121at50557         -            432   1.6e-41  141.5  10.3   5   5   9.5e-09   4.1e-07   28.1   0.1   268   337   178   253   165   270 0.86 -
80377at50557_121845_0:0030d4|STRG.931.1:117-983|+      -            289 43121at50557         -            432   3.8e-41  140.3  12.2   1   5   4.1e-09   1.7e-07   29.3   0.2   263   333     3    76     2    78 0.90 -
80377at50557_121845_0:0030d4|STRG.931.1:117-983|+      -            289 43121at50557         -            432   3.8e-41  140.3  12.2   2   5   1.6e-13   6.8e-12   43.9   0.5   263   335    45   120    38   125 0.91 -
80377at50557_121845_0:0030d4|STRG.931.1:117-983|+      -            289 43121at50557         -            432   3.8e-41  140.3  12.2   3   5   4.8e-12     2e-10   39.0   0.1   262   333    86   160    76   164 0.89 -
80377at50557_121845_0:0030d4|STRG.931.1:117-983|+      -            289 43121at50557         -            432   3.8e-41  140.3  12.2   4   5   3.9e-10   1.7e-08   32.7   0.0   263   332   129   202   122   204 0.90 -
80377at50557_121845_0:0030d4|STRG.931.1:117-983|+      -            289 43121at50557         -            432   3.8e-41  140.3  12.2   5   5   1.1e-08   4.5e-07   28.0   0.1   268   337   177   252   167   270 0.87 -
80377at50557_30019_0:0008bb|STRG.3746.1:1380-2240|+    -            287 43121at50557         -            432   4.8e-27   93.8  19.3   1   5   1.8e-11   7.7e-10   37.1   1.1   257   357     8   106     3   107 0.83 -
80377at50557_30019_0:0008bb|STRG.3746.1:1380-2240|+    -            287 43121at50557         -            432   4.8e-27   93.8  19.3   2   5   1.5e-06   6.4e-05   20.9   0.0   264   333    95   163    93   172 0.87 -
80377at50557_30019_0:0008bb|STRG.3746.1:1380-2240|+    -            287 43121at50557         -            432   4.8e-27   93.8  19.3   3   5   2.3e-08   9.9e-07   26.9   0.1   263   347   134   217   128   228 0.90 -
80377at50557_30019_0:0008bb|STRG.3746.1:1380-2240|+    -            287 43121at50557         -            432   4.8e-27   93.8  19.3   4   5   2.4e-08     1e-06   26.8   0.5   263   333   174   243   170   247 0.91 -
80377at50557_30019_0:0008bb|STRG.3746.1:1380-2240|+    -            287 43121at50557         -            432   4.8e-27   93.8  19.3   5   5   1.9e-06   8.2e-05   20.5   0.4   277   334   226   287   222   287 0.87 -
33043at50557_454923_0:001231|STRG.13622.1:2758-4128|+  -            457 43121at50557         -            432   5.1e-25   87.1   5.5   1   5     0.003      0.13   10.0   0.0   268   338    46   119    41   139 0.83 -
33043at50557_454923_0:001231|STRG.13622.1:2758-4128|+  -            457 43121at50557         -            432   5.1e-25   87.1   5.5   2   5    0.0072      0.31    8.8   0.0   266   306   179   219   172   221 0.54 -
33043at50557_454923_0:001231|STRG.13622.1:2758-4128|+  -            457 43121at50557         -            432   5.1e-25   87.1   5.5   3   5   3.7e-09   1.6e-07   29.5   0.1   263   333   218   290   215   300 0.91 -
33043at50557_454923_0:001231|STRG.13622.1:2758-4128|+  -            457 43121at50557         -            432   5.1e-25   87.1   5.5   4   5   0.00026     0.011   13.5   0.0   187   225   340   378   334   381 0.86 -
33043at50557_454923_0:001231|STRG.13622.1:2758-4128|+  -            457 43121at50557         -            432   5.1e-25   87.1   5.5   5   5   1.4e-05   0.00059   17.7   0.4   263   334   382   457   379   457 0.90 -
33043at50557_454923_0:001231|STRG.13622.2:2961-4331|+  -            457 43121at50557         -            432   5.1e-25   87.1   5.5   1   5     0.003      0.13   10.0   0.0   268   338    46   119    41   139 0.83 -
33043at50557_454923_0:001231|STRG.13622.2:2961-4331|+  -            457 43121at50557         -            432   5.1e-25   87.1   5.5   2   5    0.0072      0.31    8.8   0.0   266   306   179   219   172   221 0.54 -
33043at50557_454923_0:001231|STRG.13622.2:2961-4331|+  -            457 43121at50557         -            432   5.1e-25   87.1   5.5   3   5   3.7e-09   1.6e-07   29.5   0.1   263   333   218   290   215   300 0.91 -
33043at50557_454923_0:001231|STRG.13622.2:2961-4331|+  -            457 43121at50557         -            432   5.1e-25   87.1   5.5   4   5   0.00026     0.011   13.5   0.0   187   225   340   378   334   381 0.86 -
33043at50557_454923_0:001231|STRG.13622.2:2961-4331|+  -            457 43121at50557         -            432   5.1e-25   87.1   5.5   5   5   1.4e-05   0.00059   17.7   0.4   263   334   382   457   379   457 0.90 -
33043at50557_454923_0:001231|STRG.13622.3:2811-4181|+  -            457 43121at50557         -            432   5.1e-25   87.1   5.5   1   5     0.003      0.13   10.0   0.0   268   338    46   119    41   139 0.83 -
