#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
108301at50557_103372_0:000620|STRG.5554.1:0-797|+     -            266 108301at50557        -            228  1.9e-106  353.4  12.7   1   1  1.6e-108  2.4e-106  353.0  12.7     1   227    13   266    13   266 0.97 -
35300at50557_103372_0:00201f|STRG.17552.3:261-4796|+  -           1512 108301at50557        -            228   1.4e-84  281.8  48.9   1  10   3.5e-11   5.2e-09   34.6   0.5   113   152     6    45     1    79 0.79 -
35300at50557_103372_0:00201f|STRG.17552.3:261-4796|+  -           1512 108301at50557        -            228   1.4e-84  281.8  48.9   2  10   1.8e-06   0.00026   19.3   0.1   108   164   203   259   171   267 0.87 -
35300at50557_103372_0:00201f|STRG.17552.3:261-4796|+  -           1512 108301at50557        -            228   1.4e-84  281.8  48.9   3  10      0.66        96    1.0   0.1   111   137   318   344   309   359 0.74 -
35300at50557_103372_0:00201f|STRG.17552.3:261-4796|+  -           1512 108301at50557        -            228   1.4e-84  281.8  48.9   4  10   3.7e-32   5.4e-30  103.3   4.0    45   153   463   571   437   604 0.88 -
35300at50557_103372_0:00201f|STRG.17552.3:261-4796|+  -           1512 108301at50557        -            228   1.4e-84  281.8  48.9   5  10   1.5e-06   0.00022   19.5   0.1   108   165   730   787   699   812 0.87 -
35300at50557_103372_0:00201f|STRG.17552.3:261-4796|+  -           1512 108301at50557        -            228   1.4e-84  281.8  48.9   6  10      0.94   1.4e+02    0.5   0.1   118   175   852   904   836   929 0.76 -
35300at50557_103372_0:00201f|STRG.17552.3:261-4796|+  -           1512 108301at50557        -            228   1.4e-84  281.8  48.9   7  10   1.9e-31   2.8e-29  100.9   5.6    46   151   989  1094   967  1104 0.94 -
35300at50557_103372_0:00201f|STRG.17552.3:261-4796|+  -           1512 108301at50557        -            228   1.4e-84  281.8  48.9   8  10     0.031       4.6    5.4   0.0   123   165  1198  1240  1172  1250 0.80 -
35300at50557_103372_0:00201f|STRG.17552.3:261-4796|+  -           1512 108301at50557        -            228   1.4e-84  281.8  48.9   9  10   0.00016     0.024   12.8   0.0   104   163  1251  1310  1244  1330 0.85 -
35300at50557_103372_0:00201f|STRG.17552.3:261-4796|+  -           1512 108301at50557        -            228   1.4e-84  281.8  48.9  10  10     0.023       3.4    5.8   0.6    67   153  1365  1450  1359  1479 0.85 -
57156at50557_103372_0:001116|STRG.3668.1:146-1687|+   -            514 108301at50557        -            228   1.9e-51  173.5  25.7   1   3   2.7e-22   3.9e-20   71.0   0.8    57   169     8   115     2   127 0.93 -
57156at50557_103372_0:001116|STRG.3668.1:146-1687|+   -            514 108301at50557        -            228   1.9e-51  173.5  25.7   2   3   2.1e-08   3.1e-06   25.5  12.0    40   177   213   351   188   355 0.78 -
57156at50557_103372_0:001116|STRG.3668.1:146-1687|+   -            514 108301at50557        -            228   1.9e-51  173.5  25.7   3   3   3.2e-26   4.6e-24   83.9   4.4    29   169   335   472   307   490 0.84 -
35300at50557_103372_0:00201f|STRG.17552.1:261-3188|+  -            976 108301at50557        -            228   1.1e-50  171.0  26.2   1   6   2.1e-11   3.1e-09   35.3   0.5   113   152     6    45     1    79 0.79 -
35300at50557_103372_0:00201f|STRG.17552.1:261-3188|+  -            976 108301at50557        -            228   1.1e-50  171.0  26.2   2   6     1e-06   0.00015   20.0   0.1   107   164   202   259   169   267 0.87 -
