#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
89317at50557_104421_0:00067b|STRG.908.1:1-441|-      -            147 89317at50557         -            194   2.7e-66  222.1   7.9   1   1   9.4e-69     3e-66  221.9   7.9     1   115    21   145    21   147 0.95 -
89317at50557_13686_0:000743|STRG.909.1:4-261|+       -             86 89317at50557         -            194   1.2e-42  144.9   3.6   1   1   4.1e-45   1.3e-42  144.8   3.6   116   194     1    86     1    86 0.94 -
89317at50557_7130_0:0022b9|STRG.903.1:202-846|+      -            215 89317at50557         -            194   6.1e-34  116.5  14.1   1   1   2.3e-36   7.2e-34  116.3  14.1     1   181     8   210     8   215 0.82 -
89317at50557_7130_0:0022b9|STRG.903.2:177-821|+      -            215 89317at50557         -            194   6.1e-34  116.5  14.1   1   1   2.3e-36   7.2e-34  116.3  14.1     1   181     8   210     8   215 0.82 -
89317at50557_7038_0:001f22|STRG.904.1:281-898|+      -            206 89317at50557         -            194   6.1e-27   93.6   9.1   1   1   2.3e-29   7.4e-27   93.4   9.1     1   183     1   205     1   206 0.79 -
89317at50557_66420_0:0017df|STRG.906.1:167-718|+     -            184 89317at50557         -            194   4.4e-25   87.6   5.5   1   2   9.1e-24   2.9e-21   75.1   2.0    14   116    32   144    21   149 0.87 -
89317at50557_66420_0:0017df|STRG.906.1:167-718|+     -            184 89317at50557         -            194   4.4e-25   87.6   5.5   2   2   4.4e-05     0.014   14.1   0.1     3    38   148   184   147   184 0.86 -
89317at50557_108931_0:002c91|STRG.902.1:261-851|+    -            197 89317at50557         -            194   3.1e-24   84.8  13.2   1   1   1.1e-26   3.6e-24   84.6  13.2     3   180     1   193     1   197 0.83 -
89317at50557_108931_0:002c91|STRG.7732.1:246-824|+   -            193 89317at50557         -            194   2.5e-22   78.6  13.4   1   1     4e-24   1.3e-21   76.3  13.4     3   181     1   193     1   193 0.83 -
89317at50557_104688_0:0015ad|STRG.905.1:498-1118|+   -            207 89317at50557         -            194   2.1e-19   69.1  10.9   1   1   1.1e-21   3.5e-19   68.3  10.9     3   181     9   206     8   207 0.81 -
89317at50557_156304_0:0007cf|STRG.905.3:487-1110|+   -            208 89317at50557         -            194   2.1e-19   69.0  10.9   1   1   1.1e-21   3.6e-19   68.3  10.9     3   181    10   207     9   208 0.81 -
