#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
110550at50557_34720_0:001b2d|STRG.18274.1:0-1061|+   -            354 110550at50557        -            317  8.8e-114  378.3  10.5   1   1  4.1e-115  3.1e-112  373.3  10.5    39   292     1   259     1   300 0.90 -
110550at50557_7375_0:0022b3|STRG.14730.1:206-841|+   -            212 110550at50557        -            317   3.3e-10   38.1   0.2   1   2    0.0044       3.3    5.2   0.0    45    65     3    23     1    30 0.84 -
110550at50557_7375_0:0022b3|STRG.14730.1:206-841|+   -            212 110550at50557        -            317   3.3e-10   38.1   0.2   2   2   7.4e-11   5.6e-08   30.7   0.4   112   232    53   169    46   190 0.78 -
110550at50557_7176_0:002560|STRG.17532.1:59-877|+    -            273 110550at50557        -            317   1.4e-08   32.7   0.7   1   3      0.15   1.1e+02    0.2   0.0     9    32     4    27     1    32 0.86 -
110550at50557_7176_0:002560|STRG.17532.1:59-877|+    -            273 110550at50557        -            317   1.4e-08   32.7   0.7   2   3     0.011       8.7    3.8   0.0    50    65    69    84    55    96 0.89 -
110550at50557_7176_0:002560|STRG.17532.1:59-877|+    -            273 110550at50557        -            317   1.4e-08   32.7   0.7   3   3   3.7e-09   2.8e-06   25.1   0.4   150   244   147   242   118   272 0.72 -
67606at50557_224129_0:00052e|STRG.18730.1:937-1614|+ -            226 110550at50557        -            317    0.0015   16.1   0.0   1   1   3.8e-06    0.0029   15.2   0.0    49    75    43    69    26    76 0.89 -
67606at50557_224129_0:00052e|STRG.18730.2:912-1589|+ -            226 110550at50557        -            317    0.0015   16.1   0.0   1   1   3.8e-06    0.0029   15.2   0.0    49    75    43    69    26    76 0.89 -
78395at50557_69319_0:000edd|STRG.15897.1:422-1219|+  -            266 110550at50557        -            317    0.0074   13.9   0.0   1   1     2e-05     0.015   12.9   0.0    46    76    22    52     5    92 0.87 -
67606at50557_123851_0:003a23|STRG.8124.1:834-1556|+  -            241 110550at50557        -            317      0.02   12.5   0.0   1   1   5.7e-05     0.044   11.4   0.0    47    70    11    34     4    45 0.92 -
67606at50557_123851_0:003a23|STRG.8124.2:760-1482|+  -            241 110550at50557        -            317      0.02   12.5   0.0   1   1   5.7e-05     0.044   11.4   0.0    47    70    11    34     4    45 0.92 -
67606at50557_123851_0:003a23|STRG.8124.3:393-1115|+  -            241 110550at50557        -            317      0.02   12.5   0.0   1   1   5.7e-05     0.044   11.4   0.0    47    70    11    34     4    45 0.92 -
30467at50557_286306_0:001fcb|STRG.2205.1:684-2993|+  -            770 110550at50557        -            317     0.028   12.0   0.0   1   2       0.9   6.9e+02   -2.4   0.0    50    76   268   294   264   300 0.88 -
30467at50557_286306_0:001fcb|STRG.2205.1:684-2993|+  -            770 110550at50557        -            317     0.028   12.0   0.0   2   2   0.00012     0.095   10.3   0.0    53    96   526   571   523   581 0.80 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/110550at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/110550at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/110550at50557.hmm annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 17:32:51 2024
# [ok]
