#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
61705at50557_103372_0:00198f|STRG.7689.1:136-1399|+ -            402 61705at50557         -            355  8.3e-173  573.1   7.7   1   1  1.4e-175  1.2e-172  572.5   7.7     1   355     1   397     1   397 0.93 -
61705at50557_74869_0:001302|STRG.7689.1:1004-1390|+ -            129 61705at50557         -            355   8.3e-61  204.6   6.9   1   1   1.1e-63   9.2e-61  204.5   6.9   238   355     2   127     1   127 0.95 -
61705at50557_7536_0:003065|STRG.1085.3:1440-1898|+  -            153 61705at50557         -            355   2.7e-08   31.9   0.7   1   1   3.4e-11   2.9e-08   31.8   0.7   265   352    55   153    14   153 0.68 -
67311at50557_13686_0:002311|STRG.1919.1:172-2754|+  -            861 61705at50557         -            355   5.7e-05   21.0   0.8   1   2       2.9   2.5e+03   -4.2   0.0   190   242   129   181   114   194 0.76 -
67311at50557_13686_0:002311|STRG.1919.1:172-2754|+  -            861 61705at50557         -            355   5.7e-05   21.0   0.8   2   2     1e-07   8.6e-05   20.4   0.1   262   354   755   853   746   855 0.80 -
67311at50557_13686_0:002311|STRG.1919.2:0-2591|+    -            864 61705at50557         -            355   6.8e-05   20.7   1.0   1   2         3   2.6e+03   -4.2   0.1   190   242   132   184   118   197 0.76 -
67311at50557_13686_0:002311|STRG.1919.2:0-2591|+    -            864 61705at50557         -            355   6.8e-05   20.7   1.0   2   2     1e-07   8.7e-05   20.4   0.1   262   354   758   856   749   858 0.80 -
61705at50557_51655_0:001f8f|STRG.6925.1:2204-2620|+ -            139 61705at50557         -            355     7e-05   20.7   0.3   1   1   9.9e-08   8.4e-05   20.4   0.3   258   353    25   132    13   135 0.75 -
61705at50557_51655_0:001f8f|STRG.6925.2:2187-2603|+ -            139 61705at50557         -            355     7e-05   20.7   0.3   1   1   9.9e-08   8.4e-05   20.4   0.3   258   353    25   132    13   135 0.75 -
61705at50557_51655_0:001f8f|STRG.6925.3:2619-3035|+ -            139 61705at50557         -            355     7e-05   20.7   0.3   1   1   9.9e-08   8.4e-05   20.4   0.3   258   353    25   132    13   135 0.75 -
61705at50557_51655_0:001f8f|STRG.6925.4:3962-4378|+ -            139 61705at50557         -            355     7e-05   20.7   0.3   1   1   9.9e-08   8.4e-05   20.4   0.3   258   353    25   132    13   135 0.75 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/61705at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/61705at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/61705at50557.hmm annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 17:36:01 2024
# [ok]
