#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
110423at50557_34720_0:0016bc|STRG.12471.1:0-944|+    -            315 110423at50557        -            217     7e-68  227.7  15.0   1   1   7.3e-66   9.3e-63  210.9  15.0     5   216    27   308    23   309 0.85 -
86246at50557_103372_0:001964|STRG.915.1:355-1662|+   -            436 110423at50557        -            217   3.3e-08   32.6   0.9   1   3      0.18   2.3e+02    0.5   1.7    36    99   114   176    90   214 0.66 -
86246at50557_103372_0:001964|STRG.915.1:355-1662|+   -            436 110423at50557        -            217   3.3e-08   32.6   0.9   2   3   2.6e-11   3.3e-08   32.6   0.9   141   184   300   343   283   350 0.88 -
86246at50557_103372_0:001964|STRG.915.1:355-1662|+   -            436 110423at50557        -            217   3.3e-08   32.6   0.9   3   3       1.2   1.6e+03   -2.3   0.0   184   206   364   386   358   392 0.84 -
86246at50557_103372_0:001964|STRG.915.2:0-1307|+     -            436 110423at50557        -            217   3.3e-08   32.6   0.9   1   3      0.18   2.3e+02    0.5   1.7    36    99   114   176    90   214 0.66 -
86246at50557_103372_0:001964|STRG.915.2:0-1307|+     -            436 110423at50557        -            217   3.3e-08   32.6   0.9   2   3   2.6e-11   3.3e-08   32.6   0.9   141   184   300   343   283   350 0.88 -
86246at50557_103372_0:001964|STRG.915.2:0-1307|+     -            436 110423at50557        -            217   3.3e-08   32.6   0.9   3   3       1.2   1.6e+03   -2.3   0.0   184   206   364   386   358   392 0.84 -
102517at50557_64793_0:001c2d|STRG.13878.2:206-1288|+ -            361 110423at50557        -            217      0.42    9.4  10.2   1   2   3.5e-05     0.044   12.6   1.2    56   130    68   149    49   163 0.76 -
102517at50557_64793_0:001c2d|STRG.13878.2:206-1288|+ -            361 110423at50557        -            217      0.42    9.4  10.2   2   2     0.061        78    2.0   1.2    82   122   231   270   213   323 0.72 -
102517at50557_64793_0:001c2d|STRG.13878.1:0-1133|+   -            378 110423at50557        -            217      0.48    9.2  10.4   1   2   3.9e-05     0.049   12.4   1.3    57   130    69   149    49   163 0.76 -
102517at50557_64793_0:001c2d|STRG.13878.1:0-1133|+   -            378 110423at50557        -            217      0.48    9.2  10.4   2   2     0.062        79    1.9   1.3    83   122   232   270   214   333 0.68 -
102517at50557_83485_0:000972|STRG.13878.3:206-1231|+ -            342 110423at50557        -            217       1.4    7.7  12.0   1   2   3.1e-05      0.04   12.7   1.2    56   130    68   149    49   163 0.76 -
102517at50557_83485_0:000972|STRG.13878.3:206-1231|+ -            342 110423at50557        -            217       1.4    7.7  12.0   2   2      0.12   1.6e+02    1.0   1.9    81   121   230   269   213   278 0.62 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/110423at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/110423at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/110423at50557.hmm annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 17:32:51 2024
# [ok]
