#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
118659at50557_143995_0:001dd5|STRG.13775.1:0-488|+   -            163 118659at50557        -            141   9.9e-88  290.0   2.1   1   1   5.1e-90   2.8e-87  288.5   2.1     1   141     8   163     8   163 0.97 -
45452at50557_7091_0:000393|STRG.13282.1:240-1364|+   -            375 118659at50557        -            141   2.4e-10   39.2   0.0   1   2   7.7e-12   4.2e-09   35.1   0.1    32   126    17   118     3   136 0.82 -
45452at50557_7091_0:000393|STRG.13282.1:240-1364|+   -            375 118659at50557        -            141   2.4e-10   39.2   0.0   2   2      0.28   1.5e+02    0.9   0.0    16    52   165   201   151   206 0.80 -
45452at50557_103372_0:000288|STRG.8833.2:0-1430|+    -            477 118659at50557        -            141     5e-08   31.6   0.0   1   2   2.6e-07   0.00014   20.5   0.0    21    72    92   147    76   164 0.81 -
45452at50557_103372_0:000288|STRG.8833.2:0-1430|+    -            477 118659at50557        -            141     5e-08   31.6   0.0   2   2    0.0011      0.59    8.7   0.0    90   117   185   212   168   227 0.82 -
45452at50557_103372_0:00030d|STRG.8833.1:225-1754|+  -            510 118659at50557        -            141   5.9e-08   31.4   0.0   1   2   2.8e-07   0.00015   20.3   0.0    21    72   125   180   109   197 0.81 -
45452at50557_103372_0:00030d|STRG.8833.1:225-1754|+  -            510 118659at50557        -            141   5.9e-08   31.4   0.0   2   2    0.0012      0.66    8.6   0.0    90   117   218   245   202   260 0.82 -
35377at50557_456900_0:0025de|STRG.16415.3:0-1589|+   -            530 118659at50557        -            141   1.1e-07   30.5   0.6   1   2     4e-10   2.2e-07   29.6   0.1    54   125   219   293   208   306 0.81 -
35377at50557_456900_0:0025de|STRG.16415.3:0-1589|+   -            530 118659at50557        -            141   1.1e-07   30.5   0.6   2   2       4.5   2.4e+03   -3.0   0.0    51    85   445   479   437   511 0.51 -
35377at50557_456900_0:0025de|STRG.16415.1:742-2346|+ -            535 118659at50557        -            141   1.1e-07   30.5   0.6   1   2     4e-10   2.2e-07   29.5   0.1    54   125   224   298   213   311 0.81 -
35377at50557_456900_0:0025de|STRG.16415.1:742-2346|+ -            535 118659at50557        -            141   1.1e-07   30.5   0.6   2   2       4.5   2.5e+03   -3.0   0.0    51    85   450   484   442   516 0.51 -
35377at50557_456900_0:0025de|STRG.16415.2:742-2911|+ -            537 118659at50557        -            141   1.2e-07   30.4   0.5   1   2     4e-10   2.2e-07   29.5   0.1    54   125   224   298   213   311 0.81 -
35377at50557_456900_0:0025de|STRG.16415.2:742-2911|+ -            537 118659at50557        -            141   1.2e-07   30.4   0.5   2   2       5.7   3.1e+03   -3.4   0.0    56    85   456   486   445   518 0.52 -
118659at50557_121845_0:0048fb|STRG.2346.1:679-975|+  -             99 118659at50557        -            141   0.00057   18.5   0.0   1   1   1.3e-06    0.0007   18.2   0.0    56   123    20    91     1    98 0.78 -
118659at50557_121845_0:0048fb|STRG.2346.2:588-884|+  -             99 118659at50557        -            141   0.00057   18.5   0.0   1   1   1.3e-06    0.0007   18.2   0.0    56   123    20    91     1    98 0.78 -
118659at50557_121845_0:0048fb|STRG.2346.3:679-975|+  -             99 118659at50557        -            141   0.00057   18.5   0.0   1   1   1.3e-06    0.0007   18.2   0.0    56   123    20    91     1    98 0.78 -
118659at50557_121845_0:0048fb|STRG.2346.4:255-551|+  -             99 118659at50557        -            141   0.00057   18.5   0.0   1   1   1.3e-06    0.0007   18.2   0.0    56   123    20    91     1    98 0.78 -
118659at50557_378494_0:000f66|STRG.14908.1:7-213|-   -             69 118659at50557        -            141     0.015   13.9   0.1   1   1   0.00014     0.074   11.6   0.1    55   103    10    69     5    69 0.64 -
45452at50557_45779_0:0017c6|STRG.6153.1:896-1492|+   -            199 118659at50557        -            141      0.06   11.9   0.0   1   1   0.00018     0.097   11.2   0.0    90   124    13    47     6    60 0.88 -
45452at50557_45779_0:0017c6|STRG.6153.2:501-1097|+   -            199 118659at50557        -            141      0.06   11.9   0.0   1   1   0.00018     0.097   11.2   0.0    90   124    13    47     6    60 0.88 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/118659at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/118659at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/118659at50557.hmm annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 17:33:01 2024
# [ok]
