#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
69102at50557_103372_0:001d18|STRG.1126.1:0-2021|+   -            674 69102at50557         -            161   7.5e-80  265.4   0.0   1   1   2.3e-82   1.3e-79  264.6   0.0     1   160   441   621   441   622 0.90 -
69102at50557_7168_0:000ab6|STRG.1843.1:588-1552|+   -            316 69102at50557         -            161   2.1e-50  169.7   1.7   1   1   4.1e-51   2.4e-48  163.0   1.7     5   160   113   295   109   296 0.83 -
69102at50557_7168_0:000ab6|STRG.1843.2:588-1538|+   -            317 69102at50557         -            161   2.4e-50  169.5   1.8   1   1   4.7e-51   2.8e-48  162.8   1.8     5   160   113   296   109   297 0.81 -
69102at50557_41427_0:0029ce|STRG.19410.1:0-851|+    -            284 69102at50557         -            161   1.7e-39  134.2   0.0   1   1     4e-42   2.4e-39  133.7   0.0     5   160   116   284   112   284 0.86 -
69102at50557_41427_0:0029ce|STRG.19410.2:170-1021|+ -            284 69102at50557         -            161   1.7e-39  134.2   0.0   1   1     4e-42   2.4e-39  133.7   0.0     5   160   116   284   112   284 0.86 -
69102at50557_41427_0:0029ce|STRG.19410.3:613-1464|+ -            284 69102at50557         -            161   1.7e-39  134.2   0.0   1   1     4e-42   2.4e-39  133.7   0.0     5   160   116   284   112   284 0.86 -
69102at50557_41427_0:0029ce|STRG.13512.2:674-1414|+ -            247 69102at50557         -            161   1.2e-20   72.9   0.0   1   1   2.9e-23   1.7e-20   72.5   0.0     5   157    86   246    82   247 0.69 -
48331at50557_28612_0:003af4|STRG.4901.3:206-868|+   -            221 69102at50557         -            161   9.1e-12   44.1   0.0   1   2   3.2e-08   1.9e-05   23.5   0.0     7    64     1    69     1    76 0.79 -
48331at50557_28612_0:003af4|STRG.4901.3:206-868|+   -            221 69102at50557         -            161   9.1e-12   44.1   0.0   2   2   1.1e-06   0.00066   18.5   0.0    69   123    98   160    76   173 0.78 -
69102at50557_41427_0:0029ce|STRG.4901.1:165-956|+   -            264 69102at50557         -            161   2.2e-11   42.8   0.0   1   2   1.5e-08     9e-06   24.6   0.0     6    64   105   174   101   181 0.79 -
69102at50557_41427_0:0029ce|STRG.4901.1:165-956|+   -            264 69102at50557         -            161   2.2e-11   42.8   0.0   2   2     6e-06    0.0035   16.2   0.0    69   121   203   263   181   264 0.77 -
69102at50557_41427_0:0029ce|STRG.4901.2:165-956|+   -            264 69102at50557         -            161   2.2e-11   42.8   0.0   1   2   1.5e-08     9e-06   24.6   0.0     6    64   105   174   101   181 0.79 -
69102at50557_41427_0:0029ce|STRG.4901.2:165-956|+   -            264 69102at50557         -            161   2.2e-11   42.8   0.0   2   2     6e-06    0.0035   16.2   0.0    69   121   203   263   181   264 0.77 -
48331at50557_456900_0:001f7e|STRG.6645.1:0-1430|+   -            477 69102at50557         -            161   8.4e-09   34.4   0.0   1   2   1.7e-06     0.001   17.9   0.0     5    87   218   315   214   321 0.74 -
48331at50557_456900_0:001f7e|STRG.6645.1:0-1430|+   -            477 69102at50557         -            161   8.4e-09   34.4   0.0   2   2   3.3e-05     0.019   13.8   0.0    96   125   351   380   333   387 0.79 -
69102at50557_143948_0:0005b9|STRG.16510.1:63-938|+  -            292 69102at50557         -            161   2.3e-08   33.0   0.0   1   1   6.7e-11     4e-08   32.3   0.0     5    61   144   210   141   248 0.70 -
69102at50557_74869_0:000e3a|STRG.15643.1:575-1123|+ -            183 69102at50557         -            161   9.1e-08   31.1   0.0   1   1   2.4e-10   1.4e-07   30.5   0.0     7    57    75   127    70   139 0.79 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/69102at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/69102at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/69102at50557.hmm annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 17:36:15 2024
# [ok]
