#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
28600at50557_520822_0:000c07|STRG.19519.2:698-2578|+   -            627 28600at50557         -            507  1.9e-241  800.9  16.5   1   1  1.2e-241  8.4e-240  795.5  16.5     1   497    10   609    10   620 0.87 -
28600at50557_13686_0:0008a3|STRG.19519.1:698-2617|+    -            640 28600at50557         -            507    9e-241  798.7  17.4   1   2  8.3e-242  5.6e-240  796.1  13.6     1   491    10   588    10   597 0.89 -
28600at50557_13686_0:0008a3|STRG.19519.1:698-2617|+    -            640 28600at50557         -            507    9e-241  798.7  17.4   2   2       1.6   1.1e+02    0.0   0.1   488   506   613   632   600   633 0.80 -
140221at50557_568069_0:001a32|STRG.8386.5:213-722|+    -            170 28600at50557         -            507   2.6e-13   48.3   0.0   1   1   4.9e-15   3.3e-13   47.9   0.0     4   123    16   144    14   151 0.84 -
140221at50557_568069_0:001a32|STRG.8386.1:100-564|+    -            155 28600at50557         -            507   3.6e-13   47.8   0.0   1   1   6.1e-15   4.1e-13   47.6   0.0     5   123     2   129     1   136 0.84 -
140221at50557_568069_0:001a32|STRG.8386.2:665-1129|+   -            155 28600at50557         -            507   3.6e-13   47.8   0.0   1   1   6.1e-15   4.1e-13   47.6   0.0     5   123     2   129     1   136 0.84 -
140221at50557_568069_0:001a32|STRG.8386.3:329-793|+    -            155 28600at50557         -            507   3.6e-13   47.8   0.0   1   1   6.1e-15   4.1e-13   47.6   0.0     5   123     2   129     1   136 0.84 -
140221at50557_568069_0:001a32|STRG.8386.4:254-718|+    -            155 28600at50557         -            507   3.6e-13   47.8   0.0   1   1   6.1e-15   4.1e-13   47.6   0.0     5   123     2   129     1   136 0.84 -
140221at50557_568069_0:001a32|STRG.8386.6:18-482|+     -            155 28600at50557         -            507   3.6e-13   47.8   0.0   1   1   6.1e-15   4.1e-13   47.6   0.0     5   123     2   129     1   136 0.84 -
108271at50557_286306_0:004073|STRG.3046.3:0-590|+      -            197 28600at50557         -            507   1.4e-12   45.9   0.0   1   1   2.5e-14   1.7e-12   45.6   0.0     4   153    13   172    10   178 0.83 -
140221at50557_568069_0:001a32|STRG.12470.1:645-1136|+  -            164 28600at50557         -            507   2.3e-12   45.1   0.0   1   1   3.7e-14   2.5e-12   45.0   0.0     3   114     8   127     6   158 0.85 -
140221at50557_568069_0:001a32|STRG.12470.2:645-1136|+  -            164 28600at50557         -            507   2.3e-12   45.1   0.0   1   1   3.7e-14   2.5e-12   45.0   0.0     3   114     8   127     6   158 0.85 -
140221at50557_568069_0:001a32|STRG.4931.1:63-539|+     -            159 28600at50557         -            507   2.5e-12   45.1   0.0   1   1   4.2e-14   2.9e-12   44.8   0.0     1   111     1   119     1   133 0.86 -
108271at50557_64793_0:001833|STRG.3046.2:0-602|+       -            201 28600at50557         -            507   2.7e-12   45.0   0.0   1   1   4.7e-14   3.2e-12   44.7   0.0     4   148    13   167    10   177 0.83 -
108271at50557_64793_0:001833|STRG.3046.1:701-1318|+    -            206 28600at50557         -            507   2.9e-12   44.8   0.0   1   1   5.2e-14   3.5e-12   44.6   0.0     4   148    18   172    15   182 0.83 -
