#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
99132at50557_34720_0:0029a2|STRG.1423.1:0-1178|+   -            393 99132at50557         -            262  1.6e-113  377.2   8.1   1   1  6.6e-114  5.6e-111  368.9   8.1     1   262    19   336    19   336 0.91 -
51073at50557_13249_0:000c1b|STRG.6745.5:950-1243|+ -             98 99132at50557         -            262    0.0036   15.6   0.0   1   1   4.2e-06    0.0036   15.6   0.0   195   230    38    73     8    90 0.88 -
51073at50557_13249_0:000c1b|STRG.6745.6:670-963|+  -             98 99132at50557         -            262    0.0036   15.6   0.0   1   1   4.2e-06    0.0036   15.6   0.0   195   230    38    73     8    90 0.88 -
104262at50557_7167_0:001a16|STRG.6745.1:173-988|+  -            272 99132at50557         -            262     0.006   14.8   0.1   1   2   4.7e-05      0.04   12.1   0.0   195   229   102   136    86   147 0.89 -
104262at50557_7167_0:001a16|STRG.6745.1:173-988|+  -            272 99132at50557         -            262     0.006   14.8   0.1   2   2      0.31   2.7e+02   -0.4   0.0    60   115   210   266   173   268 0.67 -
104262at50557_7167_0:001a16|STRG.6745.2:157-972|+  -            272 99132at50557         -            262     0.006   14.8   0.1   1   2   4.7e-05      0.04   12.1   0.0   195   229   102   136    86   147 0.89 -
104262at50557_7167_0:001a16|STRG.6745.2:157-972|+  -            272 99132at50557         -            262     0.006   14.8   0.1   2   2      0.31   2.7e+02   -0.4   0.0    60   115   210   266   173   268 0.67 -
104262at50557_7167_0:001a16|STRG.6745.3:163-978|+  -            272 99132at50557         -            262     0.006   14.8   0.1   1   2   4.7e-05      0.04   12.1   0.0   195   229   102   136    86   147 0.89 -
104262at50557_7167_0:001a16|STRG.6745.3:163-978|+  -            272 99132at50557         -            262     0.006   14.8   0.1   2   2      0.31   2.7e+02   -0.4   0.0    60   115   210   266   173   268 0.67 -
104262at50557_7167_0:001a16|STRG.6745.4:40-855|+   -            272 99132at50557         -            262     0.006   14.8   0.1   1   2   4.7e-05      0.04   12.1   0.0   195   229   102   136    86   147 0.89 -
104262at50557_7167_0:001a16|STRG.6745.4:40-855|+   -            272 99132at50557         -            262     0.006   14.8   0.1   2   2      0.31   2.7e+02   -0.4   0.0    60   115   210   266   173   268 0.67 -
104262at50557_7167_0:001a16|STRG.6745.8:372-1187|+ -            272 99132at50557         -            262     0.006   14.8   0.1   1   2   4.7e-05      0.04   12.1   0.0   195   229   102   136    86   147 0.89 -
104262at50557_7167_0:001a16|STRG.6745.8:372-1187|+ -            272 99132at50557         -            262     0.006   14.8   0.1   2   2      0.31   2.7e+02   -0.4   0.0    60   115   210   266   173   268 0.67 -
51073at50557_13249_0:000c1b|STRG.6745.7:51-461|+   -            137 99132at50557         -            262    0.0071   14.6   0.0   1   1   9.6e-06    0.0081   14.4   0.0   195   230    77   112    44   128 0.88 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/99132at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/99132at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/99132at50557.hmm annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 17:37:14 2024
# [ok]
