#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
76116at50557_456900_0:001c77|STRG.19471.1:0-1058|+    -            353 76116at50557         -            268  6.1e-142  470.0   1.4   1   1  5.7e-144  2.1e-141  468.3   1.4     1   259    38   327    38   347 0.90 -
78395at50557_103372_0:001bc6|STRG.382.1:0-1067|+      -            356 76116at50557         -            268   8.3e-62  207.3   0.0   1   1   3.4e-64   1.3e-61  206.7   0.0     1   201    33   243    33   254 0.93 -
78395at50557_38123_0:0002db|STRG.8261.1:60-1040|+     -            327 76116at50557         -            268   5.7e-58  194.7   0.0   1   1   2.2e-60   8.1e-58  194.2   0.0     1   210    25   238    25   264 0.95 -
80072at50557_103372_0:001f31|STRG.6118.1:0-1058|+     -            353 76116at50557         -            268   4.7e-29   99.9   0.1   1   2   3.7e-10   1.3e-07   29.6   0.0     3    65     4    67     2    75 0.88 -
80072at50557_103372_0:001f31|STRG.6118.1:0-1058|+     -            353 76116at50557         -            268   4.7e-29   99.9   0.1   2   2   6.9e-22   2.5e-19   68.0   0.2    67   200    95   232    81   249 0.87 -
59039at50557_166361_0:00097d|STRG.18227.1:1536-2840|+ -            435 76116at50557         -            268   7.6e-14   50.0   0.4   1   2       1.6   5.9e+02   -2.1   0.0     4    18     4    19     3    31 0.75 -
59039at50557_166361_0:00097d|STRG.18227.1:1536-2840|+ -            435 76116at50557         -            268   7.6e-14   50.0   0.4   2   2   5.6e-16   2.1e-13   48.6   0.2    35   199    59   232    41   250 0.77 -
59039at50557_166361_0:00097d|STRG.18227.2:1536-2840|+ -            435 76116at50557         -            268   7.6e-14   50.0   0.4   1   2       1.6   5.9e+02   -2.1   0.0     4    18     4    19     3    31 0.75 -
59039at50557_166361_0:00097d|STRG.18227.2:1536-2840|+ -            435 76116at50557         -            268   7.6e-14   50.0   0.4   2   2   5.6e-16   2.1e-13   48.6   0.2    35   199    59   232    41   250 0.77 -
59039at50557_166361_0:00097d|STRG.18227.3:1365-2669|+ -            435 76116at50557         -            268   7.6e-14   50.0   0.4   1   2       1.6   5.9e+02   -2.1   0.0     4    18     4    19     3    31 0.75 -
59039at50557_166361_0:00097d|STRG.18227.3:1365-2669|+ -            435 76116at50557         -            268   7.6e-14   50.0   0.4   2   2   5.6e-16   2.1e-13   48.6   0.2    35   199    59   232    41   250 0.77 -
