#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
140938at50557_103372_0:002606|STRG.6952.1:0-413|+    -            138 140938at50557        -            113   7.7e-55  182.4   4.1   1   1   3.1e-57   1.3e-54  181.6   4.1     1   105    10   116    10   136 0.94 -
147726at50557_103372_0:00130a|STRG.16503.1:329-616|+ -             96 140938at50557        -            113   3.4e-15   54.7   0.2   1   1   8.7e-18   3.7e-15   54.5   0.2     7    81     7    82     1    91 0.88 -
147726at50557_103372_0:00130a|STRG.16503.2:329-610|+ -             94 140938at50557        -            113     1e-14   53.1   0.3   1   1   2.8e-17   1.2e-14   52.9   0.3    13    81    11    80     4    89 0.89 -
147726at50557_103372_0:00130a|STRG.16503.3:0-254|+   -             85 140938at50557        -            113     2e-14   52.2   0.4   1   1   5.3e-17   2.3e-14   52.0   0.4    15    81     4    71     1    80 0.89 -
152308at50557_103372_0:0026d9|STRG.14684.1:125-352|+ -             76 140938at50557        -            113   6.4e-09   34.4   0.1   1   1   1.8e-11   7.7e-09   34.2   0.1     5    74     9    75     6    76 0.91 -
152308at50557_103372_0:0026d9|STRG.14684.2:125-349|+ -             75 140938at50557        -            113   8.8e-08   30.8   0.1   1   1   2.8e-10   1.2e-07   30.4   0.1     5    73     9    73     6    75 0.87 -
147726at50557_7038_0:0007d8|STRG.2905.1:81-311|+     -             77 140938at50557        -            113   1.9e-07   29.7   0.3   1   1   7.2e-10   3.1e-07   29.0   0.3     4    47     8    51     5    77 0.74 -
147726at50557_7038_0:0007d8|STRG.2905.2:135-332|+    -             66 140938at50557        -            113   2.6e-06   26.0   0.2   1   1   9.6e-09   4.1e-06   25.4   0.2     9    47     2    40     1    66 0.70 -
149193at50557_13686_0:001c78|STRG.1148.1:177-470|+   -             98 140938at50557        -            113   6.3e-06   24.8   0.8   1   1   2.2e-08   9.2e-06   24.3   0.8     8    69    23    94    17    96 0.78 -
150643at50557_69004_0:0019de|STRG.9075.1:33-221|+    -             63 140938at50557        -            113   1.8e-05   23.3   0.0   1   1   4.9e-08   2.1e-05   23.1   0.0    11    67     8    61     2    63 0.84 -
150643at50557_69004_0:0019de|STRG.9075.2:146-334|+   -             63 140938at50557        -            113   1.8e-05   23.3   0.0   1   1   4.9e-08   2.1e-05   23.1   0.0    11    67     8    61     2    63 0.84 -
150643at50557_326594_0:001b62|STRG.8327.1:81-314|+   -             78 140938at50557        -            113   5.8e-05   21.7   0.1   1   1   1.5e-07   6.3e-05   21.6   0.1    11    70    17    73     6    78 0.79 -
149193at50557_13686_0:001c78|STRG.1148.2:0-200|+     -             67 140938at50557        -            113   0.00025   19.7   0.3   1   1   8.1e-07   0.00034   19.2   0.3    17    69     1    63     1    65 0.76 -
147931at50557_103372_0:000dcb|STRG.18585.1:0-272|+   -             91 140938at50557        -            113    0.0036   15.9   0.0   1   1   9.5e-06     0.004   15.8   0.0     9    44    22    57    13    87 0.82 -
147640at50557_123851_0:0001e2|STRG.20075.2:0-293|+   -             98 140938at50557        -            113     0.013   14.1   0.0   1   1   3.9e-05     0.017   13.8   0.0    10    43    29    62    20    77 0.84 -
140706at50557_307658_0:00219e|STRG.20082.2:263-481|+ -             73 140938at50557        -            113     0.028   13.1   0.1   1   2      0.86   3.6e+02   -0.2   0.1    93   110     4    22     2    24 0.49 -
140706at50557_307658_0:00219e|STRG.20082.2:263-481|+ -             73 140938at50557        -            113     0.028   13.1   0.1   2   2   0.00015     0.063   11.9   0.0     5    44    21    60    17    65 0.91 -
140706at50557_307658_0:00219e|STRG.20082.3:159-398|+ -             80 140938at50557        -            113      0.03   12.9   0.2   1   2      0.64   2.7e+02    0.2   0.1    92   110    10    29     4    31 0.56 -
140706at50557_307658_0:00219e|STRG.20082.3:159-398|+ -             80 140938at50557        -            113      0.03   12.9   0.2   2   2   0.00019     0.081   11.6   0.0     5    44    28    67    24    72 0.91 -
140706at50557_307658_0:00219e|STRG.20082.1:340-549|+ -             70 140938at50557        -            113     0.035   12.7   0.0   1   1   0.00012     0.053   12.2   0.0     5    44    18    57    12    62 0.91 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/140938at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/140938at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/140938at50557.hmm annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 17:33:25 2024
# [ok]
