#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
85463at50557_34720_0:001180|STRG.17013.1:93-1091|+    -            333 85463at50557         -            265  5.1e-133  441.1  22.5   1   1  2.7e-135    3e-132  438.6  22.5     4   265    20   317    16   317 0.91 -
28875at50557_197043_0:001126|STRG.442.1:1071-1313|+   -             81 85463at50557         -            265     0.011   13.8   0.4   1   1   1.2e-05     0.013   13.6   0.4   174   213    39    81    23    81 0.79 -
28875at50557_197043_0:001126|STRG.442.2:741-983|+     -             81 85463at50557         -            265     0.011   13.8   0.4   1   1   1.2e-05     0.013   13.6   0.4   174   213    39    81    23    81 0.79 -
35806at50557_121225_0:000aa0|STRG.11642.1:3083-4201|+ -            373 85463at50557         -            265     0.057   11.5   0.1   1   5     0.034        37    2.3   0.3   170   221     9    58     3    63 0.77 -
35806at50557_121225_0:000aa0|STRG.11642.1:3083-4201|+ -            373 85463at50557         -            265     0.057   11.5   0.1   2   5   5.2e-05     0.057   11.5   0.1   160   226    58   122    56   135 0.86 -
35806at50557_121225_0:000aa0|STRG.11642.1:3083-4201|+ -            373 85463at50557         -            265     0.057   11.5   0.1   3   5     0.014        15    3.5   0.7   169   216   184   228   174   248 0.76 -
35806at50557_121225_0:000aa0|STRG.11642.1:3083-4201|+ -            373 85463at50557         -            265     0.057   11.5   0.1   4   5      0.12   1.4e+02    0.4   0.3   173   215   217   259   195   292 0.70 -
35806at50557_121225_0:000aa0|STRG.11642.1:3083-4201|+ -            373 85463at50557         -            265     0.057   11.5   0.1   5   5      0.58   6.4e+02   -1.8   0.1   164   216   280   330   271   352 0.69 -
35806at50557_121225_0:000aa0|STRG.11642.2:2295-3413|+ -            373 85463at50557         -            265     0.057   11.5   0.1   1   5     0.034        37    2.3   0.3   170   221     9    58     3    63 0.77 -
35806at50557_121225_0:000aa0|STRG.11642.2:2295-3413|+ -            373 85463at50557         -            265     0.057   11.5   0.1   2   5   5.2e-05     0.057   11.5   0.1   160   226    58   122    56   135 0.86 -
35806at50557_121225_0:000aa0|STRG.11642.2:2295-3413|+ -            373 85463at50557         -            265     0.057   11.5   0.1   3   5     0.014        15    3.5   0.7   169   216   184   228   174   248 0.76 -
35806at50557_121225_0:000aa0|STRG.11642.2:2295-3413|+ -            373 85463at50557         -            265     0.057   11.5   0.1   4   5      0.12   1.4e+02    0.4   0.3   173   215   217   259   195   292 0.70 -
35806at50557_121225_0:000aa0|STRG.11642.2:2295-3413|+ -            373 85463at50557         -            265     0.057   11.5   0.1   5   5      0.58   6.4e+02   -1.8   0.1   164   216   280   330   271   352 0.69 -
72133at50557_1049336_0:000716|STRG.16990.2:201-839|+  -            213 85463at50557         -            265      0.15   10.1   1.0   1   2   0.00016      0.17    9.9   0.1   190   228     2    38     1    47 0.86 -
72133at50557_1049336_0:000716|STRG.16990.2:201-839|+  -            213 85463at50557         -            265      0.15   10.1   1.0   2   2       1.1   1.2e+03   -2.7   0.1   207   226   113   132    91   148 0.53 -
57812at50557_139723_0:0023b3|STRG.897.1:762-1238|+    -            159 85463at50557         -            265       1.4    6.9   5.4   1   2   0.00039      0.43    8.6   1.5   159   218    40    95    28   111 0.82 -
57812at50557_139723_0:0023b3|STRG.897.1:762-1238|+    -            159 85463at50557         -            265       1.4    6.9   5.4   2   2      0.43   4.6e+02   -1.3   0.0   173   192   138   157   121   159 0.64 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/85463at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/85463at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/85463at50557.hmm annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 17:36:47 2024
# [ok]
