#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
66691at50557_456900_0:002b0f|STRG.1574.1:0-1100|+     -            367 66691at50557         -            296  2.1e-144  478.9   8.7   1   1  8.3e-146  6.3e-144  477.3   8.7     1   290    15   355    15   360 0.89 -
78072at50557_34720_0:000cf9|STRG.15555.3:18-1028|+    -            337 66691at50557         -            296   8.8e-20   69.8  26.2   1   4   3.4e-08   2.6e-06   25.6   0.2    20    94     8    83     3    95 0.89 -
78072at50557_34720_0:000cf9|STRG.15555.3:18-1028|+    -            337 66691at50557         -            296   8.8e-20   69.8  26.2   2   4   3.2e-10   2.4e-08   32.2   3.4    28   146    61   177    57   178 0.82 -
78072at50557_34720_0:000cf9|STRG.15555.3:18-1028|+    -            337 66691at50557         -            296   8.8e-20   69.8  26.2   3   4   2.4e-11   1.8e-09   35.9   9.7    23   147   100   224    90   226 0.94 -
78072at50557_34720_0:000cf9|STRG.15555.3:18-1028|+    -            337 66691at50557         -            296   8.8e-20   69.8  26.2   4   4    0.0061      0.47    8.3   0.3    14    94   237   327   228   337 0.66 -
78072at50557_34720_0:000cf9|STRG.15555.1:334-1350|+   -            339 66691at50557         -            296   3.2e-19   67.9  28.0   1   4   3.2e-08   2.5e-06   25.6   0.2    20    94    10    85     4    97 0.89 -
78072at50557_34720_0:000cf9|STRG.15555.1:334-1350|+   -            339 66691at50557         -            296   3.2e-19   67.9  28.0   2   4   4.4e-10   3.4e-08   31.7   3.8    28   146    63   179    60   180 0.81 -
78072at50557_34720_0:000cf9|STRG.15555.1:334-1350|+   -            339 66691at50557         -            296   3.2e-19   67.9  28.0   3   4   6.5e-11     5e-09   34.5  11.2    22   147   101   226    89   228 0.94 -
78072at50557_34720_0:000cf9|STRG.15555.1:334-1350|+   -            339 66691at50557         -            296   3.2e-19   67.9  28.0   4   4     0.006      0.45    8.3   0.2    14    94   239   329   229   339 0.66 -
40115at50557_108931_0:001d6b|STRG.9325.1:276-1313|+   -            346 66691at50557         -            296   4.5e-18   64.1  10.6   1   4    0.0012     0.094   10.6   0.0    24    71     7    54     4    65 0.90 -
40115at50557_108931_0:001d6b|STRG.9325.1:276-1313|+   -            346 66691at50557         -            296   4.5e-18   64.1  10.6   2   4    0.0043      0.33    8.8   0.0   120   147    68    95    62    99 0.88 -
40115at50557_108931_0:001d6b|STRG.9325.1:276-1313|+   -            346 66691at50557         -            296   4.5e-18   64.1  10.6   3   4   6.6e-06    0.0005   18.0   0.3    23   103   102   179    95   183 0.87 -
40115at50557_108931_0:001d6b|STRG.9325.1:276-1313|+   -            346 66691at50557         -            296   4.5e-18   64.1  10.6   4   4   1.6e-09   1.2e-07   29.9   2.2    23   184   185   341   182   346 0.83 -
78072at50557_286306_0:00290a|STRG.15555.2:150-2096|+  -            605 66691at50557         -            296   1.8e-17   62.2  19.9   1   3   9.2e-08     7e-06   24.1   0.2    20    94     7    82     3    92 0.89 -
78072at50557_286306_0:00290a|STRG.15555.2:150-2096|+  -            605 66691at50557         -            296   1.8e-17   62.2  19.9   2   3   6.9e-11   5.3e-09   34.4   9.8    23   148    99   224    90   226 0.94 -
78072at50557_286306_0:00290a|STRG.15555.2:150-2096|+  -            605 66691at50557         -            296   1.8e-17   62.2  19.9   3   3     0.024       1.8    6.4   0.2    14    84   236   315   225   332 0.68 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+   -            712 66691at50557         -            296   2.1e-16   58.7   8.2   1   8      0.56        42    1.9   0.0   120   146     4    29     2    40 0.83 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+   -            712 66691at50557         -            296   2.1e-16   58.7   8.2   2   8     0.016       1.2    6.9   0.0    23    91    43   110    33   163 0.81 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+   -            712 66691at50557         -            296   2.1e-16   58.7   8.2   3   8       4.8   3.7e+02   -1.2   0.0    40    57   210   227   167   234 0.56 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+   -            712 66691at50557         -            296   2.1e-16   58.7   8.2   4   8   5.7e-07   4.4e-05   21.5   0.1    11    95   236   318   224   324 0.88 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+   -            712 66691at50557         -            296   2.1e-16   58.7   8.2   5   8      0.17        13    3.5   0.0    16    59   366   408   358   419 0.71 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+   -            712 66691at50557         -            296   2.1e-16   58.7   8.2   6   8    0.0001    0.0077   14.1   0.0    22    91   425   493   414   501 0.85 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+   -            712 66691at50557         -            296   2.1e-16   58.7   8.2   7   8       5.5   4.2e+02   -1.4   0.0    27    58   562   592   555   595 0.80 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+   -            712 66691at50557         -            296   2.1e-16   58.7   8.2   8   8     0.064       4.9    4.9   0.0    23    95   636   707   620   712 0.71 -
78072at50557_7070_0:002a52|STRG.19597.1:483-1325|+    -            281 66691at50557         -            296   4.5e-11   41.2   8.2   1   3       5.6   4.3e+02   -1.4   0.0    34    53     3    22     1    34 0.66 -
78072at50557_7070_0:002a52|STRG.19597.1:483-1325|+    -            281 66691at50557         -            296   4.5e-11   41.2   8.2   2   3   1.1e-06   8.8e-05   20.5   1.5    24   142    35   146    25   153 0.84 -
78072at50557_7070_0:002a52|STRG.19597.1:483-1325|+    -            281 66691at50557         -            296   4.5e-11   41.2   8.2   3   3   1.3e-07     1e-05   23.6   0.7    24   143   162   278   152   281 0.80 -
49370at50557_2015173_0:001990|STRG.18790.1:60-1046|+  -            329 66691at50557         -            296   1.2e-10   39.8   0.1   1   2     3e-05    0.0023   15.9   0.3    18   127    30   137    21   156 0.70 -
49370at50557_2015173_0:001990|STRG.18790.1:60-1046|+  -            329 66691at50557         -            296   1.2e-10   39.8   0.1   2   2   1.6e-06   0.00012   20.1   0.0    21   147   163   287   157   292 0.89 -
71739at50557_7375_0:001d21|STRG.15382.1:21-878|+      -            286 66691at50557         -            296     4e-10   38.0   1.3   1   2     1e-06   7.7e-05   20.7   0.9    26   146    50   164    46   165 0.85 -
71739at50557_7375_0:001d21|STRG.15382.1:21-878|+      -            286 66691at50557         -            296     4e-10   38.0   1.3   2   2   0.00011    0.0088   14.0   0.1    92   189   188   281   130   286 0.62 -
56099at50557_103372_0:001a7e|STRG.18490.1:87-1418|+   -            444 66691at50557         -            296   8.7e-10   36.9   0.3   1   2     0.014         1    7.2   0.0   134   198    82   139    64   146 0.76 -
56099at50557_103372_0:001a7e|STRG.18490.1:87-1418|+   -            444 66691at50557         -            296   8.7e-10   36.9   0.3   2   2   7.1e-09   5.4e-07   27.8   0.1    29   150   237   355   207   369 0.82 -
56099at50557_103372_0:001a7e|STRG.18490.2:87-1425|+   -            443 66691at50557         -            296     1e-09   36.7   0.7   1   2     0.014         1    7.2   0.0   134   198    82   139    64   146 0.76 -
56099at50557_103372_0:001a7e|STRG.18490.2:87-1425|+   -            443 66691at50557         -            296     1e-09   36.7   0.7   2   2   7.8e-09     6e-07   27.6   0.2    29   150   236   354   202   368 0.83 -
40115at50557_103372_0:0021d6|STRG.4708.1:0-1442|+     -            481 66691at50557         -            296   3.8e-09   34.8   9.7   1   3    0.0032      0.25    9.2   0.8   120   200   121   194   117   213 0.79 -
40115at50557_103372_0:0021d6|STRG.4708.1:0-1442|+     -            481 66691at50557         -            296   3.8e-09   34.8   9.7   2   3     0.017       1.3    6.8   0.9    22    84   198   263   191   282 0.71 -
40115at50557_103372_0:0021d6|STRG.4708.1:0-1442|+     -            481 66691at50557         -            296   3.8e-09   34.8   9.7   3   3   3.7e-06   0.00028   18.9   0.2    70   184   365   468   337   479 0.60 -
80377at50557_37344_0:0017d3|STRG.16297.1:1013-1972|+  -            320 66691at50557         -            296   5.5e-09   34.3   1.8   1   5      0.02       1.5    6.6   0.0   117   148    67    98    57   102 0.85 -
80377at50557_37344_0:0017d3|STRG.16297.1:1013-1972|+  -            320 66691at50557         -            296   5.5e-09   34.3   1.8   2   5    0.0001    0.0079   14.1   0.1    25    70   110   155   106   159 0.91 -
80377at50557_37344_0:0017d3|STRG.16297.1:1013-1972|+  -            320 66691at50557         -            296   5.5e-09   34.3   1.8   3   5      0.27        21    2.9   0.1   119   155   172   208   168   223 0.82 -
80377at50557_37344_0:0017d3|STRG.16297.1:1013-1972|+  -            320 66691at50557         -            296   5.5e-09   34.3   1.8   4   5     0.046       3.5    5.4   0.0   275   293   229   247   211   250 0.80 -
80377at50557_37344_0:0017d3|STRG.16297.1:1013-1972|+  -            320 66691at50557         -            296   5.5e-09   34.3   1.8   5   5       3.3   2.5e+02   -0.7   0.0    74    91   263   280   255   291 0.75 -
80377at50557_37344_0:0017d3|STRG.16297.2:1013-1972|+  -            320 66691at50557         -            296   5.5e-09   34.3   1.8   1   5      0.02       1.5    6.6   0.0   117   148    67    98    57   102 0.85 -
80377at50557_37344_0:0017d3|STRG.16297.2:1013-1972|+  -            320 66691at50557         -            296   5.5e-09   34.3   1.8   2   5    0.0001    0.0079   14.1   0.1    25    70   110   155   106   159 0.91 -
80377at50557_37344_0:0017d3|STRG.16297.2:1013-1972|+  -            320 66691at50557         -            296   5.5e-09   34.3   1.8   3   5      0.27        21    2.9   0.1   119   155   172   208   168   223 0.82 -
80377at50557_37344_0:0017d3|STRG.16297.2:1013-1972|+  -            320 66691at50557         -            296   5.5e-09   34.3   1.8   4   5     0.046       3.5    5.4   0.0   275   293   229   247   211   250 0.80 -
80377at50557_37344_0:0017d3|STRG.16297.2:1013-1972|+  -            320 66691at50557         -            296   5.5e-09   34.3   1.8   5   5       3.3   2.5e+02   -0.7   0.0    74    91   263   280   255   291 0.75 -
80377at50557_37344_0:0017d3|STRG.16297.3:1013-1972|+  -            320 66691at50557         -            296   5.5e-09   34.3   1.8   1   5      0.02       1.5    6.6   0.0   117   148    67    98    57   102 0.85 -
80377at50557_37344_0:0017d3|STRG.16297.3:1013-1972|+  -            320 66691at50557         -            296   5.5e-09   34.3   1.8   2   5    0.0001    0.0079   14.1   0.1    25    70   110   155   106   159 0.91 -
80377at50557_37344_0:0017d3|STRG.16297.3:1013-1972|+  -            320 66691at50557         -            296   5.5e-09   34.3   1.8   3   5      0.27        21    2.9   0.1   119   155   172   208   168   223 0.82 -
80377at50557_37344_0:0017d3|STRG.16297.3:1013-1972|+  -            320 66691at50557         -            296   5.5e-09   34.3   1.8   4   5     0.046       3.5    5.4   0.0   275   293   229   247   211   250 0.80 -
