#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
22348at50557_411798_0:00330e|STRG.19283.1:2-1048|+     -            349 22348at50557         -            571    1e-201  669.8  14.5   1   1  1.1e-202  4.1e-200  664.6  14.5   262   571     1   340     1   340 0.95 -
58189at50557_121225_0:000d00|STRG.7232.1:9145-10185|+  -            347 22348at50557         -            571   7.9e-37  125.5   1.2   1   1   2.7e-39     1e-36  125.1   1.2   287   526    15   260     1   284 0.80 -
58189at50557_121225_0:000d00|STRG.7232.2:9073-10113|+  -            347 22348at50557         -            571   7.9e-37  125.5   1.2   1   1   2.7e-39     1e-36  125.1   1.2   287   526    15   260     1   284 0.80 -
58189at50557_121225_0:000d00|STRG.7232.3:13106-14146|+ -            347 22348at50557         -            571   7.9e-37  125.5   1.2   1   1   2.7e-39     1e-36  125.1   1.2   287   526    15   260     1   284 0.80 -
58189at50557_121225_0:000d00|STRG.7232.4:13101-14141|+ -            347 22348at50557         -            571   7.9e-37  125.5   1.2   1   1   2.7e-39     1e-36  125.1   1.2   287   526    15   260     1   284 0.80 -
22348at50557_197043_0:001d27|STRG.3854.1:1467-2918|+   -            484 22348at50557         -            571   2.3e-29  100.8   3.3   1   1   6.1e-31   2.3e-28   97.5   3.3   259   516   184   473    14   478 0.79 -
22348at50557_197043_0:001d27|STRG.3854.3:272-1738|+    -            489 22348at50557         -            571   6.3e-28   96.1   4.5   1   1   3.5e-29   1.3e-26   91.7   4.5   259   516   184   478    13   482 0.78 -
22348at50557_39758_0:0000a5|STRG.3854.2:1278-1688|+    -            137 22348at50557         -            571   1.1e-23   82.0   0.0   1   1   3.2e-26   1.2e-23   81.9   0.0   383   515     2   135     1   137 0.92 -
58189at50557_103372_0:000235|STRG.1500.1:4-1242|+      -            413 22348at50557         -            571   1.8e-23   81.3   0.2   1   1   7.3e-26   2.8e-23   80.7   0.2   267   519    38   301    23   319 0.85 -
8602at50557_1218281_0:002946|STRG.16061.1:1-711|+      -            237 22348at50557         -            571   2.2e-22   77.8   0.0   1   1   7.5e-25   2.9e-22   77.4   0.0   390   517    16   148     4   182 0.87 -
31793at50557_7004_0:0042c4|STRG.17637.1:1560-2387|+    -            276 22348at50557         -            571   2.3e-22   77.7   0.4   1   1   7.8e-25     3e-22   77.3   0.4   271   519     5   272     2   275 0.81 -
31793at50557_13249_0:002184|STRG.17638.1:1511-2297|+   -            254 22348at50557         -            571   5.7e-20   69.8   0.9   1   1   1.7e-22   6.6e-20   69.6   0.9   272   497     6   253     2   254 0.82 -
31793at50557_7004_0:0042c4|STRG.17641.1:963-1784|+     -            274 22348at50557         -            571   7.1e-19   66.2   0.3   1   1   2.3e-21   8.7e-19   65.9   0.3   272   515     6   268     2   272 0.82 -
31793at50557_7004_0:0042c4|STRG.17641.2:1055-1901|+    -            274 22348at50557         -            571   7.1e-19   66.2   0.3   1   1   2.3e-21   8.7e-19   65.9   0.3   272   515     6   268     2   272 0.82 -
31793at50557_7004_0:0042c4|STRG.17638.2:876-1628|+     -            251 22348at50557         -            571   1.5e-18   65.1   0.8   1   1   4.5e-21   1.7e-18   64.9   0.8   272   495     6   251     2   251 0.82 -
31793at50557_7004_0:0042c4|STRG.7310.1:290-1120|+      -            277 22348at50557         -            571   3.9e-16   57.1   0.7   1   1   1.6e-18     6e-16   56.5   0.7   270   500    17   275     8   277 0.73 -
8602at50557_103372_0:001ee7|STRG.16060.1:2-2245|+      -            748 22348at50557         -            571   8.6e-16   56.0  13.3   1   4   4.3e-06    0.0017   15.4   0.1   129   172     1    45     1    50 0.94 -
8602at50557_103372_0:001ee7|STRG.16060.1:2-2245|+      -            748 22348at50557         -            571   8.6e-16   56.0  13.3   2   4   3.1e-08   1.2e-05   22.5   0.4    88   171    48   135    44   144 0.80 -
8602at50557_103372_0:001ee7|STRG.16060.1:2-2245|+      -            748 22348at50557         -            571   8.6e-16   56.0  13.3   3   4   1.4e-06   0.00052   17.1   0.4    94   169   161   236   152   242 0.84 -
8602at50557_103372_0:001ee7|STRG.16060.1:2-2245|+      -            748 22348at50557         -            571   8.6e-16   56.0  13.3   4   4   0.00056      0.22    8.5   0.1   197   225   669   697   660   741 0.78 -
31793at50557_7004_0:0042c4|STRG.11105.1:5-745|+        -            247 22348at50557         -            571   2.3e-15   54.6   0.1   1   1   6.5e-18   2.5e-15   54.5   0.1   329   495    64   243     2   247 0.77 -
8602at50557_6973_0:002d01|STRG.16060.2:2-511|+         -            170 22348at50557         -            571   3.5e-11   40.8   0.1   1   1     1e-13     4e-11   40.6   0.1   214   360     1   154     1   167 0.82 -
31793at50557_1049336_0:002448|STRG.8210.1:35-364|+     -            110 22348at50557         -            571   1.5e-05   22.2   0.0   1   1   4.4e-08   1.7e-05   22.0   0.0   401   488    16   110    10   110 0.75 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/22348at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/22348at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/22348at50557.hmm annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 17:34:09 2024
# [ok]
