#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
135254at50557_103372_0:002a85|STRG.19319.1:0-374|+     -            125 135254at50557        -            104   1.1e-58  194.6   1.6   1   1   7.7e-61   1.3e-58  194.4   1.6     1   104     7   120     7   120 0.92 -
117816at50557_69004_0:00324f|STRG.3684.1:655-1698|+    -            348 135254at50557        -            104   4.8e-08   31.9   0.6   1   4      0.23        37    3.3   0.0    27    70    19    62     2    90 0.76 -
117816at50557_69004_0:00324f|STRG.3684.1:655-1698|+    -            348 135254at50557        -            104   4.8e-08   31.9   0.6   2   4     0.004      0.65    8.9   0.1    16    73    90   152    78   179 0.82 -
117816at50557_69004_0:00324f|STRG.3684.1:655-1698|+    -            348 135254at50557        -            104   4.8e-08   31.9   0.6   3   4   0.00013      0.02   13.8   0.0    16   102   183   271   168   274 0.75 -
117816at50557_69004_0:00324f|STRG.3684.1:655-1698|+    -            348 135254at50557        -            104   4.8e-08   31.9   0.6   4   4      0.71   1.2e+02    1.7   0.0    13    68   284   343   272   347 0.71 -
117816at50557_69004_0:00324f|STRG.17823.1:654-1628|+   -            325 135254at50557        -            104   5.2e-07   28.5   1.1   1   4         1   1.7e+02    1.2   0.0    37    69     6    38     1    61 0.83 -
117816at50557_69004_0:00324f|STRG.17823.1:654-1628|+   -            325 135254at50557        -            104   5.2e-07   28.5   1.1   2   4    0.0097       1.6    7.7   0.1    16    72    67   128    54   156 0.80 -
117816at50557_69004_0:00324f|STRG.17823.1:654-1628|+   -            325 135254at50557        -            104   5.2e-07   28.5   1.1   3   4   0.00013     0.022   13.7   0.0    26   102   173   248   147   250 0.74 -
117816at50557_69004_0:00324f|STRG.17823.1:654-1628|+   -            325 135254at50557        -            104   5.2e-07   28.5   1.1   4   4      0.61        99    1.9   0.0    14    68   262   320   250   324 0.71 -
117816at50557_29058_0:000b65|STRG.5733.1:822-1295|+    -            158 135254at50557        -            104   8.8e-07   27.8   0.1   1   2   8.1e-05     0.013   14.4   0.1    26    83     9    69     3    79 0.77 -
117816at50557_29058_0:000b65|STRG.5733.1:822-1295|+    -            158 135254at50557        -            104   8.8e-07   27.8   0.1   2   2   0.00053     0.086   11.8   0.0    15    71    81   143    72   145 0.76 -
117816at50557_29058_0:000b65|STRG.5733.2:3424-3897|+   -            158 135254at50557        -            104   8.8e-07   27.8   0.1   1   2   8.1e-05     0.013   14.4   0.1    26    83     9    69     3    79 0.77 -
117816at50557_29058_0:000b65|STRG.5733.2:3424-3897|+   -            158 135254at50557        -            104   8.8e-07   27.8   0.1   2   2   0.00053     0.086   11.8   0.0    15    71    81   143    72   145 0.76 -
117816at50557_29058_0:000b65|STRG.5733.3:554-1027|+    -            158 135254at50557        -            104   8.8e-07   27.8   0.1   1   2   8.1e-05     0.013   14.4   0.1    26    83     9    69     3    79 0.77 -
117816at50557_29058_0:000b65|STRG.5733.3:554-1027|+    -            158 135254at50557        -            104   8.8e-07   27.8   0.1   2   2   0.00053     0.086   11.8   0.0    15    71    81   143    72   145 0.76 -
117816at50557_29058_0:000b65|STRG.5733.4:3353-3826|+   -            158 135254at50557        -            104   8.8e-07   27.8   0.1   1   2   8.1e-05     0.013   14.4   0.1    26    83     9    69     3    79 0.77 -
117816at50557_29058_0:000b65|STRG.5733.4:3353-3826|+   -            158 135254at50557        -            104   8.8e-07   27.8   0.1   2   2   0.00053     0.086   11.8   0.0    15    71    81   143    72   145 0.76 -
117816at50557_29058_0:000b65|STRG.5733.5:554-1027|+    -            158 135254at50557        -            104   8.8e-07   27.8   0.1   1   2   8.1e-05     0.013   14.4   0.1    26    83     9    69     3    79 0.77 -
117816at50557_29058_0:000b65|STRG.5733.5:554-1027|+    -            158 135254at50557        -            104   8.8e-07   27.8   0.1   2   2   0.00053     0.086   11.8   0.0    15    71    81   143    72   145 0.76 -
