#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
17638at50557_411798_0:0012c9|STRG.12033.1:0-1872|+    -            621 17638at50557         -            824  7.9e-218  724.3   2.3   1   1  2.6e-220  1.2e-217  723.7   2.3   382   821     4   486     1   532 0.91 -
17638at50557_7370_0:001e0e|STRG.12032.1:338-1453|+    -            372 17638at50557         -            824  1.9e-191  637.0   0.7   1   1  4.6e-194  2.1e-191  636.9   0.7     1   348     4   372     4   372 0.95 -
17638at50557_110193_0:000dad|STRG.7867.4:234-2750|+   -            839 17638at50557         -            824   5.7e-58  195.5  25.7   1   2   2.2e-07    0.0001   19.4   0.0     7   134     2   115     1   130 0.89 -
17638at50557_110193_0:000dad|STRG.7867.4:234-2750|+   -            839 17638at50557         -            824   5.7e-58  195.5  25.7   2   2   4.1e-55   1.9e-52  177.3  22.6   132   784   157   839   134   839 0.78 -
17638at50557_132113_0:00304f|STRG.6471.2:1342-3297|+  -            652 17638at50557         -            824   6.8e-55  185.3  19.9   1   2   1.3e-30   5.7e-28   96.3   4.5   196   551     3   370     1   396 0.84 -
17638at50557_132113_0:00304f|STRG.6471.2:1342-3297|+  -            652 17638at50557         -            824   6.8e-55  185.3  19.9   2   2   2.7e-30   1.2e-27   95.2   7.5   636   790   477   642   452   652 0.85 -
17638at50557_132113_0:00304f|STRG.6471.3:873-2828|+   -            652 17638at50557         -            824   6.8e-55  185.3  19.9   1   2   1.3e-30   5.7e-28   96.3   4.5   196   551     3   370     1   396 0.84 -
17638at50557_132113_0:00304f|STRG.6471.3:873-2828|+   -            652 17638at50557         -            824   6.8e-55  185.3  19.9   2   2   2.7e-30   1.2e-27   95.2   7.5   636   790   477   642   452   652 0.85 -
17638at50557_132113_0:00304f|STRG.6471.1:1380-3302|+  -            641 17638at50557         -            824   3.6e-54  182.9  20.3   1   2   6.4e-30   2.9e-27   93.9   4.9   253   551    53   359     1   385 0.88 -
17638at50557_132113_0:00304f|STRG.6471.1:1380-3302|+  -            641 17638at50557         -            824   3.6e-54  182.9  20.3   2   2   2.6e-30   1.2e-27   95.2   7.5   636   790   466   631   441   641 0.85 -
17638at50557_7395_0:002284|STRG.19364.1:1997-4306|+   -            770 17638at50557         -            824   4.8e-47  159.4  32.5   1   2   6.4e-28   2.9e-25   87.3   5.8   203   552    92   453    64   484 0.75 -
17638at50557_7395_0:002284|STRG.19364.1:1997-4306|+   -            770 17638at50557         -            824   4.8e-47  159.4  32.5   2   2     4e-25   1.8e-22   78.1  18.7   620   783   593   770   574   770 0.75 -
17638at50557_7038_0:000053|STRG.19364.2:1975-4407|+   -            758 17638at50557         -            824   3.8e-43  146.5  31.9   1   2   6.2e-28   2.8e-25   87.4   5.8   203   552    92   453    64   484 0.75 -
17638at50557_7038_0:000053|STRG.19364.2:1975-4407|+   -            758 17638at50557         -            824   3.8e-43  146.5  31.9   2   2   3.3e-21   1.5e-18   65.1  18.1   620   779   593   758   574   758 0.73 -
