#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
102414at50557_104421_0:001872|STRG.3496.1:0-866|+     -            289 102414at50557        -            218  1.3e-107  357.2  10.1   1   1  3.8e-109  2.2e-106  353.1  10.1     1   217    15   262    15   263 0.92 -
26870at50557_13249_0:003446|STRG.16101.1:1579-2439|+  -            287 102414at50557        -            218   1.5e-05   23.5   0.4   1   2   0.00025      0.15   10.5   0.1    78   192    89   200    77   209 0.89 -
26870at50557_13249_0:003446|STRG.16101.1:1579-2439|+  -            287 102414at50557        -            218   1.5e-05   23.5   0.4   2   2   0.00017     0.098   11.1   0.0    64   113   211   260   201   269 0.89 -
26870at50557_13249_0:003446|STRG.16101.2:1579-2439|+  -            287 102414at50557        -            218   1.5e-05   23.5   0.4   1   2   0.00025      0.15   10.5   0.1    78   192    89   200    77   209 0.89 -
26870at50557_13249_0:003446|STRG.16101.2:1579-2439|+  -            287 102414at50557        -            218   1.5e-05   23.5   0.4   2   2   0.00017     0.098   11.1   0.0    64   113   211   260   201   269 0.89 -
89121at50557_112268_0:0018f4|STRG.16195.1:1207-2085|+ -            293 102414at50557        -            218   1.9e-05   23.2   2.0   1   3       1.4   8.2e+02   -1.8   0.0    66   116    13    62     4    71 0.59 -
89121at50557_112268_0:0018f4|STRG.16195.1:1207-2085|+ -            293 102414at50557        -            218   1.9e-05   23.2   2.0   2   3   2.3e-05     0.013   13.9   0.1    51   153    74   178    46   183 0.82 -
89121at50557_112268_0:0018f4|STRG.16195.1:1207-2085|+ -            293 102414at50557        -            218   1.9e-05   23.2   2.0   3   3    0.0012      0.68    8.3   0.3    68   147   210   289   198   293 0.83 -
89121at50557_156304_0:00118d|STRG.3747.1:1228-1977|+  -            250 102414at50557        -            218   3.6e-05   22.3   3.7   1   2   0.00021      0.12   10.7   1.3    72   200    14   136     6   153 0.81 -
89121at50557_156304_0:00118d|STRG.3747.1:1228-1977|+  -            250 102414at50557        -            218   3.6e-05   22.3   3.7   2   2    0.0001     0.059   11.8   0.0   101   170   176   245   165   249 0.86 -
89121at50557_156304_0:00118d|STRG.3747.2:639-1388|+   -            250 102414at50557        -            218   3.6e-05   22.3   3.7   1   2   0.00021      0.12   10.7   1.3    72   200    14   136     6   153 0.81 -
