#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
83902at50557_13686_0:0017a1|STRG.4680.1:0-851|+         -            284 83902at50557         -            211  6.9e-106  351.1  11.0   1   1  3.8e-107  2.9e-105  349.1  11.0     1   211    15   256    15   256 0.93 -
54603at50557_103372_0:00290d|STRG.15855.1:0-1844|+      -            615 83902at50557         -            211   2.2e-47  160.0  28.4   1   6   5.8e-07   4.4e-05   21.8   0.0   144   184   139   179   123   184 0.87 -
54603at50557_103372_0:00290d|STRG.15855.1:0-1844|+      -            615 83902at50557         -            211   2.2e-47  160.0  28.4   2   6   2.5e-06   0.00019   19.7   0.6   138   182   179   223   178   226 0.92 -
54603at50557_103372_0:00290d|STRG.15855.1:0-1844|+      -            615 83902at50557         -            211   2.2e-47  160.0  28.4   3   6   2.4e-15   1.9e-13   49.1   4.7    82   183   190   293   189   297 0.93 -
54603at50557_103372_0:00290d|STRG.15855.1:0-1844|+      -            615 83902at50557         -            211   2.2e-47  160.0  28.4   4   6   6.6e-06    0.0005   18.3   0.1   141   188   297   344   293   360 0.74 -
54603at50557_103372_0:00290d|STRG.15855.1:0-1844|+      -            615 83902at50557         -            211   2.2e-47  160.0  28.4   5   6   3.6e-21   2.8e-19   68.2   6.8    36   185   392   551   382   554 0.88 -
54603at50557_103372_0:00290d|STRG.15855.1:0-1844|+      -            615 83902at50557         -            211   2.2e-47  160.0  28.4   6   6    0.0027       0.2    9.8   0.1   118   159   550   595   548   598 0.87 -
25718at50557_7160_0:003d21|STRG.19900.2:492-3428|+      -            979 83902at50557         -            211   9.1e-39  131.8  58.8   1  10   6.2e-07   4.7e-05   21.7   1.6    34   174    25   181    15   184 0.80 -
25718at50557_7160_0:003d21|STRG.19900.2:492-3428|+      -            979 83902at50557         -            211   9.1e-39  131.8  58.8   2  10    0.0051      0.39    8.9   0.0    37    72   173   208   166   217 0.90 -
25718at50557_7160_0:003d21|STRG.19900.2:492-3428|+      -            979 83902at50557         -            211   9.1e-39  131.8  58.8   3  10   4.5e-09   3.5e-07   28.6   4.2    38   178   197   352   195   361 0.81 -
25718at50557_7160_0:003d21|STRG.19900.2:492-3428|+      -            979 83902at50557         -            211   9.1e-39  131.8  58.8   4  10       1.1        87    1.2   0.1    38    70   396   429   387   433 0.80 -
25718at50557_7160_0:003d21|STRG.19900.2:492-3428|+      -            979 83902at50557         -            211   9.1e-39  131.8  58.8   5  10   6.6e-06   0.00051   18.3   1.2    91   171   435   520   429   528 0.79 -
25718at50557_7160_0:003d21|STRG.19900.2:492-3428|+      -            979 83902at50557         -            211   9.1e-39  131.8  58.8   6  10   7.5e-06   0.00057   18.1   5.0    52   181   483   625   482   631 0.73 -
25718at50557_7160_0:003d21|STRG.19900.2:492-3428|+      -            979 83902at50557         -            211   9.1e-39  131.8  58.8   7  10   3.4e-12   2.6e-10   38.9   6.4    34   177   631   792   627   795 0.75 -
25718at50557_7160_0:003d21|STRG.19900.2:492-3428|+      -            979 83902at50557         -            211   9.1e-39  131.8  58.8   8  10   1.8e-06   0.00014   20.1   0.5    90   156   796   866   792   874 0.86 -
25718at50557_7160_0:003d21|STRG.19900.2:492-3428|+      -            979 83902at50557         -            211   9.1e-39  131.8  58.8   9  10   9.6e-06   0.00073   17.8   0.3   118   178   848   912   844   917 0.86 -
25718at50557_7160_0:003d21|STRG.19900.2:492-3428|+      -            979 83902at50557         -            211   9.1e-39  131.8  58.8  10  10    0.0018      0.14   10.3   0.5    96   172   873   955   869   960 0.79 -
54603at50557_7070_0:002ddb|STRG.322.2:926-2170|+        -            415 83902at50557         -            211   1.7e-38  131.0  21.7   1   4      0.14        10    4.2   0.0   100   137    11    48     6    57 0.58 -
54603at50557_7070_0:002ddb|STRG.322.2:926-2170|+        -            415 83902at50557         -            211   1.7e-38  131.0  21.7   2   4     7e-25   5.4e-23   80.3   3.4    34   184    54   213    48   226 0.86 -
54603at50557_7070_0:002ddb|STRG.322.2:926-2170|+        -            415 83902at50557         -            211   1.7e-38  131.0  21.7   3   4   4.6e-10   3.5e-08   31.9   0.2    81   183   223   327   221   330 0.90 -
54603at50557_7070_0:002ddb|STRG.322.2:926-2170|+        -            415 83902at50557         -            211   1.7e-38  131.0  21.7   4   4   6.4e-08   4.9e-06   24.9   2.0    35    84   331   380   327   384 0.91 -
54603at50557_7070_0:002ddb|STRG.322.1:926-2107|+        -            394 83902at50557         -            211   1.8e-38  130.9  22.2   1   4      0.14        11    4.1   0.0   100   136    11    47     5    55 0.60 -
54603at50557_7070_0:002ddb|STRG.322.1:926-2107|+        -            394 83902at50557         -            211   1.8e-38  130.9  22.2   2   4   6.1e-25   4.6e-23   80.5   3.2    34   184    54   213    47   222 0.86 -
54603at50557_7070_0:002ddb|STRG.322.1:926-2107|+        -            394 83902at50557         -            211   1.8e-38  130.9  22.2   3   4   3.9e-10     3e-08   32.1   0.5    81   183   223   327   216   333 0.90 -
54603at50557_7070_0:002ddb|STRG.322.1:926-2107|+        -            394 83902at50557         -            211   1.8e-38  130.9  22.2   4   4   5.9e-08   4.5e-06   25.0   2.1    35    84   331   380   327   385 0.91 -
54603at50557_7070_0:002ddb|STRG.322.3:39-1220|+         -            394 83902at50557         -            211   1.8e-38  130.9  22.2   1   4      0.14        11    4.1   0.0   100   136    11    47     5    55 0.60 -
54603at50557_7070_0:002ddb|STRG.322.3:39-1220|+         -            394 83902at50557         -            211   1.8e-38  130.9  22.2   2   4   6.1e-25   4.6e-23   80.5   3.2    34   184    54   213    47   222 0.86 -
54603at50557_7070_0:002ddb|STRG.322.3:39-1220|+         -            394 83902at50557         -            211   1.8e-38  130.9  22.2   3   4   3.9e-10     3e-08   32.1   0.5    81   183   223   327   216   333 0.90 -
54603at50557_7070_0:002ddb|STRG.322.3:39-1220|+         -            394 83902at50557         -            211   1.8e-38  130.9  22.2   4   4   5.9e-08   4.5e-06   25.0   2.1    35    84   331   380   327   385 0.91 -
54603at50557_116153_0:001d7a|STRG.14138.1:577-2052|+    -            492 83902at50557         -            211   3.2e-36  123.5  36.0   1   4   1.7e-10   1.3e-08   33.3   6.1    97   185     3    93     1    96 0.86 -
54603at50557_116153_0:001d7a|STRG.14138.1:577-2052|+    -            492 83902at50557         -            211   3.2e-36  123.5  36.0   2   4   3.8e-09   2.9e-07   28.9   1.0    32    86    92   146    91   175 0.80 -
54603at50557_116153_0:001d7a|STRG.14138.1:577-2052|+    -            492 83902at50557         -            211   3.2e-36  123.5  36.0   3   4   9.1e-08   6.9e-06   24.4   4.0    78   184   167   275   144   297 0.80 -
54603at50557_116153_0:001d7a|STRG.14138.1:577-2052|+    -            492 83902at50557         -            211   3.2e-36  123.5  36.0   4   4     9e-16   6.9e-14   50.5   5.0    33   172   342   492   334   492 0.87 -
54603at50557_116153_0:001d7a|STRG.14138.2:252-1727|+    -            492 83902at50557         -            211   3.2e-36  123.5  36.0   1   4   1.7e-10   1.3e-08   33.3   6.1    97   185     3    93     1    96 0.86 -
54603at50557_116153_0:001d7a|STRG.14138.2:252-1727|+    -            492 83902at50557         -            211   3.2e-36  123.5  36.0   2   4   3.8e-09   2.9e-07   28.9   1.0    32    86    92   146    91   175 0.80 -
54603at50557_116153_0:001d7a|STRG.14138.2:252-1727|+    -            492 83902at50557         -            211   3.2e-36  123.5  36.0   3   4   9.1e-08   6.9e-06   24.4   4.0    78   184   167   275   144   297 0.80 -
54603at50557_116153_0:001d7a|STRG.14138.2:252-1727|+    -            492 83902at50557         -            211   3.2e-36  123.5  36.0   4   4     9e-16   6.9e-14   50.5   5.0    33   172   342   492   334   492 0.87 -
54603at50557_116153_0:001d7a|STRG.14138.5:337-1812|+    -            492 83902at50557         -            211   3.2e-36  123.5  36.0   1   4   1.7e-10   1.3e-08   33.3   6.1    97   185     3    93     1    96 0.86 -
54603at50557_116153_0:001d7a|STRG.14138.5:337-1812|+    -            492 83902at50557         -            211   3.2e-36  123.5  36.0   2   4   3.8e-09   2.9e-07   28.9   1.0    32    86    92   146    91   175 0.80 -
54603at50557_116153_0:001d7a|STRG.14138.5:337-1812|+    -            492 83902at50557         -            211   3.2e-36  123.5  36.0   3   4   9.1e-08   6.9e-06   24.4   4.0    78   184   167   275   144   297 0.80 -
54603at50557_116153_0:001d7a|STRG.14138.5:337-1812|+    -            492 83902at50557         -            211   3.2e-36  123.5  36.0   4   4     9e-16   6.9e-14   50.5   5.0    33   172   342   492   334   492 0.87 -
25718at50557_29031_0:000108|STRG.19900.3:130-2838|+     -            903 83902at50557         -            211   1.3e-35  121.5  54.1   1   8   0.00023     0.018   13.3   0.2    91   178    16   107     2   112 0.72 -
25718at50557_29031_0:000108|STRG.19900.3:130-2838|+     -            903 83902at50557         -            211   1.3e-35  121.5  54.1   2   8     3e-08   2.3e-06   26.0   2.3    53   178   112   251   108   260 0.78 -
25718at50557_29031_0:000108|STRG.19900.3:130-2838|+     -            903 83902at50557         -            211   1.3e-35  121.5  54.1   3   8   1.1e-05   0.00081   17.6   3.4    91   159   334   406   284   428 0.60 -
25718at50557_29031_0:000108|STRG.19900.3:130-2838|+     -            903 83902at50557         -            211   1.3e-35  121.5  54.1   4   8   7.5e-06   0.00057   18.1   5.3    52   181   382   524   381   531 0.73 -
25718at50557_29031_0:000108|STRG.19900.3:130-2838|+     -            903 83902at50557         -            211   1.3e-35  121.5  54.1   5   8   2.9e-12   2.2e-10   39.1   6.5    34   177   530   691   526   695 0.75 -
25718at50557_29031_0:000108|STRG.19900.3:130-2838|+     -            903 83902at50557         -            211   1.3e-35  121.5  54.1   6   8   4.8e-08   3.7e-06   25.3   2.3    36   154   628   763   627   766 0.76 -
