#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
35897at50557_456900_0:001f92|STRG.4160.1:146-1348|+  -            401 35897at50557         -            554  1.5e-143  474.0   8.8   1   1    7e-145  2.2e-143  473.5   8.8   212   554     3   386     1   386 0.89 -
35897at50557_7176_0:001a60|STRG.1969.1:888-2339|+    -            484 35897at50557         -            554   1.7e-15   51.3   0.3   1   4    0.0014     0.043    7.1   0.0   303   357    17    77     3    84 0.56 -
35897at50557_7176_0:001a60|STRG.1969.1:888-2339|+    -            484 35897at50557         -            554   1.7e-15   51.3   0.3   2   4   4.5e-08   1.4e-06   21.8   0.0    48   110    85   148    81   231 0.88 -
35897at50557_7176_0:001a60|STRG.1969.1:888-2339|+    -            484 35897at50557         -            554   1.7e-15   51.3   0.3   3   4   3.4e-06   0.00011   15.7   0.1   258   342   305   398   295   404 0.79 -
35897at50557_7176_0:001a60|STRG.1969.1:888-2339|+    -            484 35897at50557         -            554   1.7e-15   51.3   0.3   4   4     0.077       2.4    1.3   0.0   239   271   424   455   412   479 0.76 -
35897at50557_7176_0:001a60|STRG.1969.2:888-2339|+    -            484 35897at50557         -            554   1.7e-15   51.3   0.3   1   4    0.0014     0.043    7.1   0.0   303   357    17    77     3    84 0.56 -
35897at50557_7176_0:001a60|STRG.1969.2:888-2339|+    -            484 35897at50557         -            554   1.7e-15   51.3   0.3   2   4   4.5e-08   1.4e-06   21.8   0.0    48   110    85   148    81   231 0.88 -
35897at50557_7176_0:001a60|STRG.1969.2:888-2339|+    -            484 35897at50557         -            554   1.7e-15   51.3   0.3   3   4   3.4e-06   0.00011   15.7   0.1   258   342   305   398   295   404 0.79 -
35897at50557_7176_0:001a60|STRG.1969.2:888-2339|+    -            484 35897at50557         -            554   1.7e-15   51.3   0.3   4   4     0.077       2.4    1.3   0.0   239   271   424   455   412   479 0.76 -
35897at50557_217634_0:002e96|STRG.1969.3:817-2226|+  -            470 35897at50557         -            554   2.8e-15   50.6   0.5   1   4   0.00094      0.03    7.6   0.0   304   357    32    91    16   100 0.52 -
35897at50557_217634_0:002e96|STRG.1969.3:817-2226|+  -            470 35897at50557         -            554   2.8e-15   50.6   0.5   2   4   4.2e-08   1.3e-06   22.0   0.0    48   110    99   162    94   245 0.88 -
35897at50557_217634_0:002e96|STRG.1969.3:817-2226|+  -            470 35897at50557         -            554   2.8e-15   50.6   0.5   3   4   3.2e-06    0.0001   15.7   0.1   258   342   319   412   309   418 0.79 -
35897at50557_217634_0:002e96|STRG.1969.3:817-2226|+  -            470 35897at50557         -            554   2.8e-15   50.6   0.5   4   4      0.14       4.5    0.4   0.0   239   270   438   468   426   470 0.75 -
35897at50557_568069_0:0003b4|STRG.12610.1:930-2342|+ -            471 35897at50557         -            554     3e-15   50.5  10.9   1   5     0.032         1    2.6   0.0   314   346     8    43     1    56 0.71 -
35897at50557_568069_0:0003b4|STRG.12610.1:930-2342|+ -            471 35897at50557         -            554     3e-15   50.5  10.9   2   5   2.6e-06   8.2e-05   16.1   0.5   250   359    67   184    63   189 0.76 -
35897at50557_568069_0:0003b4|STRG.12610.1:930-2342|+ -            471 35897at50557         -            554     3e-15   50.5  10.9   3   5   0.00061     0.019    8.2   1.1   290   343   190   247   178   252 0.83 -
35897at50557_568069_0:0003b4|STRG.12610.1:930-2342|+ -            471 35897at50557         -            554     3e-15   50.5  10.9   4   5   7.6e-05    0.0024   11.2   0.0   246   308   275   339   268   347 0.72 -
35897at50557_568069_0:0003b4|STRG.12610.1:930-2342|+ -            471 35897at50557         -            554     3e-15   50.5  10.9   5   5   8.8e-06   0.00028   14.3   0.1   272   346   370   449   340   452 0.80 -
35897at50557_568069_0:0003b4|STRG.12610.2:930-2342|+ -            471 35897at50557         -            554     3e-15   50.5  10.9   1   5     0.032         1    2.6   0.0   314   346     8    43     1    56 0.71 -
35897at50557_568069_0:0003b4|STRG.12610.2:930-2342|+ -            471 35897at50557         -            554     3e-15   50.5  10.9   2   5   2.6e-06   8.2e-05   16.1   0.5   250   359    67   184    63   189 0.76 -
35897at50557_568069_0:0003b4|STRG.12610.2:930-2342|+ -            471 35897at50557         -            554     3e-15   50.5  10.9   3   5   0.00061     0.019    8.2   1.1   290   343   190   247   178   252 0.83 -
35897at50557_568069_0:0003b4|STRG.12610.2:930-2342|+ -            471 35897at50557         -            554     3e-15   50.5  10.9   4   5   7.6e-05    0.0024   11.2   0.0   246   308   275   339   268   347 0.72 -
35897at50557_568069_0:0003b4|STRG.12610.2:930-2342|+ -            471 35897at50557         -            554     3e-15   50.5  10.9   5   5   8.8e-06   0.00028   14.3   0.1   272   346   370   449   340   452 0.80 -
35897at50557_568069_0:0003b4|STRG.12610.3:794-2206|+ -            471 35897at50557         -            554     3e-15   50.5  10.9   1   5     0.032         1    2.6   0.0   314   346     8    43     1    56 0.71 -
35897at50557_568069_0:0003b4|STRG.12610.3:794-2206|+ -            471 35897at50557         -            554     3e-15   50.5  10.9   2   5   2.6e-06   8.2e-05   16.1   0.5   250   359    67   184    63   189 0.76 -
35897at50557_568069_0:0003b4|STRG.12610.3:794-2206|+ -            471 35897at50557         -            554     3e-15   50.5  10.9   3   5   0.00061     0.019    8.2   1.1   290   343   190   247   178   252 0.83 -
