#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
99401at50557_286306_0:001d42|STRG.14154.2:140-586|+  -            149 99401at50557         -            114   3.4e-56  187.0   6.1   1   1     7e-59   8.1e-56  185.8   6.1    18   114    42   143    12   143 0.86 -
99401at50557_520822_0:001d81|STRG.14154.1:166-1185|+ -            340 99401at50557         -            114   1.1e-55  185.4   5.4   1   1   4.1e-58   4.7e-55  183.4   5.4    18   114   233   334   203   334 0.87 -
99401at50557_286706_0:002863|STRG.3650.4:752-1234|+  -            161 99401at50557         -            114   2.9e-10   39.1   4.3   1   2      0.76   8.8e+02   -1.2   0.0     5    27    24    46    19    71 0.62 -
99401at50557_286706_0:002863|STRG.3650.4:752-1234|+  -            161 99401at50557         -            114   2.9e-10   39.1   4.3   2   2   2.5e-13   2.9e-10   39.1   4.3    19   102    74   160    64   161 0.83 -
99401at50557_286706_0:002863|STRG.3650.3:500-985|+   -            162 99401at50557         -            114   2.9e-10   39.0   4.9   1   2       0.8   9.2e+02   -1.2   0.0     5    27    24    46    18    68 0.62 -
99401at50557_286706_0:002863|STRG.3650.3:500-985|+   -            162 99401at50557         -            114   2.9e-10   39.0   4.9   2   2   2.5e-13   2.9e-10   39.0   4.9    19   103    74   161    69   162 0.83 -
99401at50557_286706_0:002863|STRG.3650.5:15-878|+    -            288 99401at50557         -            114   8.9e-10   37.5   4.7   1   2       1.7     2e+03   -2.3   0.0     6    27   151   172   143   198 0.64 -
99401at50557_286706_0:002863|STRG.3650.5:15-878|+    -            288 99401at50557         -            114   8.9e-10   37.5   4.7   2   2   7.7e-13   8.9e-10   37.5   4.7    19   103   200   287   190   288 0.83 -
99401at50557_286706_0:002863|STRG.3650.1:379-1239|+  -            287 99401at50557         -            114   1.1e-09   37.2   5.8   1   1   9.9e-13   1.1e-09   37.2   4.3    19   102   200   286   190   287 0.83 -
99401at50557_286706_0:002863|STRG.3650.2:241-1101|+  -            287 99401at50557         -            114   1.1e-09   37.2   5.8   1   1   9.9e-13   1.1e-09   37.2   4.3    19   102   200   286   190   287 0.83 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/99401at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/99401at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/99401at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:21:07 2024
# [ok]
