#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
72085at50557_520822_0:002380|STRG.18971.1:93-1544|+   -            484 94143at50557         -            358   1.9e-35  121.5   0.2   1   1   5.5e-34   4.3e-32  110.5   0.2     2   340    47   481    46   484 0.73 -
108140at50557_7070_0:0020e2|STRG.4145.3:357-1802|+    -            482 94143at50557         -            358   8.4e-33  112.8   0.1   1   2   3.5e-11   2.7e-09   35.5   0.0    24   194    48   243    22   257 0.76 -
108140at50557_7070_0:0020e2|STRG.4145.3:357-1802|+    -            482 94143at50557         -            358   8.4e-33  112.8   0.1   2   2   3.1e-21   2.4e-19   68.6   0.0   225   346   320   458   271   469 0.72 -
108140at50557_7070_0:0020e2|STRG.4145.1:357-1847|+    -            497 94143at50557         -            358   1.1e-32  112.4   0.2   1   2   4.3e-11   3.3e-09   35.2   0.0    24   194    63   258    46   272 0.76 -
108140at50557_7070_0:0020e2|STRG.4145.1:357-1847|+    -            497 94143at50557         -            358   1.1e-32  112.4   0.2   2   2   3.3e-21   2.5e-19   68.5   0.0   225   346   335   473   286   484 0.72 -
108140at50557_7070_0:0020e2|STRG.6013.1:302-1741|+    -            480 94143at50557         -            358   3.6e-28   97.6   0.0   1   2   5.1e-13   3.9e-11   41.6   0.0    11   244    28   319    12   324 0.70 -
108140at50557_7070_0:0020e2|STRG.6013.1:302-1741|+    -            480 94143at50557         -            358   3.6e-28   97.6   0.0   2   2     3e-16   2.3e-14   52.2   0.0   242   347   336   457   328   475 0.79 -
108140at50557_7070_0:0020e2|STRG.4145.2:357-1812|+    -            473 94143at50557         -            358   1.4e-26   92.4   0.2   1   2   3.3e-11   2.6e-09   35.6   0.0    24   194    48   243    22   257 0.76 -
108140at50557_7070_0:0020e2|STRG.4145.2:357-1812|+    -            473 94143at50557         -            358   1.4e-26   92.4   0.2   2   2   4.6e-16   3.6e-14   51.6   0.0   210   346   284   449   270   460 0.74 -
108140at50557_7070_0:0020e2|STRG.6013.2:444-1780|+    -            388 94143at50557         -            358   1.5e-25   89.0   0.6   1   3   3.6e-07   2.7e-05   22.3   0.0    11   114    28   147    12   168 0.70 -
108140at50557_7070_0:0020e2|STRG.6013.2:444-1780|+    -            388 94143at50557         -            358   1.5e-25   89.0   0.6   2   3   0.00095     0.073   11.1   0.1   196   245   175   228   163   233 0.78 -
108140at50557_7070_0:0020e2|STRG.6013.2:444-1780|+    -            388 94143at50557         -            358   1.5e-25   89.0   0.6   3   3     2e-16   1.5e-14   52.8   0.0   242   347   244   365   236   383 0.79 -
72085at50557_64793_0:002c2e|STRG.18971.3:64-909|+     -            245 94143at50557         -            358   1.8e-23   82.1   0.5   1   1   9.6e-22   7.4e-20   70.3   0.5   200   342    30   215    15   222 0.77 -
72085at50557_64793_0:002c2e|STRG.18971.2:72-806|+     -            245 94143at50557         -            358   4.6e-23   80.8   0.4   1   1   2.3e-21   1.8e-19   69.0   0.4   200   342    30   215    15   222 0.76 -
72085at50557_64793_0:002c2e|STRG.18971.4:64-798|+     -            245 94143at50557         -            358   4.6e-23   80.8   0.4   1   1   2.3e-21   1.8e-19   69.0   0.4   200   342    30   215    15   222 0.76 -
94143at50557_54969_0:002985|STRG.6013.2:1028-1777|+   -            250 94143at50557         -            358   3.3e-19   68.1   0.2   1   2   0.00046     0.036   12.1   0.1   195   245    37    91    26    96 0.78 -
94143at50557_54969_0:002985|STRG.6013.2:1028-1777|+   -            250 94143at50557         -            358   3.3e-19   68.1   0.2   2   2   7.1e-17   5.5e-15   54.2   0.0   242   347   107   228    99   246 0.79 -
72085at50557_197043_0:003e79|STRG.1234.1:2-523|+      -            174 94143at50557         -            358   2.7e-16   58.6   0.0   1   1   9.2e-18   7.1e-16   57.2   0.0   237   346    28   157    13   167 0.80 -
94143at50557_7029_0:006933|STRG.17625.5:102-1454|+    -            451 94143at50557         -            358   2.2e-15   55.6   0.3   1   2      0.23        17    3.2   0.2    73   195    89   225    79   251 0.68 -
94143at50557_7029_0:006933|STRG.17625.5:102-1454|+    -            451 94143at50557         -            358   2.2e-15   55.6   0.3   2   2   4.2e-14   3.2e-12   45.1   0.0   212   343   271   435   257   440 0.74 -
72085at50557_64459_0:00143b|STRG.11094.3:69-1517|+    -            483 94143at50557         -            358   1.2e-14   53.1   0.3   1   2      0.59        46    1.9   0.0    27    52    49    74    22   189 0.57 -
72085at50557_64459_0:00143b|STRG.11094.3:69-1517|+    -            483 94143at50557         -            358   1.2e-14   53.1   0.3   2   2   2.6e-14     2e-12   45.8   0.1   235   343   333   456   282   469 0.78 -
94143at50557_40932_0:002d0f|STRG.17625.1:57-908|+     -            284 94143at50557         -            358   2.6e-14   52.0   0.0   1   1   2.6e-14     2e-12   45.8   0.0   212   343    99   263    84   268 0.74 -
94143at50557_40932_0:002d0f|STRG.17625.3:48-899|+     -            284 94143at50557         -            358   2.6e-14   52.0   0.0   1   1   2.7e-14     2e-12   45.8   0.0   212   343    99   263    84   268 0.74 -
72085at50557_166423_0:000771|STRG.7824.1:340-846|+    -            169 94143at50557         -            358   1.7e-12   46.0   0.1   1   1   4.5e-12   3.5e-10   38.4   0.1   242   327    61   159     1   169 0.73 -
72085at50557_535359_0:001660|STRG.10921.1:229-1662|+  -            478 94143at50557         -            358   2.1e-12   45.7   0.2   1   3      0.48        37    2.2   0.0     4    48    17    62    14   176 0.85 -
72085at50557_535359_0:001660|STRG.10921.1:229-1662|+  -            478 94143at50557         -            358   2.1e-12   45.7   0.2   2   3      0.39        30    2.5   0.1   212   244   282   315   268   327 0.77 -
72085at50557_535359_0:001660|STRG.10921.1:229-1662|+  -            478 94143at50557         -            358   2.1e-12   45.7   0.2   3   3   9.2e-12   7.1e-10   37.4   0.0   240   343   330   448   318   470 0.79 -
94143at50557_54969_0:002985|STRG.10579.1:131-1315|+   -            395 94143at50557         -            358   2.3e-12   45.6   1.0   1   2       4.9   3.8e+02   -1.2   0.0   115   155    51    94    10   126 0.62 -
