#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
107216at50557_6973_0:00524c|STRG.20984.1:1-273|-       -             91 107216at50557        -            149   8.8e-51  170.4   0.2   1   1   1.6e-52   9.8e-51  170.3   0.2    55   138     1    91     1    91 0.96 -
104262at50557_132113_0:00109a|STRG.2420.1:233-742|+    -            170 107216at50557        -            149   7.6e-42  141.4   0.8   1   2   2.2e-08   1.4e-06   27.0   0.0     2    27    12    37    11    51 0.90 -
104262at50557_132113_0:00109a|STRG.2420.1:233-742|+    -            170 107216at50557        -            149   7.6e-42  141.4   0.8   2   2   4.7e-35   2.9e-33  113.6   0.2    27   133    57   170    40   170 0.90 -
104262at50557_132113_0:00109a|STRG.2420.2:619-1128|+   -            170 107216at50557        -            149   7.6e-42  141.4   0.8   1   2   2.2e-08   1.4e-06   27.0   0.0     2    27    12    37    11    51 0.90 -
104262at50557_132113_0:00109a|STRG.2420.2:619-1128|+   -            170 107216at50557        -            149   7.6e-42  141.4   0.8   2   2   4.7e-35   2.9e-33  113.6   0.2    27   133    57   170    40   170 0.90 -
104262at50557_39758_0:003743|STRG.4508.1:6-617|+       -            204 107216at50557        -            149   1.7e-40  137.1   2.3   1   2   2.7e-07   1.7e-05   23.5   0.0     2    29     2    29     1    42 0.85 -
104262at50557_39758_0:003743|STRG.4508.1:6-617|+       -            204 107216at50557        -            149   1.7e-40  137.1   2.3   2   2   5.1e-35   3.2e-33  113.4   0.7    27   143    47   170    40   175 0.89 -
107216at50557_103372_0:00094d|STRG.13165.1:3-434|+     -            144 107216at50557        -            149   1.2e-39  134.3   0.5   1   1   2.2e-41   1.4e-39  134.1   0.5    28   144     1   124     1   128 0.93 -
104262at50557_411798_0:001745|STRG.9502.2:572-1445|+   -            175 107216at50557        -            149   1.9e-39  133.6   2.1   1   1   2.8e-38   1.7e-36  124.1   2.1     2   138     8   170     7   174 0.84 -
104262at50557_411798_0:001745|STRG.9502.1:572-1099|+   -            176 107216at50557        -            149   2.7e-39  133.2   2.0   1   2   2.4e-06   0.00015   20.4   0.0     2    27     8    33     7    47 0.87 -
104262at50557_411798_0:001745|STRG.9502.1:572-1099|+   -            176 107216at50557        -            149   2.7e-39  133.2   2.0   2   2     1e-34   6.3e-33  112.5   0.7    27   138    53   171    37   175 0.89 -
107216at50557_28612_0:00371f|STRG.11722.4:7-551|+      -            174 107216at50557        -            149   6.2e-39  132.0   0.3   1   2   1.2e-06   7.7e-05   21.3   0.0     2    41     2    38     1    46 0.81 -
107216at50557_28612_0:00371f|STRG.11722.4:7-551|+      -            174 107216at50557        -            149   6.2e-39  132.0   0.3   2   2   1.2e-33   7.4e-32  109.0   0.1    28   140    49   165    41   172 0.88 -
107216at50557_7038_0:002032|STRG.11722.1:359-892|+     -            178 107216at50557        -            149   6.8e-38  128.6   0.2   1   2   0.00054     0.034   12.7   0.0     5    27    15    37    11    43 0.88 -
107216at50557_7038_0:002032|STRG.11722.1:359-892|+     -            178 107216at50557        -            149   6.8e-38  128.6   0.2   2   2   3.1e-35   1.9e-33  114.2   0.1    27   137    58   175    44   178 0.89 -
107216at50557_7038_0:002032|STRG.11722.3:655-1188|+    -            178 107216at50557        -            149   6.8e-38  128.6   0.2   1   2   0.00054     0.034   12.7   0.0     5    27    15    37    11    43 0.88 -
107216at50557_7038_0:002032|STRG.11722.3:655-1188|+    -            178 107216at50557        -            149   6.8e-38  128.6   0.2   2   2   3.1e-35   1.9e-33  114.2   0.1    27   137    58   175    44   178 0.89 -
107216at50557_110193_0:000c8b|STRG.4702.1:0-578|+      -            193 107216at50557        -            149   2.1e-37  127.1   1.8   1   1   3.1e-36   1.9e-34  117.4   1.8     2   149     8   184     7   184 0.83 -
107216at50557_13164_0:0032c6|STRG.11722.5:0-506|+      -            169 107216at50557        -            149   3.9e-37  126.1   0.3   1   2    0.0035      0.22   10.1   0.0    11    44     2    32     1    41 0.79 -
107216at50557_13164_0:0032c6|STRG.11722.5:0-506|+      -            169 107216at50557        -            149   3.9e-37  126.1   0.3   2   2   1.7e-35   1.1e-33  115.0   0.2    28   140    40   159    28   166 0.89 -
104262at50557_132113_0:00109a|STRG.9789.1:446-922|+    -            159 107216at50557        -            149   1.1e-35  121.4   1.3   1   2   8.5e-08   5.3e-06   25.1   0.0     2    27     2    27     1    46 0.88 -
104262at50557_132113_0:00109a|STRG.9789.1:446-922|+    -            159 107216at50557        -            149   1.1e-35  121.4   1.3   2   2   1.3e-29   7.9e-28   95.9   0.4    26   133    46   159    28   159 0.88 -
107216at50557_7004_0:001b36|STRG.21902.1:4305-4868|+   -            188 107216at50557        -            149   1.3e-35  121.2   0.2   1   2   3.8e-06   0.00024   19.7   0.0     1    27     1    27     1    32 0.94 -
107216at50557_7004_0:001b36|STRG.21902.1:4305-4868|+   -            188 107216at50557        -            149   1.3e-35  121.2   0.2   2   2   7.2e-31   4.5e-29  100.0   0.1    27   142    47   168    33   175 0.87 -
107216at50557_7004_0:001b36|STRG.21902.2:6-569|+       -            188 107216at50557        -            149   1.3e-35  121.2   0.2   1   2   3.8e-06   0.00024   19.7   0.0     1    27     1    27     1    32 0.94 -
107216at50557_7004_0:001b36|STRG.21902.2:6-569|+       -            188 107216at50557        -            149   1.3e-35  121.2   0.2   2   2   7.2e-31   4.5e-29  100.0   0.1    27   142    47   168    33   175 0.87 -
