#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
109614at50557_520822_0:000671|STRG.23817.1:0-755|+   -            252 109614at50557        -            170   4.2e-45  152.8  23.1   1   1   7.4e-45   1.2e-41  141.5  23.1     6   170    27   252    24   252 0.80 -
68581at50557_77166_0:002648|STRG.12452.1:3685-4491|+ -            269 109614at50557        -            170     0.067   12.2   0.5   1   2   9.9e-05      0.16   10.9   0.1    79   140    60   122    46   134 0.81 -
68581at50557_77166_0:002648|STRG.12452.1:3685-4491|+ -            269 109614at50557        -            170     0.067   12.2   0.5   2   2         1   1.7e+03   -2.1   0.0    81   101   206   226   199   235 0.79 -
90885at50557_456900_0:0020f8|STRG.3421.3:185-1075|+  -            297 109614at50557        -            170      0.28   10.2   5.5   1   2   4.1e-05     0.066   12.2   1.5   114   168    48   103    31   104 0.82 -
90885at50557_456900_0:0020f8|STRG.3421.3:185-1075|+  -            297 109614at50557        -            170      0.28   10.2   5.5   2   2       2.3   3.7e+03   -3.2   0.1   134   145   283   294   279   295 0.78 -
90885at50557_456900_0:0020f8|STRG.3421.1:37-1112|+   -            341 109614at50557        -            170      0.34    9.9   5.3   1   2   5.4e-05     0.087   11.8   1.7   114   168    92   147    65   148 0.83 -
90885at50557_456900_0:0020f8|STRG.3421.1:37-1112|+   -            341 109614at50557        -            170      0.34    9.9   5.3   2   2       2.7   4.3e+03   -3.5   0.1   134   145   327   338   323   339 0.78 -
90885at50557_456900_0:0020f8|STRG.3421.2:37-1109|+   -            340 109614at50557        -            170      0.46    9.5   5.7   1   2   5.3e-05     0.086   11.8   1.7   114   168    92   147    65   148 0.83 -
90885at50557_456900_0:0020f8|STRG.3421.2:37-1109|+   -            340 109614at50557        -            170      0.46    9.5   5.7   2   2       3.9   6.3e+03   -4.0   0.1   134   144   327   337   324   338 0.79 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/109614at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/109614at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/109614at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:14:21 2024
# [ok]
