#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
57613at50557_610380_0:00141b|STRG.13319.1:57-1398|+  -            341 57613at50557         -            334  3.1e-159  528.7   0.1   1   1  1.1e-161  3.9e-159  528.4   0.1    54   334     1   309     1   309 0.95 -
75144at50557_28612_0:003734|STRG.4222.1:111-1238|+   -            376 57613at50557         -            334     1e-85  287.1   0.0   1   1   6.6e-88   2.4e-85  285.8   0.0     7   334     7   348     1   348 0.89 -
75144at50557_28612_0:003734|STRG.4222.2:0-1127|+     -            376 57613at50557         -            334     1e-85  287.1   0.0   1   1   6.6e-88   2.4e-85  285.8   0.0     7   334     7   348     1   348 0.89 -
75144at50557_28612_0:003734|STRG.4217.1:73-1200|+    -            376 57613at50557         -            334   1.9e-85  286.2   0.0   1   1   1.2e-87   4.6e-85  284.9   0.0     7   334     7   348     1   348 0.89 -
75144at50557_28612_0:003734|STRG.4217.2:0-1127|+     -            376 57613at50557         -            334   1.9e-85  286.2   0.0   1   1   1.2e-87   4.6e-85  284.9   0.0     7   334     7   348     1   348 0.89 -
75144at50557_28612_0:003734|STRG.4219.1:247-1374|+   -            376 57613at50557         -            334   1.9e-85  286.2   0.0   1   1   1.2e-87   4.6e-85  284.9   0.0     7   334     7   348     1   348 0.89 -
75144at50557_28612_0:003734|STRG.4219.2:0-1127|+     -            376 57613at50557         -            334   1.9e-85  286.2   0.0   1   1   1.2e-87   4.6e-85  284.9   0.0     7   334     7   348     1   348 0.89 -
75144at50557_28612_0:003734|STRG.3394.1:171-1298|+   -            376 57613at50557         -            334   2.6e-85  285.8   0.0   1   1   1.6e-87     6e-85  284.6   0.0     7   334     7   348     1   348 0.89 -
75144at50557_28612_0:003734|STRG.3394.2:198-1325|+   -            376 57613at50557         -            334   2.6e-85  285.8   0.0   1   1   1.6e-87     6e-85  284.6   0.0     7   334     7   348     1   348 0.89 -
75144at50557_28612_0:003734|STRG.3394.3:0-1127|+     -            376 57613at50557         -            334   2.6e-85  285.8   0.0   1   1   1.6e-87     6e-85  284.6   0.0     7   334     7   348     1   348 0.89 -
75144at50557_28612_0:003734|STRG.22087.2:386-1375|+  -            330 57613at50557         -            334   1.1e-78  264.0   0.0   1   1   3.5e-81   1.3e-78  263.7   0.0     7   296     7   318     1   323 0.89 -
75144at50557_28612_0:003734|STRG.22087.1:9-986|+     -            326 57613at50557         -            334   9.2e-69  231.3   0.0   1   1   8.8e-71   3.2e-68  229.6   0.0    53   334     4   298     1   298 0.89 -
75144at50557_28612_0:003734|STRG.3208.1:147-1327|+   -            367 57613at50557         -            334   3.4e-67  226.2   0.0   1   1   1.4e-69   5.3e-67  225.5   0.0     9   330     3   335     1   339 0.83 -
75144at50557_28612_0:003734|STRG.3208.2:18-1031|+    -            338 57613at50557         -            334   5.6e-58  195.9   0.0   1   1   2.9e-60   1.1e-57  195.0   0.0    57   333    23   309     2   310 0.85 -
52703at50557_103372_0:001b91|STRG.15608.1:0-1250|+   -            417 57613at50557         -            334   1.2e-46  158.7   0.0   1   1   4.2e-49   1.6e-46  158.3   0.0     9   334     8   384     4   384 0.74 -
75144at50557_34720_0:000d74|STRG.14406.1:0-1172|+    -            391 57613at50557         -            334   1.2e-21   76.5   0.9   1   1     1e-22   3.8e-20   71.5   0.9    57   296    49   335     2   340 0.70 -
75144at50557_7539_0:003503|STRG.22762.1:213-1502|+   -            430 57613at50557         -            334   1.9e-18   66.0   0.0   1   2   1.9e-14   7.1e-12   44.3   0.0    69   162    85   189     3   203 0.83 -
75144at50557_7539_0:003503|STRG.22762.1:213-1502|+   -            430 57613at50557         -            334   1.9e-18   66.0   0.0   2   2   2.1e-06   0.00076   18.0   0.0   219   293   285   370   251   379 0.83 -
75144at50557_7539_0:003503|STRG.19019.1:24-1256|+    -            411 57613at50557         -            334   2.8e-17   62.1   0.0   1   2   2.1e-16   7.8e-14   50.8   0.1     9   158     6   173     2   194 0.77 -
75144at50557_7539_0:003503|STRG.19019.1:24-1256|+    -            411 57613at50557         -            334   2.8e-17   62.1   0.0   2   2   0.00093      0.34    9.2   0.0   217   293   270   353   260   385 0.84 -
52703at50557_1155016_0:00193c|STRG.23201.1:51-1058|+ -            336 57613at50557         -            334     2e-12   46.1   0.0   1   1   1.7e-14   6.3e-12   44.5   0.0    87   333    64   319     1   320 0.81 -
75144at50557_28612_0:003734|STRG.2512.1:136-717|+    -            194 57613at50557         -            334   1.6e-11   43.2   0.0   1   1   5.4e-14     2e-11   42.9   0.0     9   177     8   192     2   193 0.79 -
150643at50557_315563_0:0000a6|STRG.4217.1:904-1200|+ -             99 57613at50557         -            334   1.3e-09   36.9   0.0   1   1     2e-11   7.3e-09   34.4   0.0   255   334     2    71     1    71 0.92 -
57613at50557_7536_0:002bce|STRG.2512.1:1600-1956|+   -            119 57613at50557         -            334   5.2e-08   31.6   0.0   1   1   1.7e-10   6.2e-08   31.4   0.0   229   296     2    73     1    82 0.89 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/57613at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/57613at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/57613at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:18:51 2024
# [ok]
