#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
108301at50557_103372_0:000620|STRG.14014.1:0-800|+    -            267 108301at50557        -            228  1.4e-109  363.7  12.3   1   1  8.7e-112  1.7e-109  363.4  12.3     1   227    13   266    13   267 0.98 -
108301at50557_286306_0:003cb7|STRG.14014.2:374-1167|+ -            244 108301at50557        -            228   5.4e-90  299.6  14.2   1   2     4e-37   7.8e-35  119.2   7.7     1   109    13   147    13   149 0.97 -
108301at50557_286306_0:003cb7|STRG.14014.2:374-1167|+ -            244 108301at50557        -            228   5.4e-90  299.6  14.2   2   2     3e-57   5.8e-55  185.0   0.4   132   227   149   244   147   244 0.99 -
57156at50557_103372_0:001116|STRG.21065.1:0-1625|+    -            542 108301at50557        -            228   3.7e-51  172.6  22.8   1   3   5.1e-22     1e-19   69.7   0.3    57   169     8   115     2   130 0.93 -
57156at50557_103372_0:001116|STRG.21065.1:0-1625|+    -            542 108301at50557        -            228   3.7e-51  172.6  22.8   2   3   5.9e-09   1.2e-06   27.0   7.1    42   144   214   318   180   330 0.77 -
57156at50557_103372_0:001116|STRG.21065.1:0-1625|+    -            542 108301at50557        -            228   3.7e-51  172.6  22.8   3   3   3.9e-26   7.6e-24   83.2   4.9    30   170   335   472   306   491 0.83 -
35300at50557_103372_0:002ae9|STRG.16120.1:0-1757|+    -            586 108301at50557        -            228   1.7e-39  134.4  14.0   1   5   2.7e-31   5.4e-29  100.1   3.8    51   152    85   186    49   221 0.92 -
35300at50557_103372_0:002ae9|STRG.16120.1:0-1757|+    -            586 108301at50557        -            228   1.7e-39  134.4  14.0   2   5       2.6   5.1e+02   -1.3   0.0   127   163   293   329   273   337 0.84 -
35300at50557_103372_0:002ae9|STRG.16120.1:0-1757|+    -            586 108301at50557        -            228   1.7e-39  134.4  14.0   3   5   4.5e-08   8.9e-06   24.1   0.0    99   160   337   398   325   408 0.94 -
35300at50557_103372_0:002ae9|STRG.16120.1:0-1757|+    -            586 108301at50557        -            228   1.7e-39  134.4  14.0   4   5   0.00087      0.17   10.1   0.2   109   162   422   478   414   490 0.86 -
35300at50557_103372_0:002ae9|STRG.16120.1:0-1757|+    -            586 108301at50557        -            228   1.7e-39  134.4  14.0   5   5      0.12        24    3.1   0.1    62   111   520   567   497   575 0.81 -
35300at50557_456900_0:001384|STRG.4488.1:2-2419|+     -            806 108301at50557        -            228   6.6e-38  129.2  20.8   1   5   1.5e-06   0.00029   19.2   0.1    99   190   170   261   127   272 0.82 -
35300at50557_456900_0:001384|STRG.4488.1:2-2419|+     -            806 108301at50557        -            228   6.6e-38  129.2  20.8   2   5    0.0017      0.34    9.2   0.4   118   172   302   356   280   371 0.80 -
35300at50557_456900_0:001384|STRG.4488.1:2-2419|+     -            806 108301at50557        -            228   6.6e-38  129.2  20.8   3   5   1.1e-29   2.2e-27   94.8   2.0    53   155   443   545   425   573 0.90 -
35300at50557_456900_0:001384|STRG.4488.1:2-2419|+     -            806 108301at50557        -            228   6.6e-38  129.2  20.8   4   5     2e-05    0.0039   15.5   0.7   100   180   656   740   616   746 0.78 -
35300at50557_456900_0:001384|STRG.4488.1:2-2419|+     -            806 108301at50557        -            228   6.6e-38  129.2  20.8   5   5   2.5e-05    0.0049   15.2   1.4    98   169   692   763   661   779 0.66 -
41065at50557_133901_0:001440|STRG.20620.1:475-1827|+  -            451 108301at50557        -            228   3.3e-34  117.1  32.4   1   3     1e-12     2e-10   39.3   1.8    62   167     2   102     1   111 0.92 -
41065at50557_133901_0:001440|STRG.20620.1:475-1827|+  -            451 108301at50557        -            228   3.3e-34  117.1  32.4   2   3   0.00035      0.07   11.4   2.0    83   174   134   223   109   228 0.80 -
41065at50557_133901_0:001440|STRG.20620.1:475-1827|+  -            451 108301at50557        -            228   3.3e-34  117.1  32.4   3   3   9.7e-25   1.9e-22   78.6  14.2    53   173   221   340   215   362 0.88 -
41065at50557_133901_0:001440|STRG.20620.2:102-1454|+  -            451 108301at50557        -            228   3.3e-34  117.1  32.4   1   3     1e-12     2e-10   39.3   1.8    62   167     2   102     1   111 0.92 -
41065at50557_133901_0:001440|STRG.20620.2:102-1454|+  -            451 108301at50557        -            228   3.3e-34  117.1  32.4   2   3   0.00035      0.07   11.4   2.0    83   174   134   223   109   228 0.80 -
41065at50557_133901_0:001440|STRG.20620.2:102-1454|+  -            451 108301at50557        -            228   3.3e-34  117.1  32.4   3   3   9.7e-25   1.9e-22   78.6  14.2    53   173   221   340   215   362 0.88 -
108301at50557_7493_0:0013fe|STRG.11623.1:294-746|+    -            151 108301at50557        -            228   1.3e-28   98.8   8.0   1   1   7.8e-31   1.5e-28   98.6   8.0    32   171     1   135     1   143 0.95 -
138527at50557_315563_0:000b19|STRG.5114.1:9-848|+     -            280 108301at50557        -            228   8.3e-24   83.1   6.9   1   1   6.1e-26   1.2e-23   82.6   6.9    29   171    53   190    19   197 0.87 -
138527at50557_315563_0:000b19|STRG.5114.2:266-1105|+  -            280 108301at50557        -            228   8.3e-24   83.1   6.9   1   1   6.1e-26   1.2e-23   82.6   6.9    29   171    53   190    19   197 0.87 -
57156at50557_77166_0:0029c4|STRG.14492.1:524-1729|+   -            402 108301at50557        -            228   9.4e-24   82.9   8.2   1   6    0.0011      0.21    9.8   0.0   118   160     9    51     2    55 0.91 -
57156at50557_77166_0:0029c4|STRG.14492.1:524-1729|+   -            402 108301at50557        -            228   9.4e-24   82.9   8.2   2   6    0.0041      0.81    7.9   0.4    97   159    56   118    53   127 0.93 -
57156at50557_77166_0:0029c4|STRG.14492.1:524-1729|+   -            402 108301at50557        -            228   9.4e-24   82.9   8.2   3   6   2.2e-05    0.0043   15.3   0.0   113   161   140   188   121   191 0.94 -
57156at50557_77166_0:0029c4|STRG.14492.1:524-1729|+   -            402 108301at50557        -            228   9.4e-24   82.9   8.2   4   6   1.7e-06   0.00034   18.9   0.2    93   170   188   265   187   277 0.89 -
57156at50557_77166_0:0029c4|STRG.14492.1:524-1729|+   -            402 108301at50557        -            228   9.4e-24   82.9   8.2   5   6   4.1e-10   8.2e-08   30.8   0.6    62   169   230   332   228   342 0.90 -
57156at50557_77166_0:0029c4|STRG.14492.1:524-1729|+   -            402 108301at50557        -            228   9.4e-24   82.9   8.2   6   6   2.5e-05    0.0048   15.2   0.0    97   166   328   397   327   401 0.90 -
41065at50557_103372_0:000e4c|STRG.10293.1:144-1481|+  -            446 108301at50557        -            228   7.8e-21   73.4  12.3   1   5     9e-13   1.8e-10   39.5   0.0    56   174    26   139    18   145 0.89 -
41065at50557_103372_0:000e4c|STRG.10293.1:144-1481|+  -            446 108301at50557        -            228   7.8e-21   73.4  12.3   2   5     1e-06    0.0002   19.7   0.0    68   165   152   244   147   267 0.86 -
41065at50557_103372_0:000e4c|STRG.10293.1:144-1481|+  -            446 108301at50557        -            228   7.8e-21   73.4  12.3   3   5       2.9   5.7e+02   -1.4   0.1   128   165   253   290   251   304 0.82 -
41065at50557_103372_0:000e4c|STRG.10293.1:144-1481|+  -            446 108301at50557        -            228   7.8e-21   73.4  12.3   4   5   9.1e-07   0.00018   19.9   1.3   108   172   305   368   298   379 0.87 -
41065at50557_103372_0:000e4c|STRG.10293.1:144-1481|+  -            446 108301at50557        -            228   7.8e-21   73.4  12.3   5   5       8.7   1.7e+03   -3.0   0.4    18    38   411   431   390   443 0.54 -
35300at50557_520822_0:00001c|STRG.9770.1:253-579|+    -            109 108301at50557        -            228   2.1e-20   72.0   2.0   1   1   1.2e-22   2.4e-20   71.8   2.0    50   154    10   109     3   109 0.94 -
35300at50557_520822_0:00001c|STRG.9770.2:253-579|+    -            109 108301at50557        -            228   2.1e-20   72.0   2.0   1   1   1.2e-22   2.4e-20   71.8   2.0    50   154    10   109     3   109 0.94 -
108301at50557_29031_0:0018ed|STRG.18770.3:32-376|+    -            115 108301at50557        -            228   4.2e-16   57.9   2.2   1   1   2.4e-18   4.8e-16   57.7   2.2    53   153     8   107     3   115 0.88 -
108301at50557_39758_0:00449f|STRG.17451.1:360-785|+   -            142 108301at50557        -            228   6.2e-16   57.4   7.0   1   1   3.6e-18     7e-16   57.2   7.0    40   148     3   109     1   138 0.88 -
108301at50557_29031_0:0018ed|STRG.18770.2:585-890|+   -            102 108301at50557        -            228   1.9e-14   52.5   2.5   1   1     1e-16     2e-14   52.4   2.5    59   154     1    95     1   102 0.89 -
108301at50557_29031_0:0018ed|STRG.18770.4:204-509|+   -            102 108301at50557        -            228   1.9e-14   52.5   2.5   1   1     1e-16     2e-14   52.4   2.5    59   154     1    95     1   102 0.89 -
57156at50557_197043_0:0019bd|STRG.7724.1:955-1290|+   -            112 108301at50557        -            228   6.1e-14   50.8   0.0   1   1   3.9e-16   7.8e-14   50.5   0.0    61   164     8   106     4   111 0.93 -
57156at50557_197043_0:0019bd|STRG.7724.2:51-386|+     -            112 108301at50557        -            228   6.1e-14   50.8   0.0   1   1   3.9e-16   7.8e-14   50.5   0.0    61   164     8   106     4   111 0.93 -
108301at50557_56086_0:003139|STRG.23772.1:1112-1432|+ -            107 108301at50557        -            228   6.4e-14   50.8   0.1   1   1   1.6e-14   3.2e-12   45.2   0.1    59   125     1    62     1   106 0.80 -
108301at50557_56086_0:003139|STRG.23772.2:1012-1332|+ -            107 108301at50557        -            228   6.4e-14   50.8   0.1   1   1   1.6e-14   3.2e-12   45.2   0.1    59   125     1    62     1   106 0.80 -
57156at50557_28612_0:002d5e|STRG.14492.2:847-1470|+   -            208 108301at50557        -            228   1.1e-13   50.0   1.4   1   2   1.3e-10   2.5e-08   32.4   0.8    62   169     3   105     1   113 0.90 -
57156at50557_28612_0:002d5e|STRG.14492.2:847-1470|+   -            208 108301at50557        -            228   1.1e-13   50.0   1.4   2   2   2.8e-06   0.00056   18.2   0.0    97   173   101   177   100   193 0.87 -
35300at50557_520822_0:00001c|STRG.18770.1:473-715|+   -             81 108301at50557        -            228   4.2e-13   48.1   1.7   1   1   2.2e-15   4.4e-13   48.0   1.7    53   131     4    81     1    81 0.91 -
108301at50557_7260_0:002ae8|STRG.19832.1:717-1259|+   -            181 108301at50557        -            228   3.3e-11   41.9   8.8   1   1   1.1e-12   2.1e-10   39.3   8.8    40   185    18   177     7   181 0.77 -
57156at50557_197043_0:0019bd|STRG.1365.1:9-266|+      -             86 108301at50557        -            228   5.7e-11   41.1   0.0   1   1     3e-13     6e-11   41.0   0.0    92   167    10    85     1    86 0.90 -
57156at50557_197043_0:0019bd|STRG.1365.2:9-266|+      -             86 108301at50557        -            228   5.7e-11   41.1   0.0   1   1     3e-13     6e-11   41.0   0.0    92   167    10    85     1    86 0.90 -
57156at50557_197043_0:0019bd|STRG.1365.3:9-266|+      -             86 108301at50557        -            228   5.7e-11   41.1   0.0   1   1     3e-13     6e-11   41.0   0.0    92   167    10    85     1    86 0.90 -
108301at50557_197043_0:001b73|STRG.7699.1:1187-1552|+ -            122 108301at50557        -            228   1.6e-10   39.6   1.4   1   1   1.4e-11   2.8e-09   35.6   1.4    55   158     4   122     1   122 0.77 -
108301at50557_197043_0:001b73|STRG.7699.2:408-773|+   -            122 108301at50557        -            228   1.6e-10   39.6   1.4   1   1   1.4e-11   2.8e-09   35.6   1.4    55   158     4   122     1   122 0.77 -
153723at50557_7176_0:003cd5|STRG.16822.1:51-1532|+    -            494 108301at50557        -            228     5e-09   34.8   1.8   1   1   4.2e-11   8.2e-09   34.1   1.8    28   178    17   176     2   194 0.72 -
153723at50557_7176_0:003cd5|STRG.16822.4:51-1532|+    -            494 108301at50557        -            228     5e-09   34.8   1.8   1   1   4.2e-11   8.2e-09   34.1   1.8    28   178    17   176     2   194 0.72 -
89121at50557_454923_0:000612|STRG.6270.1:1266-2384|+  -            373 108301at50557        -            228   2.4e-08   32.5   1.4   1   4      0.11        21    3.3   0.0    85   165    16    96     9   109 0.86 -
89121at50557_454923_0:000612|STRG.6270.1:1266-2384|+  -            373 108301at50557        -            228   2.4e-08   32.5   1.4   2   4    0.0002      0.04   12.2   0.2   118   166   132   180   109   186 0.91 -
89121at50557_454923_0:000612|STRG.6270.1:1266-2384|+  -            373 108301at50557        -            228   2.4e-08   32.5   1.4   3   4      0.01         2    6.6   0.2   142   171   190   219   184   246 0.68 -
89121at50557_454923_0:000612|STRG.6270.1:1266-2384|+  -            373 108301at50557        -            228   2.4e-08   32.5   1.4   4   4     0.014       2.8    6.1   0.0   121   165   308   353   300   360 0.81 -
26870at50557_13249_0:003446|STRG.6440.1:1572-2432|+   -            287 108301at50557        -            228   7.9e-08   30.8   0.0   1   2     1e-06    0.0002   19.7   0.0   108   164   113   169    93   173 0.92 -
26870at50557_13249_0:003446|STRG.6440.1:1572-2432|+   -            287 108301at50557        -            228   7.9e-08   30.8   0.0   2   2     0.002      0.39    8.9   0.0    67   160   179   267   173   281 0.78 -
