#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
104469at50557_123851_0:002509|STRG.8750.1:309-1169|+  -            287 104469at50557        -            153   3.6e-41  139.5   0.2   1   1   9.6e-44     6e-41  138.8   0.2     5   153   143   286   138   286 0.91 -
104469at50557_7130_0:000905|STRG.8251.1:3021-3506|+   -            162 104469at50557        -            153   1.4e-36  124.7   0.1   1   1   2.6e-39   1.6e-36  124.4   0.1     2   153     5   155     4   155 0.89 -
104469at50557_7130_0:000905|STRG.18694.1:722-1213|+   -            164 104469at50557        -            153   2.4e-19   68.7   0.5   1   1   1.7e-19   1.1e-16   60.0   0.5    13   151     9   163     1   164 0.73 -
104469at50557_7130_0:000905|STRG.18694.2:1155-1646|+  -            164 104469at50557        -            153   2.4e-19   68.7   0.5   1   1   1.7e-19   1.1e-16   60.0   0.5    13   151     9   163     1   164 0.73 -
1859at50557_34720_0:002187|STRG.15338.1:1-5111|+      -           1658 104469at50557        -            153   1.4e-16   59.7   4.5   1   4   3.1e-06    0.0019   17.0   0.2    85   151   588   654   577   658 0.88 -
1859at50557_34720_0:002187|STRG.15338.1:1-5111|+      -           1658 104469at50557        -            153   1.4e-16   59.7   4.5   2   4    0.0021       1.3    7.8   0.0    95   152   856   913   846   914 0.90 -
1859at50557_34720_0:002187|STRG.15338.1:1-5111|+      -           1658 104469at50557        -            153   1.4e-16   59.7   4.5   3   4   4.4e-07   0.00027   19.8   0.1    95   152  1163  1220  1145  1221 0.89 -
1859at50557_34720_0:002187|STRG.15338.1:1-5111|+      -           1658 104469at50557        -            153   1.4e-16   59.7   4.5   4   4   5.8e-05     0.036   12.9   0.0    96   153  1454  1511  1445  1511 0.94 -
1859at50557_34720_0:002187|STRG.15338.2:1-4974|+      -           1658 104469at50557        -            153   1.4e-16   59.7   4.5   1   4   3.1e-06    0.0019   17.0   0.2    85   151   588   654   577   658 0.88 -
1859at50557_34720_0:002187|STRG.15338.2:1-4974|+      -           1658 104469at50557        -            153   1.4e-16   59.7   4.5   2   4    0.0021       1.3    7.8   0.0    95   152   856   913   846   914 0.90 -
1859at50557_34720_0:002187|STRG.15338.2:1-4974|+      -           1658 104469at50557        -            153   1.4e-16   59.7   4.5   3   4   4.4e-07   0.00027   19.8   0.1    95   152  1163  1220  1145  1221 0.89 -
